Week	MIHistStor	ARHistStor	DUHistStor	CLHistStor	LBHistStor	HHHistStor	GCHistStor	DWHistStor	BRHistStor
136	17683900	6191813	1147302	750000	3171310	2783050	8658020	2424020	123518349
137	16290300	5197293	808174	816730	2659150	2562620	8736830	2419090	123518349
138	14952400	3856460	505427	665960	2314100	2455450	8612510	2492900	123518349
139	14266530	2318871	145069	486370	2352060	2489690	8597640	2832620	123518349
140	13894700	3089471	153400	149410	2793950	2813880	8350960	3291370	123518349
141	13872500	3427300	153400	245000	-71282	3434890	8211750	3372310	123518349
142	15075520	3427300	580336	144000	5637200	3637910	8117720	3464600	123518349
143	17262000	1240823	1123725	480000	5830700	3653340	8847100	3424970	123518349
144	20075520	3816388	1423400	589210	5702140	3432920	8727350	3379680	123518349
145	19920300	6914699	1401800	589210	5220090	2878660	8886970	2941122	123518349
146	19384700	6864598	1331234	640000	4203340	2479070	8675330	2855260	123518349
147	19062200	6469871	1308036	700000	3654210	2331910	8661170	2583450	123518349
148	17940400	6238560	1153440	750000	3264830	2189330	7816740	2020940	123518349
149	16503200	5276691	823297	816730	2193660	2021500	7448780	1852010	123518349
150	15476200	4880205	757999	665960	1510230	1530530	7133650	1830170	123518349
151	14903100	3549357	666998	486370	1400360	926950	5767420	1948410	123518349
152	14521930	3941194	686465	149410	1740760	1071720	7417310	2488980	123518349
153	14730100	5208681	732503	245000	2949680	1712900	7695530	3419840	123518349
154	15204800	6197992	1045454	144000	4399600	2102020	8421870	3070300	123518349
155	16877460	4525360	1423400	480000	4930240	2041080	8400250	3079330	123518349
156	19548900	6433049	1423400	589210	5054410	1954600	8691070	2801820	123518349
157	19987800	7264337	1411005	589210	4338240	1817730	8576520	2341200	123518349
158	19764500	7117427	1381595	640000	3778910	1794510	8597640	2278000	123518349
159	19669900	6922192	1393942	700000	3083200	1820010	7936880	2271630	123518349
160	19130800	6666083	1314495	750000	2189470	1749940	6325950	2235390	123518349
161	18646600	6153826	990359	816730	1831350	1646970	5775310	1958960	123518349
162	17742200	4960633	588400	665960	1497960	1403190	5059080	1769410	123518349
163	16408900	3593967	153400	486370	1478810	1212480	4534150	1994060	123518349
164	15075520	2227300	153400	149410	1832670	1614250	5666210	2607470	123518349
165	14875800	2227300	153400	245000	3222420	2410210	5907980	3239300	123518349
166	15332500	1970357	482948	144000	4958070	3164720	7924220	3443240	123518349
167	16938800	364042	931874	480000	5564210	3169590	8250610	3307410	123518349
168	20070300	2861554	1423400	594110	5138310	2810910	8789880	3032910	123518349
169	20075520	6389864	1423400	594110	5090320	2331910	8828800	2476270	123518349
170	19323200	6833811	1325101	640000	4406530	2231590	9029780	2406130	123518349
171	18452800	6342849	1269218	700000	3964030	2535060	8696590	2420740	123518349
172	17375400	6177141	1151309	750000	3172250	2683900	8851880	2459860	123518349
173	16057000	5363959	839918	816730	3111780	2755820	8808930	2591680	1249200
174	14962600	3958122	528426	665960	2063470	2631490	8493930	2414310	1112990
175	14570950	2550248	153400	486370	1553960	2331910	7402320	2395110	1082140
176	14138500	2227300	153400	149410	2002350	2439790	7107900	3120280	1382630
177	14327960	2227300	153400	245000	3257210	2903540	6972450	3289650	1370990
178	14890800	2227300	394998	144000	5249850	3466230	8527380	3442350	1405300
179	16017000	1285785	803343	480000	5843200	3659530	9084700	3464600	1419870
180	19284900	4038451	1423400	594110	5838110	3664680	8811310	3464600	1371760
181	20075520	6493286	1423400	594110	5609640	3334170	8771650	3011510	1258150
182	19364460	6870014	1332312	640000	4798680	2977820	8992740	2963280	1360180
183	18648100	6459096	1305990	700000	4668620	3038202	8993550	3130080	1403730
184	17476300	6208578	1148689	750000	3561010	-2317462059	8286530	2584460	1244920
185	15868740	5120603	793567	816730	2314350	2614200	8441980	2127910	1243220
186	14793100	4556085	609567	665960	1528060	2253400	8463670	2380230	1235670
187	14203000	2991344	339453	486370	1200810	1856470	6459700	2564620	1270470
188	13776800	2896517	353400	149410	1335540	1764800	4610180	2926370	1409360
189	13554400	3754870	353400	245000	2927400	2453150	6529230	3144230	1410150
190	14420300	5976481	639578	144000	4827670	3343800	9015270	3456940	1414350
191	16122100	5280673	1093979	480000	5837640	3662880	9032200	3457830	1370090
192	18133400	6803867	1423400	589210	5814530	3603900	8793850	3373190	1405040
193	19122300	6830426	1325584	589210	5440400	3161250	8724200	2887910	123518349
194	18931900	6595459	1277624	640000	4587030	2766900	8843920	2816420	1194140
195	17871100	6037709	1208662	700000	3398780	2605180	8858250	2709440	1326760
196	16730900	5843873	1090921	750000	2593890	2263640	8679260	2582590	1384450
197	15461200	5277989	823544	816730	2472290	2120980	9057210	2569930	1305830
198	14189000	4222045	641811	573277	2417600	2027630	8898950	2781940	1388730
199	13148200	1777653	468014	486370	2436790	2077960	7931670	3093160	1389380
200	12743900	1392143	465389	149410	2589770	2174270	7142020	3376870	1410280
201	12360200	1863492	498711	245000	3587970	2789160	7476030	3330280	1374990
202	13086000	4457806	800370	144000	4371530	2820460	8613300	3097610	1413690
203	15075520	4727300	1307848	480000	4965150	2743730	8866223	2868980	1268620
204	17475500	6704674	1423400	589210	4865400	2403420	8879780	2817810	1205130
205	18446000	6867390	1332861	589210	4275170	2005520	8268180	2589510	1203220
206	18018600	6566624	1271880	640000	3802700	1821700	8775610	2581000	1136110
207	16849900	5996034	1145236	700000	3012040	1708820	8597640	2622160	1223060
208	15709600	5698021	1025499	750000	2329180	1559780	7851480	2627850	1314000
209	14524900	5173579	815517	816730	2039830	1184440	7418740	2563620	1252260
210	13217500	3185340	482088	665960	1798510	911239	6630460	2563330	1105800
211	12541100	1419825	141800	486370	1509260	753557	6814950	2895920	1400590
212	12111600	2021080	153400	149410	1610020	961034	8502480	3158260	1400330
213	11919000	2227300	153400	245000	3081980	1805260	8874200	3435600	1405430
214	14021300	2227300	714596	144000	3888870	2254650	8776400	3457290	1397330
215	16738700	564093	1380949	480000	4951830	2537610	8762150	2908670	1254710
216	19753900	3320702	1423400	594110	5327540	2601980	8811310	2526010	1158820
217	19968200	6155133	1408694	589210	5231290	2438070	8560120	2527000	1042210
218	19402900	6888093	1335914	640000	4694290	2266521	8393310	2517240	931673
219	18505900	6431275	1282966	700000	3865440	2021010	7986160	2500200	1112760
220	17542930	6297223	1176689	750000	2894620	1649660	8347110	2501880	1274550
221	16975000	6091849	978555	816730	2555390	1222610	8622700	2544050	1300440
222	16633190	4960633	588400	665960	2475480	855352	8281940	2512300	1259380
223	16286700	3593967	153400	486370	2472820	872201	7590720	2681740	1351460
224	15075520	2227300	153400	149410	2992160	1288610	8101110	3108510	1381080
225	15075520	2227300	153400	245000	4129710	1966870	8498590	2724130	1322080
226	16215500	1087312	638465	144000	4697910	2328050	7863330	2923360	1413950
227	18631200	227340	1266289	480000	5199030	2414360	7938370	1916970	1160690
228	20075520	4562380	1423400	589210	5322310	2357980	8233830	1883720	1206210
229	19956200	7245096	1407217	589210	5257190	2213830	8816080	1846630	1205610
230	19632000	7041759	1366523	640000	4880220	2075930	8701320	1827940	1140400
231	19875520	7077300	1423400	704900	4254410	1931980	8665100	1841380	1250670
232	19758800	7077300	1423400	750000	3866860	1837790	8770860	1903090	1355040
233	19075520	6327300	1023400	816730	3018080	1751270	7835940	2031860	1300690
234	17242200	4960633	588400	665960	2933330	1838250	6669760	2597030	1195330
235	15408900	3593967	153400	486370	2961310	1985230	7200060	3081960	1277640
236	13575520	2227300	153400	149410	3056320	2151140	6825100	2959760	1173390
237	13310900	2227300	153400	245000	3491880	2675310	7486800	3207890	1410670
238	14507100	1295694	654019	144000	5042620	3352970	8898950	3447860	1412510
239	19343100	5684303	1423400	484900	5751970	3508760	8477630	3138230	1310850
240	20075520	7327300	1423400	594110	5635390	3467460	8350190	2381710	1158350
241	20075520	7327300	1423400	594110	5618210	3375010	8886170	2085830	1004680
242	19888800	7207193	1399476	640000	5647610	3462260	8718670	1995100	991708
243	19380850	6718179	1355195	700000	5049780	3628690	9022520	2111280	1266640
244	18526000	6461777	1250509	750000	4269120	3394480	8591380	2700780	1365190
245	17292000	5582865	881612	816730	3070960	3005780	8195020	2706150	1105230
246	15941600	3858496	599181	665960	2660550	2811550	7933160	2920190	1350180
247	15317300	2230206	342466	486370	2495240	2035420	5908590	2026930	921327
248	14876500	2227300	353400	149410	2416280	1930060	5104590	2615170	754180
249	14697300	2227300	353400	245000	3191630	2420230	5770460	3140560	1415790
250	15552500	3044041	824517	144000	4831760	3349110	8493160	3451770	1402810
251	16681000	621865	1234528	480000	5852000	3664680	8899750	3274180	1210770
252	18374000	2832896	1423400	589272	5554790	3240370	8346340	2465140	1056450
253	19211800	4291075	1348013	589210	5401580	3110460	8446630	2232180	1035950
254	18733400	4868125	1295482	640000	4993950	2978700	8691070	2237560	1005210
255	17460610	4881583	1175396	700000	4435900	2901810	8709200	2278520	1342000
256	16343000	4955042	1063875	750000	3600140	2549600	7850000	2375500	1414080
257	15119700	4835373	820778	816730	2625840	2125100	7095390	2227710	1293190
258	13998630	3773925	517407	665960	1849010	1805860	5814220	1874540	893915
259	13574600	3593967	153400	486370	1848130	1531060	5265020	1471330	661395
260	13139900	2227300	153400	149410	1938040	1428170	4073440	1538680	485713
261	12826300	2227300	153400	245000	3450230	2621830	6227170	2723220	1058900
262	13300000	2227300	377095	144000	5098790	3486570	8620350	3436490	1403600
263	17262500	6654021	1127676	241992	5587570	3643820	8922940	2877100	1333350
264	20075520	7327300	1423400	594110	5456770	3307780	8324840	1999970	1108530
265	20075520	7327300	1423400	594110	5336270	3108170	8720250	1997760	804372
266	19865700	7192569	1396563	640000	5040930	3022300	8736040	1999850	726251
267	19705400	6975926	1404147	700000	4531440	2963690	8819260	1998690	1122850
268	19489100	7077300	1423400	750000	3926690	2746440	7951050	2053270	1359920
269	19075520	6327300	1023400	816730	3623540	2629280	7397330	2142930	1302690
270	17742200	4960633	588400	665960	3278520	2514150	6478020	2292490	1090370
271	16408900	3593967	153400	486370	3240420	2475220	6685130	2570650	1252510
272	15075520	2227300	153400	149410	3483260	2704210	8064940	2827060	1368540
273	14879900	2227300	153400	245000	4986430	3433160	8792260	3457290	1403990
274	15919500	1383341	603634	144000	5627250	3669850	8948580	3456230	1408970
275	17555130	227340	1142470	480000	5779050	3489810	8549980	2845940	1114130
276	20075520	4234561	1423400	594110	5183590	3163100	8270470	2243470	1003710
277	20075520	7188409	1423400	594110	4932730	3068400	8453590	2227580	780305
278	19751000	7119116	1381932	640000	4749130	-811578	8559340	2206090	807377
279	19778200	7077300	1423400	704900	4653430	2862310	8405650	2281260	1244310
280	19286000	6863714	1366342	750000	3721580	2770880	8163890	2403000	1352740
281	18445200	6016378	964181	816730	2729420	2607980	7141320	2244370	1142720
282	17638300	4861910	582494	665960	1746100	2435600	7145510	1872360	1002960
283	16408900	3593967	153400	486370	1511990	2082010	6025190	1555340	661230
284	15075520	2227300	153400	149410	1814660	2143530	4536200	1521390	539410
285	14979600	2227300	153400	245000	3049010	2608180	5570350	2037520	986272
286	15872700	1430119	568993	144000	4714000	3409860	8629760	3119780	1405560
287	17810200	227340	1170487	480000	5751510	3652310	8995960	3093320	1112070
288	20075520	3340219	1423400	594110	5703050	3506260	8806550	2329770	1035510
289	19990100	6589495	1411829	589210	5404220	3276560	8707620	2223880	962611
290	19314000	6835726	1325483	640000	5011960	3216650	8808130	2226690	939712
291	18283900	6236888	1245927	700000	4886820	3265170	8654880	2324740	1169620
292	17098700	5996031	1118189	750000	3808310	3086530	7775470	2475990	1366860
293	15939420	5529072	871366	816730	2623630	2858880	7116940	2373620	1244680
294	14875800	3968359	608075	665960	1889150	2584430	7024770	2296810	1203460
295	14488900	3593967	353400	486370	1792200	2371000	7090530	2262810	1093530
296	14057900	2227300	353400	149410	2198600	2471180	5817880	2360180	1155890
297	13699400	2227300	353400	245000	3399760	3115480	6005860	3019280	1364290
298	14658000	2227300	681346	144000	4134890	3605690	8232310	3441460	1353500
299	16619400	3168012	1285220	385763	4784430	3405950	8658810	2911030	1006180
300	19420900	5942861	1423400	594110	4807650	3154550	8370960	2241930	1056680
301	20075520	7327300	1423400	594110	4701120	3067500	8747110	2223240	974715
302	19708400	7091086	1376348	640000	4602080	2980030	8843920	2235640	1126190
303	19178900	6576681	1328321	700000	4260440	2847100	8087530	2225160	1285220
304	18376100	6405018	1246581	750000	3911320	2683490	7423740	2199890	1334620
305	17430400	5780503	919255	816730	3717430	2523120	5681190	2402450	1300440
306	16821300	4712174	573536	665960	3231570	2309900	4903710	2017670	1315130
307	16408900	3593967	153400	486370	3117020	2176370	4636080	2136890	1374090
308	15075520	2227300	153400	149410	3088720	2168340	4516820	2375500	1400330
309	14720600	2227300	153400	245000	3862610	2819390	7727740	3019280	1402420
310	15258200	2044642	552524	144000	4638260	3191660	8405650	3242710	1397850
311	17620250	982843	1207155	437998	4870340	3231670	8459790	2794010	1298190
312	20075520	7327300	1423400	594110	4806840	3147860	8186660	2244500	1132410
313	20075520	7327300	1423400	594110	4650630	3013140	8561680	2197240	1092970
314	20075520	7327300	1423400	644900	4452190	2889680	8793050	2198500	1190690
315	19695700	6946944	1398642	700000	4272530	2828750	8573400	2255190	1320310
316	19427100	6870355	1368636	750000	3881050	2718230	8669030	2284780	1345190
317	18722600	6079979	976294	816730	3279160	2659220	7757820	2402450	1108990
318	17742200	5360633	688400	665960	2774720	2572320	6665090	2162020	977359
319	16408900	4393967	353400	486370	2622240	2506370	6997200	2180880	967758
320	15075520	3427300	353400	149410	2852740	2625050	5943780	2157540	1229470
321	14766800	3427300	353400	245000	3894560	2939740	6842730	2716780	1405950
322	15057480	3427300	534738	173662	5732730	3586860	8848690	3455870	1388730
323	17595500	5178958	1305074	307928	5684380	3585080	8885370	3095300	1351460
324	20075520	7327300	1423400	594110	5102610	3275610	8329450	2433080	1156480
325	20075520	7327300	1423400	594110	5038410	3095630	8921340	2218020	1000700
326	19751700	7119064	1381921	640000	4928990	2977150	8837550	2191190	1049920
327	19370400	6836477	1377662	700000	4812960	2853730	8671390	2189300	1167270
328	19109800	7075734	1423059	750000	3899910	2719890	8789880	2195350	1295310
329	18766400	6327300	1023400	816730	3803400	2589010	8922940	2330700	1395110
330	17242200	4960633	588400	665960	3706390	2521760	8863030	2680700	1298810
331	15408900	3593967	153400	486370	3657630	2507730	8628970	3120280	1359530
332	13575520	2227300	153400	149410	3904900	2836200	8201100	2941122	1293560
333	13484400	2227300	153400	245000	4830130	3161490	7620470	3079820	1405170
334	14436400	1366456	658191	144000	5791940	3596520	8755020	3461390	1401380
335	17117900	1984006	1374408	484900	5618660	3428740	8451270	2934930	1330560
336	19999500	4814118	1423400	594110	4975990	3161250	8197300	2410220	1160570
337	20075520	7327300	1423400	594110	4764120	3062750	8681620	2218150	971127
338	19724700	7101827	1378488	640000	4871990	2984900	8906940	2186780	1028510
339	19307500	6722942	1356100	700000	4614780	2939740	8840730	2176370	1153440
340	18362600	6423624	1248400	750000	3896700	2843460	8725780	2209640	1276280
341	17277000	5690482	902109	816730	3602840	2716790	7677270	2115790	1139470
342	16319100	4306110	549244	665960	3511500	2603380	6951860	2095850	1072160
343	15949400	3508103	153400	486370	3971240	2615400	7132260	2362860	1106370
344	15075520	2227300	153400	149410	3850580	3004000	7496870	2790490	1333730
345	14818900	2227300	153400	245000	4654630	3394720	8263590	3364090	1408310
346	16880500	3394039	808721	144000	5267140	3639460	8828000	3458900	1405430
347	19024200	337632	1413071	484900	5409950	3479370	8654880	2972400	1262330
348	20075520	3767373	1423400	594110	5226550	3211730	8215550	2420740	1219440
349	19777300	6215993	1382959	589210	5308810	3159170	8854270	2249260	1091950
350	19320210	6834209	1325180	640000	5334960	3193520	8848690	2282560	1203460
351	18291400	6230845	1262640	700000	4828490	3186300	8774820	2384950	1331070
352	17142100	6102033	1144952	750000	3891000	3212430	8882180	2627420	1375900
353	15730000	5220838	812659	816730	3907750	3258070	8895750	2755190	1319170
354	14581650	3751139	590491	665960	3951800	3297750	8007870	2878980	1336150
355	14224100	3560859	353400	486370	3971240	3360230	6605220	3086240	1394200
356	13831000	2227300	353400	149410	4172370	3323350	6547680	3319530	1392380
357	13603000	2227300	353400	245000	4934800	3515010	7435180	3423910	1414480
358	15075520	2227300	968655	144000	5751970	3642540	8918140	3463710	1346980
359	17945600	227340	1423400	480000	5540460	3436850	8672180	2981700	1183090
360	20075520	2627559	1423400	589272	5001490	3158480	8201860	2418270	1114130
361	19888100	5829671	1397990	589210	4865820	3103150	8719460	2221080	1122160
362	19323100	6837700	1325876	640000	5261090	3130380	8908540	2204570	1230320
363	18324400	6193857	1255615	700000	4803570	3160330	8303370	2216370	1338820
364	17536100	6381670	1185987	750000	3935650	3128540	8941360	2285430	1418160
365	16719300	5854822	933410	816730	3938160	3189560	8164650	2506950	1203220
366	16353400	4960633	588400	665960	3897060	2922910	6601900	2301270	877970
367	15989900	3593967	153400	486370	3658990	2857590	6562860	2399320	877772
368	15075520	2227300	153400	149410					
369	14851400	2227300	153400	245000					
370	15299450	2003370	481595	144000					
371	17753900	3984101	1259875	340017					
372	20075520	7327300	1423400	594110					
373	20075520	7327300	1423400	594110					
374	20075520	7327300	1423400	644900					
375	19875520	7077300	1423400	704900					
376	19771600	7077300	1423400	750000					
377	19075520	6327300	1023400	816730					
378	17742200	4960633	588400	665960					
379	16408900	3593967	153400	486370					
380	15075520	2227300	153400	149410					
381	15017300	2227300	153400	245000					
382	15075520	2227300	417302	144000					
383	16742700	560083	1054617	480000					
384	20075520	4512691	1423400	594110					
385	20075520	7327300	1423400	594110					
386	19811200	7157373	1389552	640000					
387	19312600	6667923	1345650	700000					
388	18595000	6517314	1279937	750000					
389	17428000	5626447	889913	816730					
390	16684700	4518091	561925	665960					
391	16345700	3593967	153400	486370					
392	15075520	2227300	153400	149410					
393	14853410	2227300	153400	245000					
394	15840900	1461963	631604	144000					
395	19662300	4261883	1423400	484900					
396	20075520	7327300	1423400	594110					
