"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1994-06-19 6 47 19 1994 244018.825147533 239760 0 0 0 0 0 0 56337.5850869799 511309.589495611 0 21931338.6198363 0 626609.674852467
1994-06-26 6 48 26 1994 283158.998629004 239760 0 0 0 0 0 0 57096.1622955473 106475.29919392 0 20257237.0479849 0 578778.201370996
1994-07-03 7 49 3 1994 0 2849916.27523932 0 0 0 0 0 0 76006.793325735 124823.197926607 0 29599500 4000677.3134906 992783.724760684
1994-07-10 7 50 10 1994 0 2174676.01109026 0 0 0 0 0 0 77436.0805562108 0 0 29001000 22367212.4983448 1650923.98890974
1994-07-17 7 51 17 1994 0 2929870.23384251 0 0 0 0 0 0 88740.9875867394 298683.395333773 0 28402500 1825929.63948368 878629.766157488
1994-07-24 7 52 24 1994 0 2965560.33081955 0 0 0 0 0 0 92457.5475298787 694327.65926333 0 27804000 855159.001708339 825839.669180454
1994-07-31 7 52 31 1994 0 2965151.71375504 0 0 0 0 0 0 93055.3988390897 737888.926359154 0 27804000 866273.385863014 826248.286244964
1994-08-07 8 1 7 1994 0 194554.658329808 0 49593.7494533514 0 0 0 0 93824.5970066221 0 0 30702000 7352105.81509096 1162165.34167019
1994-08-14 8 2 14 1994 455488.188055165 479520 0 50105.4173788363 0 0 0 0 93663.6333504147 1174910.3691937 0 17624313.4180692 0 503551.811944835
1994-08-21 8 3 21 1994 588706.713714224 479520 0 51962.0528595176 0 0 0 0 95820.7764332942 1145042.27183357 0 15856767.0200022 0 453050.486285776
1994-08-28 8 4 28 1994 589666.253554287 479520 0 52295.5575368271 0 0 0 0 95585.1253698224 1068252.1761773 0 18718285.1255999 0 534808.146445713
1994-09-04 9 5 4 1994 326286.738265429 479520 0 77053.1224340739 0 0 0 0 95998.3083279221 635750.856486744 0 30831670.16071 0 880904.861734571
1994-09-11 9 6 11 1994 755260.506205871 179820 0 74828.7434625382 0 25700.4331906177 0 0 93991.6252018034 1230768.1322539 0 17328076.2827945 0 495087.893794129
1994-09-18 9 7 18 1994 801909.767828523 179820 0 76162.8995563928 0 26755.34314306 0 0 95029.9001437155 1239393.93456962 0 17205840.1260017 0 491595.432171476
1994-09-25 9 8 25 1994 1047710.49123891 179820 0 76984.8081808031 26779.294395122 56724.0319693254 0 0 95906.2478585635 1604343.72582372 0 10113302.8066381 0 288951.508761088
1994-10-02 10 9 2 1994 1015675.3804828 179820 0 76751.1142245602 18173.4869974837 164267.642379931 0 0 96177.1816331857 0 0 12745019.6831021 0 364143.419517204
1994-10-09 10 10 9 1994 1017950.05543254 359640 0 77867.4236490196 14852.7545399869 164654.725405345 0 0 98754.1620136746 0 0 13873796.4598612 0 396394.184567463
1994-10-16 10 11 16 1994 961845.251112745 359640 0 72111.6014408501 2950.61751560288 145356.706515738 0 0 96322.358714694 0 0 17045855.0110539 0 487024.428887255
1994-10-23 10 12 23 1994 941402.410514 359640 0 66091.3549380927 0 128708.939228617 0 0 84927.5509108561 0 0 18969744.83201 0 541992.709486001
1994-10-30 10 13 30 1994 1012098.79222989 359640 0 62502.8667973369 3634.35853291754 130734.340660557 0 0 82390.9119346092 0 0 17703761.8719538 0 505821.767770109
1994-11-06 11 14 6 1994 770747.155362874 359640 0 19207.9865637756 0 93662.6798580524 0 0 75709.853324788 0 0 27359459.5622994 0 781698.844637126
1994-11-13 11 15 13 1994 0 3139893.76545724 0 29915.7173851561 0 0 0 0 87730.6975799207 0 0 52878000 2034190.92539802 1607666.23454276
1994-11-20 11 16 20 1994 0 3130927.77936132 0 27886.7506084146 0 0 0 0 85224.5330588242 0 0 51366000 2222476.63341228 1573432.22063868
1994-11-27 11 17 27 1994 884375.212517329 3236760 0 28020.4543053547 0 139849.816111584 0 0 84780.8984384032 0 0 18851013.5618935 0 538600.387482671
1994-12-04 12 18 4 1994 891782.140629315 3236760 0 27218.0517155378 0 128588.773416865 71.9231262176336 0 84879.9943192111 0 0 17081283.077974 0 488036.659370685
1994-12-11 12 19 11 1994 800706.008403158 1817800.38 0 30654.9217566665 0 97197.6437839872 71.9231262176336 0 89150.0183810674 0 0 23289923.7058895 0 665426.391596842
1994-12-18 12 20 18 1994 858734.623883633 1811266.92 0 29119.1626533615 0 93640.3611944154 69.4461546960422 0 87139.8171249271 0 0 24279898.1640728 0 693711.376116367
1994-12-25 12 21 25 1994 1052434.73627635 1804733.46 0 24055.4072154133 0 108777.228988497 71.5525778584285 0 81519.8087079231 0 0 20521370.2303279 0 586324.863723654
1995-01-01 1 22 1 1995 1099542.1591578 1438560 0 23969.5585601484 0 95677.8141604124 71.9231262176336 0 79965.5156415838 0 0 21893586.4294771 0 625531.040842202
