"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1990-09-09 9 6 9 1990 22028.67344 1856194.21762218 924100 22028.67344 1059144.87769192
1990-09-16 9 7 16 1990 34252.3711 1717603.79830317 565855.335794466 34252.3711 585868.12671424
1990-09-23 9 8 23 1990 0 631076.7416859 65242.3820572002 -6494.83085000001 603200.968021957
1990-09-30 9 9 30 1990 35648.78562 607623.044493 58025.8598440001 42143.61647 545158.304725908
1990-10-07 10 10 7 1990 85770.0568969999 1142642.9832192 84022.8016366102 85770.056897 418040.352144876
1990-10-14 10 11 14 1990 83115.2156380001 1428948.90180934 89806.380516774 83115.215638 392951.621282254
1990-10-21 10 12 21 1990 124300.050107171 1421724.58503837 47135.4401354482 127230.092415389 414942.079709885
1990-10-28 10 13 28 1990 105482.84442 1648133.94139307 34118.0273838704 217344.759648828 381010.48791954
1990-11-04 11 14 4 1990 132768.02205 2185962.67643691 53014.2530003376 143917.034225124 335564.491334884
1990-11-11 11 15 11 1990 127158.24155 2030296.29872232 13400.6627614498 163151.9213 377486.218800584
1990-11-18 11 16 18 1990 136410.51516 4168548.56583263 33738.1675676145 133121.8652 244352.574190584
1990-11-25 11 17 25 1990 135045.30472 6091420.83233825 0 148655.4857 538977.683740584
1990-12-02 12 18 2 1990 128702.10495 1611182.14765889 0 157434.6654 728956.710103938
1990-12-09 12 19 9 1990 133538.03375 3135435.6054389 0 139884.9694 1648564.44909619
1990-12-16 12 20 16 1990 132878.82209 2849467.83981695 0 147887.7903 578280.929401783
1990-12-23 12 21 23 1990 134340.31611 2093843.69064126 0 139998.2706 511890.188226192
1990-12-30 12 22 30 1990 138763.99308 2036934.08614602 0 127303.1225 403814.149516192
1991-01-06 1 23 6 1991 143971.87295 3827789.1497425 0 121938.1482 1246997.1670864
1991-01-13 1 24 13 1991 143509.15742 2815134.28237176 0 124765.976099999 392845.875448114
1991-01-20 1 25 20 1991 115557.09215 1896658.0272085 0 234473.0011 510153.580974114
1991-01-27 1 26 27 1991 128447.69821 1829030.57592267 0 172462.8141 478013.821789389
1991-02-03 2 27 3 1991 139521.66291 2032330.49925569 0 130358.0916 479029.016922613
1991-02-10 2 28 10 1991 123402.41325 2223379.04714969 0 229533.455 1083338.05009192
1991-02-17 2 29 17 1991 113899.33821 1566794.58413114 0 259035.3586 778210.96941975
1991-02-24 2 30 24 1991 276173.965402168 1219979.04289844 0 272374.627100001 784305.99758182
1991-03-03 3 31 3 1991 283377.7313173 1121835.79228384 117975.961608101 233377.7313173 870654.165279676
1991-03-10 3 32 10 1991 363151.7857947 992923.013352919 649803.269870393 319401.7857947 948341.308262294
1991-03-17 3 33 17 1991 302580.5926134 438070.896257777 791300 258830.5926134 671960.465800172
1991-03-24 3 34 24 1991 256744.893042 178026.2547 791300 212994.893042 593931.695429398
1991-03-31 3 35 31 1991 258091.117509 177238.8661375 791300 214341.117509 653776.255168398
1991-04-07 4 36 7 1991 271430.460675 248300.02105345 791300 217680.460675 565321.517762339
1991-04-14 4 37 14 1991 405195.014073 1054066.97640995 791300 351445.014073 1596534.0813849
1991-04-21 4 38 21 1991 358293.03796 255190.509949975 791300 304543.03796 960067.419021102
1991-04-28 4 39 28 1991 415537.47308 465946.506584588 791300 361787.47308 1433182.71281352
1991-05-05 5 40 5 1991 63274.292631734 123983.25 791300 217239.567009 1995126.71698174
1991-05-12 5 41 12 1991 60769.0669216161 123983.25 421750.4538645 150520.7877878 1296506.4538645
1991-05-19 5 42 19 1991 179703.09892595 683797.180125173 612014.837854173 439986.1036825 1856320.38398967
1991-05-26 5 43 26 1991 447512.811130301 972502.410663031 791300 615512.811130301 3713944.48351391
1991-06-02 6 44 2 1991 352216.6502 940829.889804052 791300 520216.6502 4100291.23527504
1991-06-09 6 45 9 1991 599892.039015612 1020232.61571391 1026488.14085482 599892.039015612 3335956.75969044
1991-06-16 6 46 16 1991 473750.0132779 1133983.28806156 1802295.71814175 473750.0132779 3515652.96383273
1991-06-23 6 47 23 1991 235077.845871 1373320.73595847 2152400 235077.845871 3449016.11088219
1991-06-30 6 48 30 1991 93961.476301 1042605.4901462 2152400 93961.4763010001 3930811.49093627
1991-07-07 7 49 7 1991 67534.1464868 1023233.38060267 1960400 53144.2148 2506869.55173851
1991-07-14 7 50 14 1991 105447.868355 1327121.48817591 2152400 -87426.349 2601072.57823204
1991-07-21 7 51 21 1991 116437.627215 1870439.29854762 2152400 -75664.6293 3062389.09613892
1991-07-28 7 52 28 1991 125375.856996 1294236.84467264 2152400 -55275.61378 2317778.01193148
1991-08-04 8 1 4 1991 125189.357135 1545427.39480818 1615400 -62398.45811 2737311.73631155
1991-08-11 8 2 11 1991 128904.4695087 1550401.17190395 1615400 -29359.40535 1947205.55951285
1991-08-18 8 3 18 1991 15401.2721235 1683699.46719186 1515400 -35729.16144 2048434.12349365
1991-08-25 8 4 25 1991 0 1258145.48234276 1515400 -38270.97724 1265318.85661068
1991-09-01 9 5 1 1991 0 1139646.52946623 1202400 -46884.55238 1194602.33218638
1991-09-08 9 6 8 1991 0 1174576.65327809 1190807.4364174 12348.53493 1160987.94640194
1991-09-15 9 7 15 1991 0 482177.3932222 1107245.41548455 71563.05675 699797.585955731
1991-09-22 9 8 22 1991 94847.2789800001 482559.963960976 676596.995730496 96091.21692 628726.153378664
1991-09-29 9 9 29 1991 38425.06162 950313.578615541 76860.7800041297 38425.06162 482409.970858468
1991-10-06 10 10 6 1991 128359.9745291 1434165.37472351 60690.8822879801 139700.3091121 289138.292305753
1991-10-13 10 11 13 1991 134590.590506346 1587807.14516568 43975.3044610303 131814.381292194 298745.177660782
1991-10-20 10 12 20 1991 129204.796285651 1755650.31185989 32060.9326511603 120640.670916803 262771.706303798
1991-10-27 10 13 27 1991 128983.912070541 1904688.69755099 39537.6807498708 128983.912070541 259993.364990399
1991-11-03 11 14 3 1991 96275.4551 2448839.19517329 19457.7735915584 300670.519955673 352304.186093384
1991-11-10 11 15 10 1991 140241.87827 1653394.93819199 0 129900.801 317891.176475164
1991-11-17 11 16 17 1991 118320.31347 4984271.9627699 0 202953.5881 323152.305855164
1991-11-24 11 17 24 1991 115040.48149 3276125.49153639 0 208685.9106 372369.394355164
1991-12-01 12 18 1 1991 129483.13975 1455221.40254858 0 160892.9793 369730.826210772
1991-12-08 12 19 8 1991 127579.24158 2995020.74219801 0 165009.4389 701642.019278726
1991-12-15 12 20 15 1991 110798.03988 2762029.91589505 0 217881.1906 406727.293980772
1991-12-22 12 21 22 1991 130692.45163 1998982.83604807 0 157738.1659 346141.650980772
1991-12-29 12 22 29 1991 131587.57983 2185608.92691567 0 153753.2679 329991.193460772
1992-01-05 1 23 5 1992 121721.5899 2861014.84323609 0 188430.7738 356380.368766354
1992-01-12 1 24 12 1992 138461.840655674 2898848.01200859 0 201285.3755 362051.732146354
1992-01-19 1 25 19 1992 181240.7077 2137539.75464612 0 181240.7077 353944.344166354
1992-01-26 1 26 26 1992 174356.5399 2150512.27338629 0 174356.5399 352324.922066354
1992-02-02 2 27 2 1992 182048.8967 2151321.29222264 0 182048.8967 447343.782719865
1992-02-09 2 28 9 1992 297974.472700001 1709990.41790643 0 247974.472700001 594851.934095415
1992-02-16 2 29 16 1992 244731.1555 1645411.40788677 0 244731.1555 461249.627397415
1992-02-23 2 30 23 1992 353487.7589 1461811.49037997 0 353487.7589 480987.399425415
1992-03-01 3 31 1 1992 400204.915689857 1068452.20298136 0 400204.915689857 493139.34115296
1992-03-08 3 32 8 1992 191549.168556 1240055.24742 0 291549.168556 463126.450145778
1992-03-15 3 33 15 1992 312055.718398 873329.761100808 0 312055.718398 574622.210256328
1992-03-22 3 34 22 1992 357925.904696 540497.25 0 357925.904696 816757.345978357
1992-03-29 3 35 29 1992 339008.350178 540497.25 0 339008.350178 791768.693263161
1992-04-05 4 36 5 1992 153951.75148 540497.25 0 303951.75148 590440.042215564
1992-04-12 4 37 12 1992 380014.25148343 540497.25 0 380014.25148343 1179630.63569464
1992-04-19 4 38 19 1992 417362.096266 540497.25 0 417362.096266 565229.810573338
1992-04-26 4 39 26 1992 609754.46703472 540497.25 0 609754.46703472 1206570.44879058
1992-05-03 5 40 3 1992 151734.99405 1181043.9069749 0 201734.99405 848098.32805834
1992-05-10 5 41 10 1992 301946.906732411 1790039.25 0 301946.906732411 1662671.33645219
1992-05-17 5 42 17 1992 193068.78937332 1790039.25 0 193068.78937332 2082452.68466783
1992-05-24 5 43 24 1992 72331.0284194 1504158.03966889 0 27852.1954 766266.809930682
1992-05-31 5 44 31 1992 90530.0759155 1790039.25 0 -19102.5125 951661.429394532
