"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1989-05-21 5 42 21 1989 41651.4 367525.3205 69419 1388.38 2000 174698.597299313 501905.642642313 5553.52 415392.6546687 832990.4994987 927611.1794987 1173759.0242969 1267806.69412637 2787943.48019869 3302200.65935529 3277893.40115229 3400333.46512429 3670105.26084469 3749905.96988599 3789571.61687499 137887.589405353 265694.338175353 650888.457445353 649506.840610855 671551.056340155 247781.664261264 1954616.96795642 1968321.43045902 1721809.46231115 1762240.24543115 6036216.20534614 6317886.01981614 6376561.73795714 6382444.29210734
1989-05-28 5 43 28 1989 41651.4 339559.774 167095.153178178 1388.38 2000 129262.2283 383372.5350164 5553.52 257266.48808636 611731.56507936 679275.72267936 863115.13662896 926212.817158432 2137352.75476301 2494095.2687658 2473005.9011098 2559199.7569532 2760244.9334682 2821658.7443441 2860026.6321191 91093.0238728998 93229.4031528998 226099.5902129 230125.773282106 252050.724971866 197866.59365108 1447146.53184895 1484409.77710401 1312072.10344133 1355292.05130133 4640537.98555043 4968799.08595043 5081808.83040943 5198168.34444243
1989-06-04 6 44 4 1989 41651.4 302017.3887 535577.226903907 144897.128186066 2000 134656.220942585 559958.830196851 5553.52 321322.9733689 563335.3505849 597048.7807849 687656.9740606 713416.65733398 2107375.48371474 2204101.89031571 2354009.75071971 2463355.60160331 2597579.91003361 2557998.73098731 2571587.43908531 162525.9223838 151698.6419538 182701.8545938 186076.087175258 199203.648047458 629073.0408 1809600.11105046 1802705.05915696 1191553.73675026 1192210.10682426 3690873.44717956 3713502.23550956 3746880.89042956 3808616.17209356
1989-06-11 6 45 11 1989 41651.4 378064.6965 941913.77678654 177072.9766 2000 173538.37820269 804469.92941869 5553.52 524918.810081651 865510.129711651 912082.226711651 950361.636818451 945979.659191831 2860024.80129706 2816757.85357356 2900440.10144556 2980719.05933956 3075833.10557456 2917493.71127056 2871164.14151356 376182.3042615 467436.7432015 463297.5490015 461361.120648416 471547.910620116 240889.093707685 1778229.4280678 1755571.5105538 1504044.14306412 1477408.17044612 3738511.90137968 3364041.31624968 3376922.82230968 3402890.23133568
1989-06-18 6 46 18 1989 41651.4 381346.755 919869.900463761 193507.6916 2000 131526.66663019 713568.31810619 5553.52 510533.88599998 917853.30835998 970433.769495214 1065696.67680941 1088850.46626281 3023854.22123276 3110120.47981476 3173525.05539276 3308976.67981676 3429792.59470876 3402908.67223666 3433322.36534766 321225.994579 304857.868079 339698.168279 342134.23999187 361231.45835207 190311.689812572 1504124.81962464 1489935.31835894 1304843.03101337 1294302.47132837 4624769.87438603 4518395.95742603 4536641.16835603 4576261.60257203
1989-06-25 6 47 25 1989 41651.4 413521.1645 941248.23186343 112771.6685 2000 110436.45837236 499766.36155036 5553.52 250526.641706966 622108.828296966 669075.991265849 784534.604460749 820313.796534129 3141025.18214792 3357864.45084872 3434883.03857472 3574457.97033272 3667959.24296572 3650239.55489172 3675763.71373072 231527.138833 185326.755032999 184914.050832999 187363.875777686 198555.639258486 132768.603576361 1125774.13277485 1156678.36580505 1062780.29711569 1075817.94452269 4604600.4034434 4527518.8495334 4525828.2773834 4598251.2994534
1989-07-02 7 48 2 1989 41651.4 320708.3353 580483.3040944 444766.4664 261781.852546709 340466.018570749 992718.966135749 5553.52 242954.372725125 433835.281405125 461364.451605125 500410.669893325 522452.117397176 2499839.04772732 2607278.18308332 2667901.88643332 2811519.78187432 2891283.10221732 2918640.59003632 2955726.48705832 174276.457031 2781.42043100018 59326.078242 61580.6385806 70445.4580226 240557.986040901 770421.109823501 780215.732678601 547843.9910977 551134.6506957 3713480.61398402 3865494.71737402 4000132.35459402 4246101.11679202
1989-07-09 7 49 9 1989 41651.4 283935.367 69419 104434.0042 422662.6761811 473746.5024734 754961.9524824 5553.52 210604.1132815 363273.6212515 408896.900481938 451047.246163838 485863.790716632 1353439.59389903 1457671.14391603 1592673.87913603 1761587.22687703 1792909.27860603 1815697.36029743 1822041.92106343 165526.909815 258.400814999826 85976.603489 87209.927245754 91111.578494754 61541.947967696 429529.15174245 431752.08700365 361061.008667954 358045.799773954 2327535.62838739 2150157.51002739 2245326.97330739 2375835.08983939
1989-07-16 7 50 16 1989 480757.246908625 669126.247508625 508524.846908625 1388.38 360230.6171645 404451.07791283 542846.57022883 5553.52 224949.140327194 295383.148277194 323450.802956673 330161.491506673 352836.07814901 1326442.70799823 1380001.21384193 1455624.73640193 1576836.72346093 1602941.60006593 1613154.21571163 1617781.84690863 144174.278753 15422.4898530003 97961.610895 99136.37522691 101491.78769191 55535.2 383301.84344191 383113.80777471 318079.83670671 312932.20496271 2057896.00556134 1968367.77632134 2073846.39431134 2217899.00386634
1989-07-23 7 51 23 1989 619217.48 805156.1518 646985.08 1388.38 115599.2045698 155700.0126934 298875.7893264 5553.52 196237.85358774 324939.35987774 363534.549592776 379921.327507876 404914.432620706 1446355.0430803 1486292.5499372 1602279.3987372 1688467.8210432 1688280.3624642 1667672.810919 1652812.08 113514.759538 15468.3668379998 107733.31235 108257.84950201 111132.53433201 55535.2 383705.87745201 384088.71390811 321742.20631711 317254.62945811 1956278.85343811 1761385.59048811 1834921.32982811 1899352.35544411
1989-07-30 7 52 30 1989 468316.306881865 630541.740481865 496083.906881865 1388.38 41302.9616342997 64082.5683999597 151765.91298696 5553.52 123279.35683422 211434.93513422 233703.342073897 243533.458794497 262384.828003627 1042886.08137227 1126590.33745987 1193372.86687987 1319962.84761587 1347762.81580887 1382288.20129787 1398530.90688187 104651.418466 22185.6317159999 119730.7514497 119457.66468872 122556.31325842 55535.2 353776.76321842 353895.65158132 290781.20678632 286912.92482232 1859589.38427418 1794137.35838418 1884190.94403418 1992307.28656818
