"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1996-03-03 3 31 3 1996 14842356.7490254 1218163.43425018 153400 486370 2775100 2451073.0655114 9107300 2555447.9101 920000 2430000 4095000
1996-03-10 3 32 10 1996 14850485.9857154 1253190.96406018 153400 402130 2605100 2438485.8730014 9107300 2258121.69993 857500 2400000 4072500
1996-03-17 3 33 17 1996 14861972.3665354 1303737.23954018 153400 317890 2605100 2456232.5072214 9107300 2094700 795000 2370000 4050000
1996-03-24 3 34 24 1996 14874854.2244954 1363125.50478018 153400 233650 2605100 2463210.6291414 9107300 2105660 732500 2340000 4027500
1996-03-31 3 35 31 1996 14882894.2852754 1408223.92550018 153400 149410 2605100 2455422.7001414 9107300 2116620 670000 2310000 4005000
1996-04-07 4 36 7 1996 14915717.8731154 1437156.49346018 153400 173308 2605100 2451170.7112014 9107300 2172550 612500 2282500 3976880
1996-04-14 4 37 14 1996 14993808.8492154 1596578.90006018 153400 197205 2605100 2596538.3056014 9107300 2298105.292 555000 2255000 3948750
1996-04-21 4 38 21 1996 15075500 1857301.9408311 153400 221103 2605100 2655755.2890914 9107300 2474814.2564 497500 2227500 3920630
1996-04-28 4 39 28 1996 15075500 2206919.25867297 153400 245000 2605100 2721103.8172414 9107300 2631774.665 443000 2200000 3892500
1996-05-05 5 40 5 1996 15186306.1441 2437260.52847297 153400 267000 2792545.7891 2768036.0918514 9095635.06639002 2721737.8897 636000 2258785.032385 3952449.483243
1996-05-12 5 41 12 1996 15308667.6339 2674550.87107297 153400 289000 2951144.411 2784907.3284914 8760624.08526009 2767950 832000 2346121.3891558 3984645.927583
1996-05-19 5 42 19 1996 15533709.6749 3026709.62687297 153400 311000 3254839.7806 3009329.62339096 8017636.62682924 2767950 1028000 2426800 4102200
1996-05-26 5 43 26 1996 15914055.9990201 3719004.14437297 153400 333000 3669549.98039833 3191519.32429096 9107300 2767950 1224000 2502400 4172100
1996-06-02 6 44 2 1996 16399242.2769597 3727300 153400 355000 4147417.48416 3385677.79909096 9107300 2367950 1420000 2578000 4242000
1996-06-09 6 45 9 1996 16983788.1740749 3727300 153400 386250 4678521.77776645 3647000 9107300 2367950 1420000 2577900 4242100
1996-06-16 6 46 16 1996 17734291.9928414 3727300 153400 417500 5338690.41217895 3647000 9107300 2367950 1420000 2577800 4242200
1996-06-23 6 47 23 1996 18444707.7137549 3727300 153400 448750 5855100 3647000 9107300 2367950 1420000 2577700 4242300
1996-06-30 6 48 30 1996 19333275.1349941 3727300 153400 480000 5855100 3647000 9107300 2367950 1420000 2577600 4242400
1996-07-07 7 49 7 1996 19910047.1825127 4627300 328340.7476 507303 5838625.58014679 3638932.26847708 9107300 2435143.04618362 1420000 2577600 4242400
1996-07-14 7 50 14 1996 20075520 5527300 482425.7991 534605 5855100 3647000 9107300 2450710.76114059 1420000 2577600 4242400
1996-07-21 7 51 21 1996 19899037.980764 6421977.95585799 670260.0029 561908 5837979.53551338 3643933.79453105 9107300 2443934.53588823 1420000 2577600 4242400
1996-07-28 7 52 28 1996 19558765.0606756 7218081.04410483 804835.864 589210 5855100 3647000 9107300 2417195.20888257 1401026.175753 2577600 4242400
1996-08-04 8 1 4 1996 20075520 7327300 962023.0582 589210 5855100 3647000 9107300 2238000 1183000 2577600 4242400
1996-08-11 8 2 11 1996 20075520 7327300 1075800.8813 589210 5855100 3647000 9107300 2232842.89763703 1107713.53549999 2577600 4242400
1996-08-18 8 3 18 1996 20075520 7327300 1169949.45703 589210 5855100 3547000 9107300 2221090.91727639 991503.87467579 2577600 4242400
1996-08-25 8 4 25 1996 20075520 7327300 1218098.89089 589210 5855100 3547000 9107300 2207435.62959843 862148.457921191 2577600 4242400
1996-09-01 9 5 1 1996 20075520 7327300 1287554.12592 589210 5693352.93802383 3354546.22052438 8961872.83247161 2194430.62338076 771484.39336819 2577600 4242400
1996-09-08 9 6 8 1996 20075520 7327300 1335274.79601 513451.23046762 5649917.61939019 2920000 8934510.70506008 2179756.69318237 736462.14916079 2577600 4242400
1996-09-15 9 7 15 1996 20075520 7327300 1374548.88132 466646.9408875 5597242.12224966 2500000 8925818.74795765 2165227.91034196 711487.13949479 2577600 4242400
1996-09-22 9 8 22 1996 20075520 7327300 1408672.10205 409048.313999462 5624756.10606918 2030000 8977091.69610326 2156631.49415488 794750.322136535 2577600 4242400
1996-09-29 9 9 29 1996 20075520 7327300 1423400 375352.282363162 5547797.53739428 1830000 8888855.8339488 2141474.28478916 843232.978907655 2577600 4242400
1996-10-06 10 10 6 1996 19875520 7277300 1423400 374952.981062749 4975000 1818679.4353 8316000 2123802.08515553 860094.659748615 2577600 4242400
1996-10-13 10 11 13 1996 19821972.2128825 6923632.56036532 1419741.13112419 423985.813141519 4967189.99784245 1803195.22839208 8107335.74602239 2105707.69334965 891005.795830044 2577600 4242400
1996-10-20 10 12 20 1996 19814491.4850109 6865092.93617688 1418814.90498044 520201.054298427 4963572.8124516 1796601.1827743 7583584.76289032 2101350.61499409 925562.986074153 2577600 4242400
1996-10-27 10 13 27 1996 19776452.6881098 6632488.58344207 1414245.54776832 537690.950438865 4949374.85358915 1773381.84008623 7319202.76054719 2090281.7315762 996332.787121319 2577600 4242400
1996-11-03 11 14 3 1996 19648275.0331321 6220742.60177775 1400063.37220365 540109.992527182 4906945.87492614 1737649.61695889 7303297.19340278 2066233.98021372 1114997.24796831 2577600 4242400
1996-11-10 11 15 10 1996 19148884.7849321 3818979.25047453 1327038.50258173 539252.808337182 4837693.89525815 1695770.9458663 7223113.19965794 2038459.38246678 1107238.03922831 2577600 4242400
1996-11-17 11 16 17 1996 18654554.1900321 1577835.84133409 1265385.01222886 544249.561367182 4765070.48441929 1650783.79643353 7103780.94884853 2021366.117687 1080901.23919831 2577600 4242400
1996-11-24 11 17 24 1996 18151269.0511321 227340 1231738.365 544233.486687182 4710640 1602509.95077213 6866374.6263037 2017196.12437376 1183000 2577600 4242400
1996-12-01 12 18 1 1996 17956178.96 276747.873256878 1217910.99588193 532363.986807182 4683657.85580161 1557715.96172438 6796507.56308447 1995078.00872966 1183000 2577600 4242400
1996-12-08 12 19 8 1996 17421955.20098 323280.663934851 955453.002789128 766683 3780803.93080753 1509495.59237164 7355758.30962086 1971590.69456987 1183000 2577600 4242400
1996-12-15 12 20 15 1996 16886461.72461 363987.714471256 873125.9714 755545.91838 3723265.10410723 1452046.65852182 7280887.12613847 1982474.50516821 1183000 2577600 4242400
1996-12-22 12 21 22 1996 16510621.93 399549.087665599 846811.986092131 742280.11813 3648242.12868575 1389420.71173914 7250480.11945608 1961322.11751207 1183000 2577600 4242400
1996-12-29 12 22 29 1996 16213458.3650466 426906.481173326 808973.323811027 727226.17704 3533761.32138146 1315466.71777147 7165311.63645368 1926492.13724118 1183000 2577600 4242400
1997-01-05 1 23 5 1997 15666410.8488666 463828.038695164 757816.298187527 786576 2755677.44266044 1274476.77382533 7856824.50859868 2022547.13413875 1370000 2578080 4242400
1997-01-12 1 24 12 1997 15376197.8881627 505336.769725164 738822.852628926 756422 2809743.44107044 1253290.90926533 8316000 2068935.88354875 1320000 2578560 4242400
1997-01-19 1 25 19 1997 15028370.59 530291.37061391 708100.7991 726268 2762584.83160141 1209564.14073835 8316000 2074926.50128032 1270000 2579040 4242400
1997-01-26 1 26 26 1997 14828207.5646309 544578.88377046 643037.85512665 696114 2714573.873489 1150681.67719661 8316000 2060390.70083917 1220000 2579520 4242400
1997-02-02 2 27 2 1997 14602516.6902837 554036.190709 555869.273994113 665960 2652566.92819013 1088405.81886716 8419386.37753651 2043475.05726697 1170000 2580000 4242400
1997-02-09 2 28 9 1997 14592529.9508118 581297.847788627 476775.101681675 621063 2087533.57818637 1057804.37195261 9107300 2066475.9549851 1107500 2542500 4205550
1997-02-16 2 29 16 1997 14564227.7006082 604723.193778853 367184.648953615 576165 2082241.23912224 1024252.04958525 9107300 2080964.61480694 1045000 2505000 4168700
1997-02-23 2 30 23 1997 14580017.8682082 651878.454378853 262150 531268 2095100 996133.823425253 9107300 1999200 982500 2467500 4131850
1997-03-02 3 31 2 1997 14595945.5752982 686999.148188853 153400 486370 2095100 968297.963165253 9107300 1892950 920000 2430000 4095000
1997-03-09 3 32 9 1997 14614121.1443382 717546.301348853 153400 402130 1855100 942430.141895253 8973050 1786700 857500 2400000 4072500
1997-03-16 3 33 16 1997 14631760.8541682 750044.041118853 153400 317890 1855100 915925.329335253 8838800 1680450 795000 2370000 4050000
1997-03-23 3 34 23 1997 14655274.8550482 806408.621938853 153400 233650 1855100 930513.662875253 8704550 1574200 732500 2340000 4027500
