"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
2004-05-30 5 44 30 2004 57708.742197039 1790039.25 96905.7167686569 46750.4647344996 1513468.45643626
2004-06-06 6 45 6 2004 83118.01066 1726480.59623874 455498.305292173 109085.55630258 1645014.13421724
2004-06-13 6 46 13 2004 106226.21665022 1913018.44020479 438160.16370057 -34939.6611183 1802185.15387519
2004-06-20 6 47 20 2004 116005.6186862 2096876.37459806 923582.330307757 -63061.0727083 1754029.18895141
2004-06-27 6 48 27 2004 45038.3109726302 462320.438793225 1183140.9803757 -103174.2479883 1725342.40041132
2004-07-04 7 49 4 2004 0 1210742.01896583 995740.259935474 -102576.1749357 1160016.63820867
2004-07-11 7 50 11 2004 0 1016436.7121606 327668.318055585 -142656.924 590990.875737105
2004-07-18 7 51 18 2004 0 704516.513334702 199730.5120394 -149597.44864 436418.450173392
2004-07-25 7 52 25 2004 0 558651.979165741 140694.9493276 -129546.1613 271413.594722332
2004-08-01 8 1 1 2004 0 1245659.87014645 118185.3881566 -94843.79475 646711.644276217
2004-08-08 8 2 8 2004 0 831643.808659961 329944.741429819 -61806.42166 702777.445614477
2004-08-15 8 3 15 2004 0 846856.914195462 487030.041422199 -27954.20074 808747.132249
2004-08-22 8 4 22 2004 0 721728.171901527 754464.757874314 -20377.69368 953296.316372213
2004-08-29 8 5 29 2004 0 631976.886633527 910842.471735365 68454.6197531004 1139903.12729673
2004-09-05 9 6 5 2004 0 746321.099365426 507980.32604305 35205.4237596003 750562.193773051
2004-09-12 9 7 12 2004 0 503988.638964043 766995.508149805 67464.5418783001 656315.941505804
2004-09-19 9 8 19 2004 0 339179.964241903 985367.245728114 106039.113986 618495.405058494
2004-09-26 9 9 26 2004 0 321518.90174869 941439.287921933 108990.21177533 358538.82121835
2004-10-03 10 10 3 2004 0 384221.234227392 1022956.26077879 109451.1130404 511288.908954363
2004-10-10 10 11 10 2004 0 768172.209107095 817881.843463284 129689.909838 346936.769661034
2004-10-17 10 12 17 2004 31402.4100604409 643916.975228707 647421.873043135 135466.29573541 383860.275848164
2004-10-24 10 13 24 2004 135411.44151 840011.100714327 550905.778305856 141045.827055791 376103.064701034
2004-10-31 10 14 31 2004 126694.67973 1022128.47561836 514666.647575696 145960.39910037 436860.712601034
2004-11-07 11 15 7 2004 127658.44838 1049715.35511912 443195.08636076 141439.3641 444436.564920584
2004-11-14 11 16 14 2004 126710.15077 1493164.46494278 453036.317760627 143990.1084 419458.936855164
