"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1986-11-30 11 18 30 1986 17897713.7051745 5495814.27 955257.493703768 660431.553142699 4685160 2972854.58651567 6966528.97885425 1925665.88911081 1420000 2577600 4242400
1986-12-07 12 19 7 1986 17800000 4938259.271 873125.9714 766683 3854832.57703617 2964482.02014567 7239217.88570395 1917212.8971697 1420000 2577600 4242400
1986-12-14 12 20 14 1986 17762096.4616756 4938259.271 873125.9714 783365 3838714.85359231 2952884.32923567 6757022.53299712 1905329.14677515 1420000 2577600 4242400
1986-12-21 12 21 21 1986 17712861.4445815 4932577.67331355 873125.9714 800048 3829662.36678579 2940967.29942567 6258206.63847643 1892279.54609259 1420000 2577600 4242400
1986-12-28 12 22 28 1986 17625617.7684904 4902674.11566878 873125.9714 816378.774615791 3810961.24930934 2924079.69021567 5775646.52017343 1874264.97301248 1420000 2577600 4242400
1987-01-04 1 23 4 1987 17270806.1016498 4551263.31229023 857408.85443928 786576 3821787.36397991 2848045.25649897 5311890.825175 1856315.54897853 1170000 2578080 4242400
1987-01-11 1 24 11 1987 16929914.8366388 4235130.47117527 824519.755857965 756422 3828433.89584247 2775070.87633776 4792571.94271005 1836572.17832339 1170000 2578560 4242400
1987-01-18 1 25 18 1987 16565751.9950613 3935150.37571587 746596.322434613 726268 3817310.05622354 2701703.43700795 4340008.59209379 1815921.18253374 1170000 2579040 4242400
1987-01-25 1 26 25 1987 16173286.90366 3654027.55909211 664811.766935784 696114 3797458.58573381 2623474.49091978 3921900 1802775.49818105 1170000 2579520 4242400
1987-01-01 1 27 1 1987 15732920.1914802 3409246.2496708 576080.633432215 665960 3756001.25809738 2541792.44490662 3921900 1798236.60829198 1170000 2580000 4242400
1987-02-08 2 28 8 1987 15256024.9575717 3166687.89900988 473396.682222715 621063 3715435.38632939 2480524.2011444 3921900 1796728.02005889 1404644.59472 2542500 4205550
1987-02-15 2 29 15 1987 14927610.03 3010000 366424.734965221 576165 3656140 2433348.19469392 3921900 1801154.85241035 1420000 2505000 4168700
1987-02-22 2 30 22 1987 14893708.9052233 3027000.98174294 260182.962319118 531268 3627670 2393176.96078011 3921900 1795819.9745849 1420000 2467500 4131850
1987-02-01 2 31 1 1987 14927610.03 3080000 153400 486370 3599210 2389368.014 3921900 1859922.8042149 1420000 2430000 4095000
1987-03-08 3 32 8 1987 14940700.97 3122500 153400 402130 3570250 2376574.697 4015519.54162102 1942239.8520149 1333758.80113716 2400000 4072500
1987-03-15 3 33 15 1987 14940700.97 3165000 153400 317890 3543140 2363781.38 4254593.18665813 2012193.9223549 1255767.26737774 2370000 4050000
1987-03-22 3 34 22 1987 14940700.97 3207500 153400 233650 3517210 2350988.063 4208014.91601691 2044495.7545649 1183000 2340000 4027500
1987-03-29 3 35 29 1987 14940700.97 3246552.908 153400 149410 3490000 2338194.746 3960063.04981169 2074691.1401249 1183000 2310000 4005000
1987-04-05 4 36 5 1987 14990486.2 3330000 153400 173308 3482500 2394765.53461 3933952.88308511 2155391.6586249 1183000 2282500 3976880
1987-04-12 4 37 12 1987 14990486.2 3406619.391 153400 197205 3476630 2457667.56402 4075380.63261006 2238000 1183000 2255000 3948750
1987-04-19 4 38 19 1987 15059960.7703 3490000 153400 221103 3473260 2553039.02072 4399308.50388002 2238000 1183000 2227500 3920630
1987-04-26 4 39 26 1987 15251463.8565899 3965892.77833698 153400 245000 3797655.77423147 2785912.65072 5440103.56881908 2327685.18559909 1228641.819082 2200000 3892500
1987-05-03 5 40 3 1987 15697871.3866899 4674479.02923698 153400 267000 4306683.30353147 2958201.14592 6014041.56018755 2238000 1024919.2799227 2275600 3962400
1987-05-10 5 41 10 1987 16340390.6873899 5562642.83253698 153400 289000 4950898.68531789 3135513.77432 6655687.17934302 2238000 847160.8858027 2351200 4018845.40852
1987-05-17 5 42 17 1987 16750395.1340532 6016382.75653698 153400 311000 5324102.73817149 3224329.85795 6473047.89090887 2238000 724739.6250777 2426800 4002516.83689167
1987-05-24 5 43 24 1987 17213015.5596532 6548434.09993698 153400 333000 5029153.65727623 3177164.74694732 5731585.5376147 2260984.48344 443000 2502400 4164576.36185367
1987-05-31 5 44 31 1987 17734658.1445532 7168084.47000868 153400 355000 4975000 3166000 5059466.29965287 2284210.9504 373952.88035367 2578000 4242000
1987-06-07 6 45 7 1987 18620789.1153833 7327300 153400 386250 4975000 3166000 6306077.07104852 2283486.99986 354610.25748092 2577900 4242100
1987-06-14 6 46 14 1987 19565648.2434127 7327300 153400 417500 4975000 3166000 7612654.70995477 2274295.60979 342469.79580062 2577800 4242200
1987-06-21 6 47 21 1987 19685500 7327300 153400 448750 4975000 3166000 8316000 2253848.01936 214422.25950062 2577700 4219917.6643723
1987-06-28 6 48 28 1987 19685500 7327300 153400 480000 4975000 3166000 8316000 2225490.34487 119172.76410062 2577600 4202101.2436477
1987-07-05 7 49 5 1987 19205433.92 7201381.18938522 254826.845 507303 4975000 3166000 8316000 2197745.56306 15153.7539006202 2577600 4202229.8471687
1987-07-12 7 50 12 1987 19134283.3147 7100000 334782.61176 534605 4975000 3166000 8298526.8992442 2164544.25135 -93298.8066993798 2577600 4210414.5311687
1987-07-19 7 51 19 1987 19525000 7100000 411201.84896 561908 4975000 3166000 8057178.56248975 2134839.79976 -208285.14750668 2577600 4242400
1987-07-26 7 52 26 1987 20075500 7100000 503859.76675 589210 4975000 3166000 8077779.64347272 2096255.34659 -180496.61304288 2577600 4242400
1987-08-02 8 1 2 1987 20021525.8224958 7311483.53766186 570050.24179 589210 4975000 3166000 8316000 2083681.13773 -261159.50357748 2577600 4242400
1987-08-09 8 2 9 1987 19979012.9267533 7306910.94819836 631526.00525 589210 4975000 3166000 8316000 2069357.50707 -305893.50120748 2577600 4238988.0209784
1987-08-16 8 3 16 1987 19813266.4303279 7264800.38480015 669953.157660792 585395.2660531 4967720.44747944 3161212.11358993 8316000 2055174.55441631 -309483.153841481 2577600 4242400
1987-08-23 8 4 23 1987 19745430.2853628 7228353.10395814 710378.472057586 568007.8439801 4943215.13934987 3140284.66824512 8150704.11936978 2034570.58525768 -264851.399600581 2577600 4242400
