"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1990-09-23 9 8 23 1990 750647.733037341 179820 0 2951.69742876436 0 0 3.5438146542042 0 96657.5401549533 0 0 20510499.3436931 0 586014.266962659
1990-09-30 9 9 30 1990 787480.824603049 179820 0 2349.48647015971 0 0 5.3794342811259 0 96149.6518050519 0 0 20731829.1388933 0 592337.975396951
1990-10-07 10 10 7 1990 705221.825135807 359640 0 406.967463516363 0 0 6.75421255265837 0 93421.0206758995 0 0 24819284.5202467 0 709122.414864193
1990-10-14 10 11 14 1990 726448.73187621 359640 0 0 0 0 8.96780252518579 0 92086.1941846349 0 0 25284733.1843327 0 722420.948123791
1990-10-21 10 12 21 1990 761639.067861866 359640 0 0 0 0 10.7566683433618 0 90891.7419717155 0 0 25261461.8248347 0 721756.052138135
1990-10-28 10 13 28 1990 862783.645321002 359640 0 0 0 0 12.5515054575067 0 90611.8975815493 0 0 22929792.0137649 0 655136.914678998
1990-10-04 10 14 4 1990 903879.583203685 359640 0 0 0 0 13.8976997675338 0 85678.8580705616 0 0 22699824.587871 0 648566.416796315
1990-11-11 11 15 11 1990 355087.329714861 3236760 0 0 0 0 0 0 80517.8522032947 0 0 40397065.4599799 0 1154201.87028514
1990-11-18 11 16 18 1990 824702.947927766 3236760 0 0 0 0 0 0 81015.0701040135 665270.538605101 0 22450030.8225282 0 641429.452072234
1990-11-25 11 17 25 1990 738409.734066505 3236760 0 0 0 0 0 0 78168.910465442 151417.211338109 0 23959805.3076723 0 684565.865933495
1990-11-02 11 18 2 1990 832679.090153477 3236760 0 0 0 0 0 0 81124.593212035 740463.982916681 0 19149889.8446283 0 547139.709846523
1990-12-09 12 19 9 1990 285204.420281308 1817800.38 0 0 0 0 0 0 79488.377142227 0 0 41332479.2901542 0 1180927.97971869
1990-12-16 12 20 16 1990 651148.029647574 1811266.92 0 0 0 0 0 0 82728.5795443071 0 0 31545428.9623349 0 901297.970352426
1990-12-23 12 21 23 1990 947252.422211932 1804733.46 0 0 0 0 0 0 83926.465540216 590938.947573517 0 24202751.2225824 0 691507.177788069
1990-12-30 12 22 30 1990 1132027.26233728 1438560 0 0 0 0 0 0 83276.9850046278 695354.077553522 0 20756607.8181954 0 593045.937662725
1991-01-06 1 23 6 1991 1005447.66121243 719280 0 0 0 0 0 0 83247.7369438325 467101.806436694 0 25304376.257565 0 722982.178787573
1991-01-13 1 24 13 1991 828433.45886985 719280 0 0 0 0 0 0 70315.1854989831 0 0 31617355.7395552 0 903353.02113015
1991-01-20 1 25 20 1991 927267.842562859 719280 0 0 0 0 0 0 79752.468206167 0 0 28275634.7102999 0 807875.277437141
1991-01-27 1 26 27 1991 962166.393171461 719280 0 0 0 0 0 0 82508.6103199975 416514 0 27171667.8389989 0 776333.366828539
1991-01-03 1 27 3 1991 952223.220841315 719280 0 0 0 0 0 0 78737.4158291531 416514 0 27637161.270554 0 789633.179158685
1991-02-10 2 28 10 1991 805946.610390592 959040 0 0 0 0 0 0 76969.9093158066 183036.886131671 0 28833769.6363293 0 823821.989609408
1991-02-17 2 29 17 1991 642468.888338202 959040 0 0 0 0 0 0 67837.9233220585 0 0 30632416.9081629 0 875211.911661798
1991-02-24 2 30 24 1991 589205.228584207 959040 0 0 0 0 0 0 72971.5081849923 0 0 28573571.9995527 0 816387.771415793
1991-02-03 2 31 3 1991 339319.260851249 959040 0 0 0 0 0 0 66694.3540502704 0 0 33396507.8702063 0 954185.939148751
1991-03-10 3 32 10 1991 0 1498538.22668842 0 17311.1967673029 0 0 0 0 72940.8379895652 0 0 41842500 13917081.7514388 1734921.77331158
1991-03-17 3 33 17 1991 28373.6797540321 2037960 0 24180.5983590102 0 0 0 0 71892.633593473 0 0 37335554.2086089 0 1066730.12024597
