"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-10-14 10 11 14 1979 389790.835792795 448091.011492795 723235.726489851 36278.1783962757 94687.6782942932 97978.2573942931 196996.476690569 33372.140254 51831.2675944299 88023.6707544299 99517.8876844299 124967.52278914 120403.18540697 1293284.47688376 1295678.19945092 1309460.55303392 1314041.44884072 1319372.14059372 1319070.88991632 1281211.00318042 35957.19386 106197.272701 139387.90501 139387.90501 142882.78171 42124.2877437766 260034.528195217 256389.564177483 216028.676989606 224369.085749366 1510502.07544679 1465330.74470539 1528098.79375859 1590488.98207459
1979-10-21 10 12 21 1979 377142.301885564 428500.327585564 723025.478310916 36101.5401476986 100934.42844735 106759.88403735 203066.588595048 30529.8257 51148.0112000001 96333.4738200001 107329.83942 135776.49983471 139532.82507254 1261538.1806098 1262074.66562486 1279658.59312226 1284644.14965586 1293859.61084456 1292808.79703126 1287070.86690596 52517.8452300001 139971.0255 124158.41473 124158.41473 134085.68923 42931.5671821251 287342.572683565 287025.873765831 247125.145339606 256691.070543096 1604615.98358506 1570603.63018636 1637491.09588927 1730089.95224617
1979-10-28 10 13 28 1979 283891.795227239 336761.226137239 666778.012407787 38220.8359942946 109094.122069742 118511.644409742 213345.578064036 31495.776284 53786.0282000001 100683.22666 121648.51966 131873.02807471 134740.75811254 1212764.05518631 1205353.61176395 1226753.098644 1237114.10145042 1254735.26462892 1256602.69412262 1241102.39047182 68454.9554499998 194979.6564 127099.70452 127099.70452 130945.65562 43655.934469678 282756.988601118 285066.405883384 244290.566369606 239831.365073096 1597137.96304892 1576286.06653282 1647137.1334582 1729742.53584909
1979-10-04 10 14 4 1979 302693.352430122 347414.682740122 516793.408849309 42798.9813456065 122836.225323454 131759.863283454 231665.82666906 32199.908646 46792.30795 87935.45579 121832.9825 120192.57443542 127886.606756584 1113481.45668294 1081450.39166618 1098729.29379632 1104904.78389963 1115751.82495153 1116182.61515279 1109438.03551837 44046.28045 128885.8522 136257.39211 136257.39211 131481.19291 45088.3701021868 273933.969737307 274210.268033791 232069.439644674 229847.344239897 1378152.51536207 1346868.89797557 1416943.56609929 1480133.68600484
1979-11-11 11 15 11 1979 616157.598428817 658264.713378817 1044485.20365963 65085.0415551128 2000 6415.2074 133115.661555113 33963.214747 47976.4403900001 86243.5546600001 119087.85805 166605.6 173926.739681164 1522375.81007932 1486488.87656255 1500171.74499269 1504849.714196 1513132.1266479 1513295.14814916 1538579.66521474 40686.31593 101058.0743 133273.25935 133273.25935 128705.32465 27767.6 243315.01541512 243853.132011604 219158.032324674 228033.459619897 1809058.44293844 1777844.24705194 1839272.96317566 1895832.33808121
1979-11-18 11 16 18 1979 49630.4220899992 91037.3716299992 100230.761699999 8205.62129999988 2000 4132.23178 76236.2412999999 34306.3553 46937.10136 80979.42149 112950.99744 166605.6 171171.697861164 511221.450164571 475790.715047809 488352.922077949 493245.106181259 501247.849333159 501662.771634419 537445.802999999 37325.32687 84442.4168400001 136988.10306 136988.10306 131658.51526 27767.6 253896.63717212 254379.216468604 231011.059281674 234933.758376897 824083.724080696 793902.916794196 851848.657117915 911222.578023465
1979-11-25 11 17 25 1979 51647.6125299983 92074.7271899983 122471.426799999 7707.76997100014 2000 270.412909999999 75738.3899710001 38396.273387 49343.0522 77492.47872 104340.74797 166605.6 171955.169081164 549909.060335571 509985.762518809 521008.795648949 524907.260652259 531370.829804159 531635.008405419 559188.616770999 35183.2084499998 85662.0682800002 137595.4419 137595.4419 133243.7056 27767.6 246899.34659812 247344.239894604 223861.041407674 226944.732102897 837647.098277696 818220.673091196 880914.843914915 935798.185520465
1979-11-02 11 18 2 1979 73253.566799996 114722.003999996 175957.717399996 12297.5228599998 64001.0808415767 69245.3793015767 142329.223701576 33584.3717 55672.30953 92404.21692 97708.01952 166605.6 159277.180055972 667346.888664737 610166.095766582 621013.925285863 626971.629305293 642433.737506492 641277.704048542 679265.741101572 33551.0101399999 76668.0708299996 140288.59941 140288.59941 138560.99581 27767.6 294693.921538667 291684.034611863 276695.174942383 276899.780762749 913077.474205622 929661.183020901 1003249.40800915 1112468.51384805
1979-12-09 12 19 9 1979 238229.222590001 279870.221800001 930761.435800001 375255.70236 887917.86157 893886.1271 695973.55890018 31838.91685 57754.95453 98862.39989 104529.17776 166605.6 168198.834455972 2131261.35712317 2080237.25952501 2095099.63524429 2117629.24306372 2154540.61126492 2154360.44570697 2207075.75816 42491.2187199998 86395.6091499999 135555.24321 135555.24321 134563.50751 27767.6 284819.407408667 285677.289781863 269042.148912383 266626.588932749 2483642.40803405 2507396.36614933 2584322.77343758 2662974.60117648
1979-12-16 12 20 16 1979 79594.7249600008 117264.814300001 218544.832400001 15935.2094599999 59813.5644 82137.53533 132855.8779 29730.48671 56523.2187699999 94036.6138999999 99848.1851899999 170606.49262542 170015.925081392 973088.212323166 930259.818625011 952576.079944291 986645.524563721 1087367.15216492 1086964.83780697 1135538.66186 38577.1154800002 79935.2033500001 130561.6555 130561.6555 129099.8371 27767.6 276574.910018667 275427.502791863 258119.965022383 249244.238642749 1400699.16064405 1412143.69545933 1478763.98544758 1564605.89638648
