"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1997-12-28 12 22 28 1997 0 22242611.2038987 146688.819793768 0 1877750.45788207 156687.819793768 1303449.54211793
1998-01-04 1 23 4 1998 0 26924750.0434497 8986365.33309527 0 1761123.19589901 8996364.33309527 696236.804100987
1998-01-11 1 24 11 1998 8406.35423818554 26163393.4701437 8089263.76037539 38978.1208339764 1711877.07916602 8065864.86597435 727200
1998-01-18 1 25 18 1998 43331.4125295254 25364113.1609204 7162926.36539279 210447.762999892 1543801.03700011 6991746.55524656 727200
1998-01-25 1 26 25 1998 49363.8583419945 24442098.0292815 6133258.08333176 252654.076305736 1504988.32369426 5929777.90249247 727200
1998-01-01 1 27 1 1998 23049.3950462598 23465732.1022416 5090860.26992424 124703.888123233 1636332.11187677 4994922.83590193 727200
1998-02-08 2 28 8 1998 5405.11901303829 22590956.2898459 4633483.2469562 29577.4617096609 1618136.53829034 4618243.41552755 969600
1998-02-15 2 29 15 1998 0 21586327.0978082 3847347.11468305 0 1636154.50466734 3857346.11468305 852645.495332657
1998-02-22 2 30 22 1998 0 20741251.3897672 3194076.9189037 0 1626056.38872654 3204075.9189037 750543.611273456
1998-02-01 2 31 1 1998 0 19977811.5668742 2608770.40262711 0 1636728.97057421 2618769.40262711 627671.029425788
1998-03-08 3 32 8 1998 0 19418635.7820978 2081367.7297154 0 1666087.69368159 2091366.7297154 1589812.30631841
1998-03-15 3 33 15 1998 0 17934608.0734597 691459.532889066 0 1579571.03549699 701458.532889066 1577028.96450301
1998-03-22 3 34 22 1998 0 17674323.6319653 485500.12147729 0 1725080.48982324 495499.12147729 1332219.51017676
1998-03-29 3 35 29 1998 0 17553474.27288 329752.708956868 0 1583611.60083197 339751.708956868 1374388.39916803
1998-04-05 4 36 5 1998 0 17729316.0760943 227306.56497546 0 1704107.21279974 237305.56497546 1072392.78720026
1998-04-12 4 37 12 1998 0 17877658.1226822 213566.829330485 0 1581565.17089076 223565.829330485 1134634.82910924
1998-04-19 4 38 19 1998 0 18369538.9878511 328060.730434347 0 1656832.66736462 338059.730434347 999067.332635385
1998-04-26 4 39 26 1998 0 19251664.2022881 1180531.9362209 0 3189405.45501967 1190530.9362209 0
1998-05-03 5 40 3 1998 0 21291977.3589071 2106486.68224632 0 3210990.41566154 2116485.68224632 0
