time	ARActualRFCurve
557	5300200
558	5818300
559	6035500
560	6327300
561	7327300
562	7327300
563	7327300
564	7327300
565	227340
566	946450
567	1567100
568	2094600
569	2391100
570	2693100
571	2924800
572	3427300
573	7327300
574	7327300
575	7327300
576	7327300
577	227340
578	227340
579	641560
580	1716100
581	2287500
582	2739200
583	3048900
584	3427300
585	7327300
586	7327300
587	7327300
588	7327300
589	227340
590	666700
591	1560200
592	1912700
593	2620200
594	2904000
595	3127400
596	3427300
597	7327300
598	7327300
599	7327300
600	7327300
601	227340
602	227340
603	227340
604	805940
605	1648500
606	2248100
607	2854800
608	3427300
609	7327300
610	7327300
611	7327300
612	7327300
613	227340
614	227340
615	227340
616	370630
617	1001100
618	1451300
619	1732300
620	2227300
621	7327300
622	7327300
623	7327300
624	7327300
625	227340
626	227340
627	354910
628	1155400
629	1687200
630	2092100
631	2573800
632	3427300
633	7327300
634	7327300
635	7327300
636	7327300
637	227340
638	227340
639	227340
640	1368200
641	1877700
642	2316000
643	2897500
644	3427300
645	7327300
646	7327300
647	7327300
648	7327300
649	227340
650	227340
651	1099000
652	1684100
653	2124200
654	2767600
655	3207700
656	3427300
657	7327300
658	7327300
659	7327300
660	7327300
661	227340
662	227340
663	767520
664	1566000
665	2036100
666	2421700
667	2784500
668	3427300
669	7327300
670	7327300
671	7327300
672	7327300
673	1826100
674	2424500
675	3254000
676	3956500
677	4487200
678	5062000
679	5370200
680	6027300
681	7327300
682	7327300
683	7327300
684	7327300
685	227340
686	227340
