"Week" "Month" "Day" "Year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "COLFA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "PALIS" "MILNE" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
34 3 22 1981 52781.294148708 104533.374683477 141987.45021606 12572.6652190796 94199.3502656231 197195.24541264 339071.248825142 84666.4556648066 39076.6503033499 122309.822657189 310478.789192285 320632.874363813 422388.525002801 437393.606039108 1060174.28862051 1172926.80836562 1213185.4368054 1211946.50049395 1254017.66430659 1225267.0158448 1213138.99543781 38888.0776500385 53935.3240111171 308541.425221451 306985.772037407 315401.266026797 90989.779145752 826172.222444744 832874.835466807 808469.975432697 817009.034369245 2203756.0002136 2179061.66027458 2006676.72503139 2304159.42736303
35 3 29 1981 51573.8186664128 102449.721299403 146424.56521673 10956.9637647901 68629.719951662 152606.403288779 273024.068135891 64170.7755284048 34129.5821602373 87438.0978892652 220569.365117078 224633.197747533 318281.49885507 337140.36299196 980355.087637023 1125269.01081495 1175243.36241581 1219608.95517787 1279862.89545538 1281283.25607459 1289569.54141944 45730.5848882069 69286.8635922893 385803.975629809 383179.239526786 395029.722833468 64430.1748018276 795391.98748221 787659.359303821 764997.30837499 766702.990944644 2302483.18428957 2388685.93676361 2195355.83587357 2541495.49139675
36 4 5 1981 62246.5306255616 122106.0868093 169435.100422545 13511.2165982898 73872.6713378537 128654.641026572 213515.429950949 77156.8633361085 39414.7523494685 106366.262535798 233377.147634829 255537.124533874 328230.912741092 341359.705824996 956844.324840841 1038299.37923436 1043086.65687087 1064906.54522991 1112881.06115995 1117495.37084019 1132005.56122369 31895.7498179187 76722.7351294838 359530.511674138 358970.292714926 379396.394421383 66335.9149799944 823577.380978061 843096.866006973 848276.68502073 862216.432488091 2172210.04125549 2328829.39354022 2369390.29130045 2548143.59828614
37 4 12 1981 61316.1537049999 118113.649144679 128572.458352327 9821.84379378492 53722.0711810478 91581.6981402045 140752.884099339 49848.4510884539 25693.4607936055 66773.6684929928 151853.886419174 174640.056429919 248487.760905868 265208.849701254 833853.685890866 924490.00127727 904504.413973913 952457.20432649 1006473.69734736 1039957.37328542 1067638.91865335 17338.6880086244 47337.3014025025 266588.171790387 267022.867633376 283690.646070804 54053.2387927992 633664.808689404 652224.156110491 662620.495020646 677885.806634888 1928013.58867982 2089313.65938846 2224041.04620867 2334929.53304408
38 4 19 1981 62700.9411022939 117251.407319557 126711.629696039 11247.4057879279 74776.7683699407 108585.027014565 148089.462129666 149780.025535832 64418.5922996606 147488.937746384 175890.817204326 190060.229668645 231246.130381971 242033.236937902 738146.060003033 799809.301826386 799204.427529685 831281.201999065 872836.226096089 886409.2503204 900831.09509548 64346.5661299711 60299.6635772267 259328.39307216 259571.828004144 272483.802468678 82222.9780516652 639476.219283015 629756.114237479 614446.159796802 612293.690660221 1631463.00468838 1727162.36420441 1852635.69525595 1961796.03543702
39 4 26 1981 92511.9730665156 170227.407655391 330843.792531933 45117.6424725696 265358.743565074 383910.901830682 558690.595015066 525257.730485745 203924.543085464 563851.183357237 664477.901000401 737040.916772336 746515.128397911 738876.067563647 1597769.89196156 1579558.35546612 1699749.14386078 1655789.96645021 1681270.3535231 1613503.28400756 1586412.43601375 136136.02239615 271225.045627923 637504.36721457 629222.350428877 646517.237377032 156311.111450775 1410970.59664989 1388033.04289146 1313222.77049336 1283710.19662658 2772131.67357155 2554468.21912999 2602679.33725372 2550441.30452166
40 5 3 1981 130786.459210919 226958.96071678 441398.548603549 52986.4990618806 333266.546801672 538265.16726096 871062.266986005 559015.225538793 215760.128832043 631299.277487174 938205.922395941 1004020.03216862 1143380.39393569 1198392.97240545 3124270.86022762 3355627.31901143 3437211.53361872 3482088.57491428 3564918.10754381 3556145.20439378 3570272.57170358 151471.431317441 267602.467738031 707811.252130633 705120.016916995 738077.370996494 183259.942844183 1909550.63264859 1932687.3517565 1909437.77558019 1927388.91700974 5493941.2167835 5403231.31106509 5436046.76374175 5293825.30070909
41 5 10 1981 181192.55878305 314013.423671479 492140.278799498 46911.8352979634 365347.729187463 526099.351257063 903722.070976996 290345.313879652 107009.785918385 362361.595873998 802634.285067261 827897.908776349 1048501.38919495 1134763.87708825 3277410.67247933 3598735.40142159 3699014.50753769 3811840.42191782 3920276.60951524 3967335.06733469 4016459.05879711 136746.093519401 260624.716831027 736676.859915426 735553.100480267 761644.394152096 91859.5416774268 1893535.3755351 1929771.19353163 1947860.4980189 1974092.62106622 6058899.96035612 6192198.17627097 6242874.11363564 6309117.74115346
42 5 17 1981 229890.106644493 408699.474201559 678113.629665531 72436.5679882617 366439.832331107 480135.120411428 903263.276420908 243971.811200826 84095.9376386919 242734.21867222 456975.418161999 456879.585468108 585986.309478125 629634.304215954 2438515.05162297 2617766.54248547 2756249.23532118 2841308.0454327 2929582.00716658 2959300.27091906 2999097.51671865 112690.019036652 198442.812342133 519144.999920689 518202.027682055 534355.416892724 87284.3647802031 1320777.18127413 1319930.51178966 1312332.18833053 1317807.55443939 4450937.85533407 4717853.86562645 4837614.14049338 5032136.40608126
43 5 24 1981 370811.272836794 726566.550022738 1136231.15476862 125674.094741384 523275.7820593 667498.981814565 1352529.73082376 521073.594654534 214001.923831671 552479.415426332 832684.403342305 800492.166550321 877653.363642819 919542.92785938 3668213.43933313 3840089.89769093 4004967.95958327 3998589.26271147 4045939.12971416 3968548.73143376 3954631.39412337 171513.349664864 275659.238301193 664120.71734465 658519.367019026 672813.553148005 117254.611132892 1585021.77178793 1544367.31630166 1491725.25297946 1470292.86078084 5120439.39063141 4985711.16630249 4988612.25331283 4935915.80374655
44 5 31 1981 492786.902405631 1025260.63239938 1473295.20190168 172597.855827743 714188.577255557 772422.593025968 1665269.44297833 463817.903785616 156934.461922356 528727.273784654 1038551.00059217 1033276.28626632 1188897.41480338 1259305.65409867 4927813.9215951 5259122.6400665 5380016.05450056 5458617.58239569 5545726.61409141 5500461.20978935 5511829.33183548 140693.23623532 334829.015668188 747553.276477888 745326.292451944 778192.152983554 87815.3641737297 1954488.87560325 1978250.52462595 1976086.73645898 1982873.97920828 7182675.77546605 7044001.71824185 7028121.95641017 6958157.50467332
45 6 7 1981 551249.308871769 751916.40212408 1270075.73774364 133013.545930606 700569.825280762 831502.515056312 1354008.42735219 423128.750152426 145029.154183306 502285.818150455 818163.86659412 869975.547877907 958040.3162312 1013238.35244575 4241050.35311409 4613294.55607528 5146814.57258501 5409951.92394853 5602741.11189298 5661669.82884425 5729878.52935286 236987.960770538 310460.366377916 768088.440676928 765097.589329963 794724.922200936 58509.096644607 1676179.38423155 1699434.91535694 1709736.66868606 1724422.0766052 7465634.53442044 7548585.88374125 7698009.6689243 7523107.66676027
46 6 14 1981 453989.038038788 716886.583065567 1125657.1673951 84972.2879798999 718087.650204035 911933.799698632 1276252.07139229 450108.521520096 144379.707259038 504160.18489552 800309.878278315 851398.429300014 896655.977869184 932046.566676378 3984613.95706994 4255404.77458122 4672425.37095856 4747657.83962607 4855993.48130515 4822868.658522 4840734.89185648 395695.464800161 433904.008268298 740704.369128719 735512.904602902 755368.257055534 158886.720891925 2124747.27954764 2083244.11302712 2028233.70494564 1978238.74672491 6579641.03240599 6478724.86041454 6638332.53158394 6494849.78111941
47 6 21 1981 479219.670104915 737647.721453925 983500.907712321 97062.4424897395 780053.653054504 997266.415376214 1343341.00925289 686114.642282152 244438.856139962 780794.485719707 1050950.48874162 1110239.49420319 1065504.24947413 1093830.54143971 3683513.24501536 3882451.83915103 4210193.85580524 4240890.14778316 4329617.43981093 4298321.02917166 4312699.47987049 166394.402815583 270136.967463436 720047.329335853 716890.691927603 732809.671393927 194640.557856491 2056274.39252723 2056134.12028847 2043071.35524392 2036653.50474808 6179210.71266074 6329609.15419415 6494638.8919451 6417550.08691095
48 6 28 1981 497111.111474943 757064.546648545 978939.794315623 95614.6757498179 598524.279118898 771209.366405798 1147663.38624543 360230.266022211 141107.357040544 455704.247002147 813976.272851792 897960.662893102 990009.937452342 1049553.36256806 3744626.31087235 4059586.77109284 4403707.26611179 4503590.56317978 4614877.4155101 4611646.79143522 4636479.92756998 127421.031758232 169307.992032756 445264.708036473 445046.892012225 459681.173902871 110360.666933596 1468473.19833375 1510963.04751292 1546185.55229776 1578813.92445417 6015857.34773338 6017392.70449667 6110647.11708951 5949226.83379382
49 7 5 1981 675346.154788589 941279.76793266 1327162.93569799 201521.487319777 511368.207062531 594936.861665031 1161971.83433139 201201.648674446 52304.9294086621 259496.096098106 524346.663152909 570303.014178582 626164.416363947 656048.785630839 3279746.22794308 3428720.52486197 3565922.25420326 3663591.61460554 3786097.00278106 3784271.76531863 3814077.12313183 90075.5382160769 144444.127428523 339329.703439437 338507.862118396 345917.924064054 40563.3637295865 824790.597974425 835861.481071069 853351.182841636 860559.229049294 4648837.36440783 4754669.00369575 4908016.79273611 4887928.09280997
50 7 12 1981 789752.130801555 1122619.8037522 1756526.12445872 190318.548379844 468861.202548676 536114.149827616 1150142.21770875 200868.156244206 69208.1490189291 276430.934030233 524583.10268549 557225.449300636 548824.707717268 551862.461346829 3632585.72156326 3783669.61940006 3880873.74941223 3926748.28972825 4018169.39888272 3974431.05816305 3979403.30697804 77239.9136034905 141129.199594389 337697.494940768 336329.136932619 340287.838157414 57861.4177570809 804490.937608331 793422.533310668 795090.210757314 777081.482851879 4500587.91869241 4395961.15654673 4487818.65510812 4369913.59885482
51 7 19 1981 672565.23200966 945422.149337907 1365869.14644594 144986.625277732 442549.612384431 488207.639823612 914573.660002281 142339.058224632 44956.9791819172 192211.585980082 390131.109451121 417357.934384935 453719.39454445 471235.803051177 2967922.81515949 3166659.76780108 3315772.73885438 3450313.90176525 3568705.49571331 3615319.06945178 3671880.39909998 68251.9778382206 124887.381441478 250957.005113362 250406.373245129 255149.015450954 22527.697033666 551978.604105773 566419.637644865 593193.66947032 608479.701906989 4367266.39886252 4489437.32218216 4624972.00697062 4559981.45484881
52 7 26 1981 829287.472201806 1091743.02467495 1402380.70394523 153009.245795747 377825.170293912 420448.222245311 837035.510938079 140128.515021743 37227.1833713778 183691.287006155 332445.56136822 348138.040842626 349229.321474549 356070.226736678 2638390.83776429 2767803.32288973 2855490.66485412 2937590.1468303 3031217.06299164 3045604.78297158 3076909.06779507 65915.8433574855 117441.340883975 208125.71942369 206785.914547787 210032.670183521 16092.621575455 430524.318728527 431558.221370052 437670.846818749 436929.24697088 3460725.85967154 3463798.29231387 3560839.62366292 3516097.66087799
1 8 2 1981 830903.020704021 1058814.11689176 1366512.75257887 169778.604368604 336818.917136597 381203.420784371 775277.068702104 112830.240351202 30790.314054642 158048.270610343 297167.988147042 310959.339335956 315742.926765354 317720.283074624 2522058.5844169 2658560.51296601 2715822.7273428 2754153.24662679 2811985.61296711 2806562.52374593 2825288.2527035 67502.1979404105 116981.905498806 192051.156146842 190603.186171192 192995.265052692 15606.2201994034 381881.787072685 382359.203740643 388907.042554936 387496.181773403 3169868.32625713 3161907.80416364 3255858.60489796 3197163.93057591
2 8 9 1981 624259.443176026 842397.943426229 1135855.44974336 113628.294598371 247890.516452955 281058.371471512 498053.004583048 61619.31297221 17444.7859506866 90371.2736769158 177148.587895958 180872.700865601 212208.453853054 211300.376121616 2195609.13717238 2417372.09450207 2480070.08640955 2540678.17332046 2588927.90207848 2601148.37241486 2623072.07048468 45301.8118995923 75636.5774002306 179115.113836499 179001.689117722 182498.598749758 15400.6959551326 331090.224191234 333308.569327991 345344.763150689 345603.60446924 3007106.41789268 3001295.98902453 3118648.28830522 3055848.84052308
3 8 16 1981 572118.606829332 714704.651312252 827265.671457857 123869.899349978 193978.812169367 217382.184682581 420545.892313815 55107.9734292813 15980.7128942502 80659.4965047784 160149.21761094 162675.576932036 184665.287913582 182824.780981898 1538038.47097908 1650601.3870212 1680269.92991593 1709736.0542594 1744273.18180398 1747166.03675418 1762791.95313588 44493.6412300616 72756.7260393345 160615.877580667 159898.677511889 162418.323213669 14320.6943546662 301121.525203296 302349.049498711 311934.311491229 311659.769635667 2166255.57842138 2237637.12997256 2363007.24551904 2369603.86780009
4 8 23 1981 515528.460758142 644703.787287373 850683.862945901 96643.9254469832 160814.920840062 180318.56849077 357055.18320556 49878.684921108 15206.0290593853 75014.8474610801 155306.337460211 157466.351145463 173735.016612038 171794.237807899 1433508.92350672 1529354.09958604 1561224.1812126 1572774.42794044 1595052.71481878 1582796.57530693 1586449.66130044 44611.7007458235 72333.2031733767 155722.653590037 154883.038289165 157105.662363881 14370.9579270856 289573.823845283 290367.79741268 299319.021076417 298680.863982044 1888325.03020552 1871914.63182606 1952054.415223 1913496.69337323
5 8 30 1981 385244.459710109 506392.167875034 631728.025194153 56339.6193645077 130786.61799331 150543.002818799 266604.55405118 43189.1148234392 14141.8184361329 66087.8941070069 143652.129947225 146406.682774737 162992.915230424 161536.353231439 1246988.18407533 1365235.31930456 1400340.56798989 1431344.90327288 1455890.38052242 1458715.3684779 1469952.409686 44361.5009153897 78002.475287571 152308.248473221 151465.544751095 153758.659315103 12875.9236303722 273475.709673958 275427.287733496 285044.902844254 285524.253319235 1793295.36139121 1782252.88606819 1857223.72892667 1816895.50799548
6 9 6 1981 374267.441799308 495353.451043841 684918.681630035 61445.0575639036 131052.757980129 149366.601362275 266370.274348511 57116.7822581261 12738.0159065562 68739.5183338447 123396.650077098 125540.853511365 129251.60237009 122801.895493291 1058263.48491512 1085012.956125 1100765.21946109 1078572.46929419 1085616.80995908 1069836.57110871 1069825.64195558 36432.6574917059 63779.1354285177 165903.843869644 165773.705490842 168313.070172949 14812.6796890403 327997.496436454 305989.270187581 287596.943441302 288687.194580053 1358392.88904143 1397763.1111873 1490493.43214063 1514445.18825695
7 9 13 1981 263561.596818969 368100.435375311 468862.764392913 34119.7477104455 101840.277941128 113499.294580539 192231.748919921 31072.267835512 9222.93670138553 41372.2884931824 93183.8240045775 96115.4024183198 112188.497782912 109423.729264265 1021741.54303179 1131283.47260086 1139459.80277149 1176316.80906173 1202048.06517739 1219289.5285899 1233548.28374703 34396.2743822539 60414.398076309 159017.813851377 158613.463604767 160637.271228569 10407.556020689 296807.341906808 274370.522732938 254282.887598434 256775.031891389 1520085.62235261 1549704.95169607 1630797.57968892 1615183.88867749
8 9 20 1981 214299.417496183 290416.662696939 321540.551599999 33234.4704435901 82594.5163373455 89334.0335417543 147134.13874353 26378.4616898171 8677.61814786774 35275.8344835555 80661.644916871 81948.9572097908 89811.7092477734 86699.5318057179 651778.604221243 700195.444216738 697354.108789713 713993.372598713 730271.233505238 738517.020988606 747725.96930253 32770.1858200395 58946.5812108993 152496.584010984 151905.864529161 153927.350258099 9876.49180273261 279150.487162053 257409.558586471 237683.600549499 239178.335506986 1041888.62987409 1128320.19637596 1224432.57643263 1273440.87555476
9 9 27 1981 260606.361943039 327822.283358166 508672.875932541 65087.8089973004 92506.8776087785 102168.755827497 232854.796912734 31112.0812423265 9153.63337742231 39089.4228763543 85104.6526666159 86729.7240990169 93383.8544989779 89368.5239600848 887322.037583703 908356.989742003 927005.333906162 896095.926716801 893662.672910198 865769.497910607 854637.751644782 33413.7361137168 57665.3336361176 148407.527637427 147463.368628096 149100.360482167 12667.7517350653 279105.459676646 256781.821144378 238379.863451782 239344.786377622 1010528.50350726 981720.893802047 1036386.36745981 1037352.5543589
10 10 4 1981 189890.292917372 263286.018883989 392190.047783889 47754.8192930391 110298.644593938 130453.808250389 274075.889238401 51225.6125426778 13904.1419833283 59429.2830254597 112187.954548244 118411.599567791 124430.41686158 124782.310075611 860243.044023134 906385.945239486 918802.633816134 923105.667099859 940007.833515131 936498.665384344 946117.493633062 35017.1744558907 73164.3152614891 208908.41006785 216448.453135227 216766.241574153 22592.1599843893 416688.384584978 398553.73913563 361849.159359261 356243.754114046 1370446.9835836 1401214.90552553 1506032.06639575 1509107.8605264
11 10 11 1981 165822.394348447 250106.314419895 427083.972944801 35643.7150097182 117402.56761075 158536.510763791 317934.600476134 33759.6150628687 10524.9539507659 45101.2157793993 89974.2976319913 98476.4959653276 116340.339630388 124619.4331595 1051958.65921182 1113574.90977366 1148922.32525509 1159493.09978811 1184969.03981415 1171831.33345909 1173686.10107065 38293.0700909848 83210.8929763661 181931.070092664 193744.476669814 193877.841718635 16977.6435843967 331006.37010177 329475.145516119 303588.598098539 303724.814516347 1491473.57711893 1447627.35260776 1518483.69116153 1545727.20284599
12 10 18 1981 134922.054764787 199954.368351025 279250.005160603 18321.8361371384 89939.5183152004 123058.666559939 218204.813052347 34117.3796639029 13176.8778396499 43198.9433290649 97428.1784787979 105006.970267613 120469.285824638 126436.997736424 902186.568462774 999001.914708992 1005674.16077074 1044729.92726577 1077180.91743932 1093827.42103976 1111022.86514404 73812.7136310314 175638.073825735 343628.083080398 364562.735023969 357819.931925459 19893.0225015771 497542.328124367 493115.164997238 439278.236905151 433470.63310781 1645486.48848561 1677307.39505414 1777384.38505317 1807950.01058814
13 10 25 1981 118154.384608585 168914.63879676 188365.77310675 13473.7336899104 73311.3328721136 88523.0258474946 144127.804089094 29776.6483540886 11511.6399681293 39126.6718073017 83535.5791755406 89102.7721962209 104687.726321507 110882.069601473 569826.146566904 619395.206186267 608600.400602655 633115.252278649 653635.567717108 661148.60359848 670437.848417799 38381.6658280772 86183.0128574313 243776.789835634 261508.450231491 265466.655245174 9514.69849209844 377371.459529948 386092.88947147 354236.587173647 360537.673563542 1116896.51317109 1194587.56173331 1287573.50221211 1358439.30054238
14 11 1 1981 154296.426598196 212549.771013269 364990.128038244 38644.8649522002 76413.3580239726 94037.8343922812 196648.437337634 31986.7431543215 11001.6524249347 39484.1504047979 78604.600375021 83565.6831482994 99422.7643890682 104268.712532664 631005.134826499 633328.042390933 642767.264361174 621666.365508672 627038.304688556 604819.888341384 600919.300148169 31719.5930410394 64681.1018486391 162548.900293814 171600.847648885 171499.482161481 16898.5380572868 300345.752833452 297012.731535914 267202.305825294 264209.006543035 852558.728562866 853500.085429473 912058.737887385 951912.527645754
15 11 8 1981 138519.29082117 195655.571946621 388531.468153568 24356.6692904785 69477.5769741258 80734.3279824265 170478.525602532 28794.9662516185 11036.5832827522 30336.3645901531 71812.0846663239 74130.3359030227 115407.569137441 121272.061520921 793947.709461926 888989.039977733 944560.409071285 971237.670032777 993096.980072668 1002499.89411307 1017872.73195187 28195.8225095275 47301.6013406987 122634.419918932 121888.44811473 124945.317506917 9350.66137852522 274830.966115088 282368.90779842 249018.911832528 254408.985154772 1193146.93144225 1158674.92801627 1192930.29879559 1204742.85681818
16 11 15 1981 116921.418182037 158245.41165399 244217.314884412 22375.7908030793 67507.1053734832 81880.510761821 146211.185268282 32782.0251433847 12299.1952273185 33427.1580180472 67546.4230620015 68829.6621281261 98942.9990116009 102480.439118728 480946.381928447 519422.718791043 545443.795046965 560745.462082788 577354.309435233 583852.404519696 595519.375243128 29954.9138136191 44835.6454570527 128613.704222101 126880.200395125 126262.222104137 17511.8515761251 261458.295603372 253578.249665684 215824.269159958 211483.046317911 804015.88671365 847454.006543258 908069.214858043 990297.052583894
17 11 22 1981 117993.282111005 163773.15418692 290700.211901958 23918.3544900808 81481.4679914252 131753.00771888 221352.362344261 47213.7567318648 17280.7895568522 52221.1258811076 113557.629723273 120846.426000154 168108.213238895 168187.705781852 751977.931219058 788226.783136374 816191.563995645 803336.897697861 812276.411243099 797539.926382849 803685.357209802 49938.1317754312 88461.3476786848 311444.049788306 311291.89524674 315680.008891104 39863.2972826667 625955.221406792 627008.18984979 552095.066035988 545381.681618289 1250877.82680586 1198683.25543973 1290565.14091053 1317315.62575659
18 11 29 1981 109442.414361188 155547.026852214 248043.017340771 19143.3750573673 63368.2774992142 85817.4744694755 160891.612405473 31821.331612591 13305.806054122 33340.2455680678 81908.3240525287 87529.6847507253 150499.051688325 157774.405355788 687937.305739617 760508.015200963 781694.217596729 803315.692964517 823110.956914046 834177.923968051 851196.285037619 27539.2549333022 77443.0944788183 401321.617354942 398996.405038294 398029.25166431 24902.2501834925 602902.714168528 603597.263184391 524860.966431739 527029.520673475 1335245.61457018 1403742.99124271 1519639.89282898 1604245.50025608
19 12 6 1981 87264.3047250047 114589.028362484 181902.003698221 18047.7932335038 62144.9642104324 75807.7711382088 138233.759012466 32524.8575033815 11364.2229241284 36381.1608632644 79481.5916507843 84627.8161965928 116522.675786815 120968.713873235 501900.367330301 546661.667703293 566990.738146877 590526.924455503 596638.866648944 600636.967240187 595494.35548267 26995.7793912509 43807.4825813303 224110.075186682 225711.931897024 242453.523134154 20828.7226937607 456751.948778502 472677.551439213 458277.355793685 469648.439757685 1264960.94758344 1612155.10129408 1631123.98959176 1799169.25630939
20 12 13 1981 83251.0517953399 108979.917592742 183801.524560803 19982.7434304934 64805.6868749867 100373.513420479 173662.544621176 42377.9816160038 16408.0644964641 51498.7931148025 117216.924636114 129649.979322246 162914.077523249 164793.658975259 677799.830640805 715463.907761965 729316.273451454 729354.134181664 721674.552992566 706138.006316352 690962.059526706 41073.0134287797 59918.5852819558 237852.396004167 237635.148740838 254108.327408628 82330.875752209 572503.201320691 564907.163724231 550774.377932976 541109.144399777 1434720.36623408 1768359.24881675 1949087.11385724 2138917.85365345
21 12 20 1981 82112.0273038248 108536.915354642 168186.541349279 15958.0247916271 58475.7118767024 75391.1327909251 137846.190425675 33672.3205051831 12405.3021147218 38140.0536441034 89581.6857034973 100455.715466281 148389.234559811 154150.464676133 609784.98853145 676486.692972603 695217.439837242 724223.629413428 726235.5212609 731602.141198373 722530.993694098 31159.2645836407 73285.0684529376 329003.770426263 326737.983747371 345334.681062207 39496.9026193755 572926.312634094 568468.360156835 535412.989700464 530285.474900484 1505073.56816603 1971206.67833856 2022056.25235279 2176728.74031415
22 12 27 1981 81106.0754290792 106647.435874301 161075.359253928 15173.635658052 56200.9647970149 68213.8724199958 124393.817055627 31601.4973873459 11393.9268344736 35219.5327189235 80073.2746375896 87414.5112394014 128689.968576222 133068.74007871 508708.836154896 553159.270957443 566559.287549925 584238.183167497 584995.747671428 583981.04804042 573460.085639568 31462.3764020305 92381.567982721 579814.272274794 574388.202781094 605764.563737387 34034.6976866717 843613.421407399 836512.431397402 785171.716934135 771601.06084211 1569034.45096327 2019495.08663228 2143967.91186369 2268405.02952744
23 1 3 1982 72120.6406418764 103808.152252811 150146.874139135 14888.7329861019 52700.893322982 64143.2882608729 125439.596648817 29664.01466018 11218.8873950936 33877.0493263864 74334.5791000373 79404.0791974361 119048.33636854 128924.689175702 474803.698035964 503810.201009086 516616.916227978 534388.545566739 545176.71901011 544808.357137053 540699.997992433 28892.9809692269 47009.4632569376 301203.678971668 302253.039890725 319544.100894123 34093.0515969931 583592.103659601 598549.021218185 588222.083874065 606004.86029973 1378530.64423061 1715109.81547343 1809402.44444193 1973189.08971547
24 1 10 1982 60589.4785254813 100880.075301788 137187.181119324 14564.5856287747 49006.9269342372 61275.1191793864 130916.569653599 27522.5460292785 11195.1870395211 32794.5922745011 69535.2380642096 72763.5850404791 111497.571199566 127930.580354188 468527.608029106 479267.268566741 492928.841007516 508347.421601315 529461.484835993 527052.080141398 528657.402963003 30084.9066739181 44759.2472113679 248985.390610898 249710.913283617 254756.999289468 38057.6149788889 505270.173973766 497509.534221354 473530.979577157 474429.965861034 1189104.69874352 1217941.72877162 1283494.35490968 1366714.34918037
25 1 17 1982 59964.8343877435 98172.4178791202 133174.530743645 14197.9454171349 48169.1436396822 59671.6903098048 127597.087902975 26409.4528932487 10603.0277140802 31519.9400212256 67159.7215921052 69599.4297394631 103025.1764886 118288.501609869 439594.069443604 449324.240069627 463450.495565237 477617.576303009 497346.113049719 494485.283820511 495138.649361159 29525.8864395834 43470.3089262311 233712.312540675 234085.479670591 239051.739663577 30137.4040284334 475527.864725671 467665.360899913 443639.704282073 443169.633671208 1117156.58078594 1136089.94395374 1197598.46066507 1272879.93541775
26 1 24 1982 59385.896351732 95716.194137987 128776.471476093 13839.3226795317 46983.318083071 58463.962062697 124895.392394053 25424.1023233183 10050.3209222402 30471.7152083995 65715.8517800439 67898.4191477781 97054.782272436 111542.375100287 418151.143894186 427205.604528799 442195.208429497 457135.300093523 476254.363532357 473275.494051106 473887.670438341 29108.8488319594 45296.8050488428 225426.010113779 224940.164241028 230094.930024722 25795.792572112 467416.504325993 463108.68111922 444977.123038872 446716.967030796 1114128.57093091 1207721.42667781 1273593.79127228 1367023.20894758
27 1 31 1982 58839.6219536484 93480.1117296706 124654.587121786 13390.0795263385 46548.5988992918 59773.5801585243 128577.44150569 24393.6478806776 9536.95539141694 29657.0889925106 65380.5583943726 68203.519009882 96264.1065167797 110001.5327822 418308.568602435 423221.239490934 443602.011254746 461663.626146369 482343.997428798 476957.242586272 482310.676657132 28816.9150542059 47912.0161012205 226574.478870916 225590.994768828 230130.150055007 32423.5684099188 499971.626684133 495654.730348062 496098.548493684 493729.591329004 1213960.10623308 1303010.62755877 1432384.36683986 1544883.81044729
28 2 7 1982 50107.4094556815 85311.7831980621 124825.518541387 10086.9860235831 43867.8576315789 74483.556983488 139635.519419083 22232.7052465051 8248.41578956297 32531.8362020035 80279.4897873831 88832.5900109888 122494.871763822 111635.067000197 424512.577659043 459228.76233735 452522.218488379 485798.789405146 479270.346077074 485350.01650013 487101.595851524 28295.7924038039 36049.6358160201 203667.676584952 204278.195749709 207739.29886166 21371.6730831872 466004.42178682 472324.610805047 507593.684415742 520130.113169035 1178265.94746359 1356057.04728637 1467739.38078051 1588744.73335804
29 2 14 1982 49681.7966317629 83523.2673602472 121501.735748054 9628.20716127661 42705.9580248429 72025.6654010025 131422.661488367 21458.7540350051 7878.059568067 31638.0083966003 78163.0983923064 87065.1138168663 115462.653245009 105323.146233192 393613.672588859 423682.51879001 413977.084775203 443679.666093266 438358.375931155 443321.380984706 441679.339609568 27970.2363876697 34706.2118541348 179401.441383273 179506.236955063 182009.394497803 19861.4388930759 402995.823145987 403042.943738365 421882.525945175 426407.494416324 997380.16198769 1112343.76926182 1215336.73994396 1323118.7355631
30 2 21 1982 50737.1065353407 83256.2481466768 131390.163143416 19233.9555144303 85454.0835507373 315778.180874954 413332.170278191 45841.9767022298 18715.0740827324 76489.3756095197 195954.414130711 265732.143798741 329420.860252517 278395.606017406 1237126.89895539 1203583.00119505 1127351.5859037 1095783.29911023 1073302.60686767 1016322.98130402 1028707.56472788 28115.3641791723 59986.1960728529 412717.727417315 409257.659913637 403202.533793198 254805.970909936 1050504.48014474 985690.178445708 1115581.218976 1065239.63966842 2264344.56756217 2228337.90177365 2428638.70385709 2640301.89947528
31 2 28 1982 50955.3852148486 83452.4027813779 134927.992086667 12809.6609887172 65940.4618944885 292935.737587703 458191.00470786 38975.0234636553 18638.8472836999 63543.714152615 242717.433610563 346358.936362138 604858.565577615 539600.124826471 2009701.54986679 2181996.33204826 2096427.98140732 2199967.42201188 2156270.8598795 2180215.52844958 2194212.11824141 27966.3181118648 86900.3985096869 529893.962420321 532638.712659109 541337.471492077 204221.974602465 1457035.48964444 1473997.82413463 1644534.84264257 1680813.48594816 4450028.54464479 4889913.97861158 4987250.26821367 5187120.64845966
