"Week" "Month" "Day" "Year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "COLFA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "PALIS" "MILNE" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
27 2 5 1995 39660.2762189897 55552.2198098262 102508.262363122 6565.09673830103 37927.0739766704 53621.8906152943 82124.4343670108 20579.7797536264 5159.34212840693 30078.4083005016 61217.3072783891 80274.5477904411 82276.7502924688 85406.2331317158 356715.725387241 340160.918459097 361341.209671965 348990.878323079 372134.924980773 371396.691827718 425931.99711771 27693.5604233479 36885.9614899082 259916.25934855 257623.650661778 258646.600840211 53083.3916421989 492229.096597953 474932.597188711 476606.921668043 459512.507916976 997330.435828938 1043057.72104577 1215061.88232658 1384543.45737279
28 2 12 1995 38665.5670170787 54935.9391560672 97030.1985527601 3735.89068496688 32548.6859232621 52897.3317451048 87416.7611231036 15106.1200892091 4516.27640503266 24815.1941645924 68117.0502527514 96213.1913435636 125471.183584871 138242.731178654 559269.29636571 577462.071519478 625741.626627436 631842.091927225 665398.799568559 680037.240368493 719780.599946446 27791.9903284267 41081.2427343821 267358.221689439 267969.290907687 277448.976735344 45902.312047324 581047.694607806 603318.436564997 609842.757618871 630861.067472162 1525582.10398179 1708558.39259968 1795617.47494971 2001394.68085779
29 2 19 1995 37748.817640943 53218.0240764063 87264.8801367774 3367.2423242069 27309.2776164562 38230.5540182116 62509.2751954399 13108.094477647 3993.8367707763 18551.8976501642 52392.7984510066 73134.2275803395 100550.027058594 110842.107260693 391939.231512996 404906.19525418 441460.96815232 460013.678394157 495223.668745342 514100.466306703 530535.697179496 26806.1795037155 31635.9604534249 223293.30573108 223678.502930967 230755.338848065 31407.9772504204 436511.140855271 447739.190434176 445914.315925098 455448.205625373 1154370.03629488 1338842.75819839 1415657.43366586 1632669.49242722
30 2 26 1995 40491.8853210357 56342.1119820025 115940.636569846 10888.5811316954 55217.4252437684 142686.704034921 182016.597920026 68877.534412585 22314.3811259043 84880.4241733623 165617.169449361 235496.035646542 242108.223110843 246044.030200085 896862.717584535 840487.059854529 881931.921773455 844549.775015723 902063.378337675 869324.057980311 812128.541735153 30524.3391227192 55506.789410245 358150.611451607 358898.018286868 366894.833435646 230552.843855816 868287.543613944 850484.865284099 822137.663416055 808226.065490686 1728641.24333321 1720234.83171339 1769215.23150301 1999527.80854529
31 3 5 1995 41393.4873442287 55337.7002701723 97676.2050957051 2718.98149322656 32990.5328196414 83970.8397817544 135943.198954458 34057.4300811561 12627.3006970934 48392.4129442968 146601.680738129 196358.885538526 302055.012005326 368782.897951828 1128546.00447713 1213388.67068394 1250649.5995749 1268566.60857437 1373221.3198019 1385068.12881725 1350881.70428098 23939.8018966585 61508.9900984425 434394.303214355 433956.062782626 448279.660369384 93054.9298727868 954829.85699387 968522.06578775 993323.903286136 1005103.43832416 2620180.48511253 2759858.36813437 2786378.16140105 2969782.13843306
32 3 12 1995 42014.3608491797 54190.395294763 97564.8604798613 5108.68236342301 28978.8015039929 43710.6766770361 74560.3247916661 40077.1338495344 15742.9982815522 40327.2861010468 75832.5436959252 88173.1400517358 158847.617590877 203900.42578638 656798.45767435 717642.075218273 754681.594980314 787985.49448339 889520.412843119 904516.98995536 918914.957998728 21118.9321763031 40280.5101903191 365408.567348634 361519.714730348 368307.000311781 74746.0350142918 706122.282826174 702586.533407724 766280.896410656 767985.885076102 1915116.71905916 2102113.72835376 2185570.28613315 2466164.72176439
33 3 19 1995 49851.3846600158 63256.8573354068 156189.0996863 13567.121118793 66645.4600816487 145262.146585685 230178.246491447 95873.7384330007 29892.1954358927 115399.705751588 166933.302486263 183510.069429774 254665.89533059 313279.885671819 1176403.55671498 1199293.62442505 1239887.56727402 1220214.97647372 1342454.44112749 1303604.23669654 1318952.16808832 47131.3463210929 95495.1149995387 617008.343030802 618247.029162586 646529.944913258 142786.7250026 1366508.06284487 1339678.34164852 1412842.14024763 1381465.01090421 2934597.67314739 2896143.08829288 2862432.5186438 3012547.2468077
34 3 26 1995 46265.9957681125 59597.7390496999 151386.251734735 9990.35441344769 37991.3638655858 108266.578662383 199763.816179127 41869.4748803139 16625.156494517 58690.0028944964 131697.325434125 159161.089187384 297019.769181842 379095.818196343 1404344.16122223 1526495.02954989 1589046.33731044 1619982.60371665 1786679.01099562 1782718.11607122 1785528.64206467 43861.3382079952 110895.619901039 471242.939016355 471949.955627236 490131.268693923 127086.992840879 1194904.97464217 1206126.89969087 1318320.07529199 1332641.25872328 3426494.66061737 3666938.38122881 3658199.20460439 3884575.7368523
35 4 2 1995 53806.9972870478 73409.6164311494 148447.512313094 13351.7228374376 52367.4568458152 97284.7544782325 154442.06561297 42601.8493235425 14723.553829814 58552.5625662408 103190.05265089 114727.633217094 228108.551486046 283294.506108607 959149.875147258 1042276.97233315 1111522.84556932 1163401.91984344 1305826.30242757 1317956.55890902 1317664.06889614 21267.0870762207 43711.8084933818 372371.292729223 375567.133086521 406583.520201789 88706.9065815298 907834.778783821 918554.37172906 982713.282885446 996464.162878432 2623676.11448036 2922883.43012576 2990972.12623772 3221983.77762859
36 4 9 1995 77465.9535231419 125822.155665086 220493.081251235 15382.8495139157 78933.9094448068 162952.368535599 244890.866369427 73483.7030429918 33409.6567608194 146803.843936259 259530.823188571 258401.702410089 330969.951082821 356943.629716861 1141567.96390129 1209205.4433909 1285380.26634465 1314449.62963394 1442189.15041965 1427214.71992999 1420803.06900204 63943.2123024866 85793.3060380681 433626.754960185 432051.68318758 502113.279384239 126910.999623044 1009219.12398704 982926.412488675 967622.767337254 947275.368603079 2561445.67308859 2697408.21911963 2774251.04258157 2820933.93022394
