"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
2011-12-18 12 20 18 2011 21439.91246 53241.94082 66028.89128 3516.082852 41453.7218 56239.0982899999 94143.4095099999 13344.43655 59932.89626 106949.03724 110379.45191 138137.92804677 169220.740919965 311759.036310965 939627.83375827 956434.53460737 970225.60055665 978133.14643315 976176.48686071 973993.702852 31655.10822 38237.9991099998 154321.8011 154370.5827 157044.1594 22056.62264 319689.442570834 316643.622562329 247512.288350479 248465.500900937 1246732.76842964 1279147.88594874 1325483.66183405 1320526.56545768
2011-12-25 12 21 25 2011 21411.89139 53006.59496 66910.54465 3369.152755 42193.83484 56789.9217400001 93997.3556100002 12597.18593 59782.53653 105708.38014 108912.44801 134209.33569677 169186.634119965 304996.030610965 943281.11456127 959915.92141037 972111.93555965 979282.84823615 976498.22066371 973846.772755 31294.22452 37715.7914800002 151628.3661 151566.7889 154139.3778 18241.38585 315623.330060834 312609.669952329 244797.634740479 245626.842390937 1237841.39322264 1262807.29314174 1304421.42352705 1296394.78125068
2012-01-01 1 22 1 2012 21093.91454 52307.55542 75303.63752 4708.68034 43926.86419 62763.4106400001 101681.4618 12698.83197 60228.23557 107639.03067 108984.68808 132352.42367021 311584.537653883 493662.520413083 1126103.25028291 1142095.31133457 1151830.17684295 1168018.37464233 1161543.28624193 1158803.9381 32503.8082 42586.9534999999 162925.1692 162790.1326 165427.6775 53529.29664 335790.795737977 317892.843898163 248121.294447103 236275.449415379 1431263.20200728 1413561.30451673 1499160.68888765 1574536.33067541
2012-01-08 1 23 8 2012 21558.08381 315566.574509689 336740.131139689 5245.200227 47142.04581 46551.8864592844 116460.701548288 13455.82692 57830.49583 107790.4027 99319.7209999999 148906.39390021 211463.043801974 775407.060687007 1289082.56915581 1311764.05000747 1322908.47021585 1348402.44291523 1342704.61681483 1339148.0639729 40497.88651 53878.7160800001 204130.2024 254017.6861 263635.4224 63744.30912 476604.616208098 484295.082768284 424964.158167103 429831.671435379 1910606.21390017 1908701.94080962 2054777.14908054 2161846.6108683
2012-01-15 1 24 15 2012 20914.74011 285402.86478171 299739.05715171 3953.431433 43114.53177 46775.5547177471 109249.43096278 12353.17755 57062.15675 101647.85898 93818.6329500001 140289.58493021 207553.33099503 662934.186095105 862406.845270036 881012.046721697 897565.803030077 921948.171929457 923193.749329056 922058.226787127 39268.00519 47487.4527099999 137653.3221 186892.6048 193240.8507 39098.40412 345267.702325118 349483.545585304 294027.401567103 298048.580935379 1321223.29471441 1349812.47232386 1452141.67229477 1556369.19208253
2012-01-22 1 25 22 2012 19972.12595 267139.02649841 278179.78743841 2904.367477 39085.89001 56825.6483731842 115079.925805369 11599.25901 56504.67235 98065.9903100001 90148.7227900001 131774.70041021 208065.632292209 636985.297985664 688804.314652136 704632.521703796 719284.865412176 741086.097911556 740354.070111156 738018.318369226 38813.52536 57945.0838799999 153387.4782 201029.2073 203414.5086 39985.31521 341342.211415351 334638.408775537 273853.210877103 270334.839945379 1088291.2387065 1108594.48141595 1234212.76738687 1336455.14917463
2012-01-29 1 26 29 2012 19749.11215 282186.608764629 317470.261974629 5141.991218 38389.98468 88348.8665432519 151365.262803878 10964.85966 56432.10137 99305.23659 91359.19321 129953.79696021 220793.81042478 725715.943468522 771890.421734994 788071.568386654 794525.724495034 812649.624594414 806644.861694014 802107.792452084 38535.15084 89330.8799199998 428688.5128 476817.3998 486719.2115 36657.72021 655410.764625815 649736.813786001 551810.996177103 541419.642545379 1452930.33678936 1485765.98869881 1664694.27696973 1766015.07275749
2012-02-05 2 27 5 2012 19316.30596 240041.141728229 257855.828828229 4693.142086 43756.21581 102988.717980875 173370.280847826 11655.80588 59505.4004 105363.58803 107913.35847 147835.42908355 218420.203740208 1077765.92494614 1132840.76729402 1155152.60784668 1163262.99129597 1183073.38443957 1177186.71887881 1169337.26495968 37495.49031 47510.2314999998 235032.8812 285152.2144 291860.3497 36764.68371 520965.339284838 533802.78594199 499892.984686294 516880.684581204 1824690.20476348 1946260.00750002 2039343.33485518 2109561.42557869
2012-02-12 2 28 12 2012 17514.89428 180010.861771102 192372.291371102 3641.497928 38036.49837 81776.5738760316 209109.678312628 11389.58784 58061.57764 101028.71586 107141.82869 152967.75430355 204057.092349017 1179815.49577104 1246439.52411891 1272888.09347157 1293556.31202086 1316443.35396446 1318316.0332037 1307188.85308457 37074.39245 79662.8082700002 270104.3249 306637.3153 308375.1515 31263.34105 489769.111286749 493922.120943901 440852.356046294 451507.985441204 1877343.57574837 1987782.86268491 2043416.41104007 2088583.49076358
2012-02-19 2 29 19 2012 17029.81805 132406.574715203 144277.745125203 2913.16814 36076.39472 99109.7166383722 201417.12654537 10858.3819 57602.06471 99589.2121500001 105247.52776 147030.72474355 208606.955519439 1000851.8752616 1053927.03120947 1074311.23886213 1088858.40881142 1108072.10955502 1106305.90529426 1099104.04897513 36683.00425 80867.9419900002 290115.236 326358.3594 327956.3284 26134.19621 500660.448315224 503120.616572376 447019.214386294 455190.879581204 1654562.29617893 1736099.22921547 1784525.87267063 1823690.93269414
