"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1982-02-28 2 31 28 1982 0 18501173.398676 1174233.30244724 0 2211825.1795606 1184232.30244724 52574.8204393992
1982-03-07 3 32 7 1982 0 17886224.0114272 1838266.31449844 0 2742474.07662638 1848265.31449844 513425.923373622
1982-03-14 3 33 14 1982 0 17364164.5239097 1720706.92236554 0 1936491.22677002 1730705.92236554 1220108.77322998
1982-03-21 3 34 21 1982 0 16240636.1054427 940570.004425659 0 1978509.51568446 950569.004425659 1078790.48431554
1982-03-28 3 35 28 1982 0 15387156.7014663 427245.706454439 0 1731574.72203633 437244.706454439 1226425.27796367
1982-04-04 4 36 4 1982 0 14115715.2830071 297764.085391172 0 2776735.62931949 307763.085391172 0
1982-04-11 4 37 11 1982 0 14001804.4333936 505988.075858944 0 1650615.3038227 515987.075858944 1065584.6961773
1982-04-18 4 38 18 1982 0 13770688.1707653 256676.452529191 0 1984516.42196315 266675.452529191 671383.578036854
1982-04-25 4 39 25 1982 0 13763453.8346044 222215.779404387 0 2397919.37926223 232214.779404387 197680.620737769
1982-05-02 5 40 2 1982 0 14622357.5165408 337264.274416821 0 2446898.21515004 347263.274416821 0
1982-05-09 5 41 9 1982 0 16396659.7833089 627942.04856449 0 3193709.91752131 637941.04856449 0
1982-05-16 5 42 16 1982 0 17945076.8971794 915047.128490904 0 3180961.26590308 925046.128490904 0
1982-05-23 5 43 23 1982 0 20696127.982377 1391316.28816759 0 3099876.31222436 1401315.28816759 0
1982-05-30 5 44 30 1982 0 24717356.155072 2151988.03371185 0 3331751.6510606 2161987.03371185 0
1982-06-06 6 45 6 1982 0 30171060.7523354 1422334.50825918 0 2695342.51545109 1432333.50825918 0
1982-06-13 6 46 13 1982 0 33420702.7976667 1632441.52216562 0 3954261.59958912 1642440.52216562 0
1982-06-20 6 47 20 1982 0 34561680.9720836 860289.788309272 0 5002536.91153585 870288.788309272 0
1982-06-27 6 48 27 1982 0 34812140.1482387 224751.016826985 0 4977088.08548823 234750.016826985 0
1982-07-04 7 49 4 1982 0 41189862.6654701 2046000.74527118 0 4353744.74610635 2055999.74527118 0
1982-07-11 7 50 11 1982 0 42712111.4502984 2432083.01232803 0 4248963.78925062 2442082.01232803 0
1982-07-18 7 51 18 1982 0 43521986.5015018 2330280.41316609 0 3067987.86870056 2340279.41316609 773512.131299444
1982-07-25 7 52 25 1982 0 323274595.392029 603178.629341152 0 3244949.06197464 613177.629341152 579450.93802536
1982-08-01 8 1 1 1982 0 500512353.701297 3954083.8575111 0 3158490.82134423 3964082.8575111 0
1982-08-08 8 2 8 1982 0 727542978.578638 3546803.33918287 0 3408861.50423975 3556802.33918287 0
1982-08-15 8 3 15 1982 0 545121458.088112 3191654.8860554 0 3116346.70102512 3201653.8860554 0
1982-08-22 8 4 22 1982 0 630386401.816766 2766968.21630011 0 3208436.43214787 2776967.21630011 0
1982-08-29 8 5 29 1982 0 372441163.455111 2252305.06030714 0 3056768.43023096 2262304.06030714 0
1982-09-05 9 6 5 1982 10100.6605911356 42346725.3918477 3026170.84388404 59936.2376269675 1204179.76237303 2920936.16897462 181800
1982-09-12 9 7 12 1982 2844.49568288161 62480757.3277713 3030500.73535137 24280.4143994572 1283467.58560054 3028616.75274482 181800
