"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "MILNE" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS"
32 3 5 2000 46.1010554811826 0 0 33.2238868802653 2.08345902731176 2289.04347756555 0 2.02295654384303 0 0 3.63806549454896 0 0 0 0 1457.71981334007 0 20.5118010001013 2218.32666920845 0 1.6930333319309 24.7398381829028 76.8795411864034 2691.13905216826 0 5.8327115337474 0 0 0 72.2984709884012 0 116.413974129321 17.9869459671264 82.2840411953503 38.1590889829463
33 3 12 2000 46.1010554811826 0 0 33.2238868802653 2.08345902731176 1631.75708586499 0 2.02295654384303 0 0 3.63806549454896 0 0 0 0 2700.97208594683 0 5.50423649689206 1149.84527942215 0 1.6930333319309 12.8787343166292 77.4448454024448 1501.26348713018 0 0 0 0 0 98.0300878171019 0 116.413974129321 17.9869459671264 82.2840411953503 38.1590889829463
34 3 19 2000 46.1010554811826 0 0 33.2238868802653 2.08345902731176 42.761311658374 0 2.02295654384303 0 0 17.8775306786289 0 0 0 0 1145.9015425365 0 5.50423649689206 82.7519499386557 0 1.6930333319309 4.99166132067018 89.6555290463051 869.052351008237 0 4.77721954806166 0 0 0 72.2984709884012 0 116.413974129321 17.9869459671264 82.2840411953503 38.1590889829463
35 3 26 2000 46.1010554811826 0 0 33.2238868802653 2.08345902731176 503.60405163739 0 2.02295654384303 0 0 65.5874112407201 0 0 0 0 3428.50527914292 0 5.50423649689206 79.2564340686482 0 1.6930333319309 386.640833633143 77.7144742302578 893.788889387842 0 63.2981040569551 0 0 0 72.2984709884012 0 116.413974129321 17.9869459671264 82.2840411953503 38.1590889829463
36 4 2 2000 46.7389252303127 0 0 55.1460559902319 2.45447713488834 2179.67648474615 0 3.86346715519117 0 0 472.293683774907 0 0 0 0 2026.16676362048 0 5.96029944557513 115.381598270108 0 2.69275833932282 141.164489060497 112.73147414175 1806.46572369967 0 2785.99789228191 185.169239664852 0 0 128.800574655725 0 121.753145671221 21.4929599737776 129.455055953662 128.281922022804
37 4 9 2000 46.7389252303127 0 0 157.049397113148 2.45447713488834 13413.841132948 0 27.2091766517247 0 0 3476.0292772598 0 0 1.0144643020288 0 7910.22686548946 23.7054642036826 243.812668154605 1484.96119960283 0 3.87046808157618 747.099944597162 174.496912552938 10108.0118603008 0 7605.91231593674 2052.61135937365 0 0 360.38801096509 0 158.269253117057 48.1815770643131 135.996387052904 931.807249444975
38 4 16 2000 51.8080247363478 1.11676631694881 16.6468345045989 218.124776516892 2.45447713488834 10326.9374158379 0 3.86346715519117 0 335.378798458242 999.633312968334 0 0 10.7913867709493 0 4932.30564766875 42.7661098342632 276.027281206276 3244.25992733812 75.1575226486259 2.69275833932282 7198.41247337914 135.689490334061 4249.46298662656 0 10605.113863071 8582.27461580189 0 29.0964969960882 229.081093667814 0 123.569607754202 40.4625799168473 93.7387464528111 1420.47913918587
39 4 23 2000 46.7389252303127 0 0 42.0064287482116 2.45447713488834 4915.68371335101 0 3.86346715519117 0 0 383.735566077203 0 0 125.336037165735 0 4323.27702997252 0 209.069991523006 1317.56077242896 0 2.69275833932282 2230.24632690075 132.365476305017 1937.74937010784 18.7998012736788 8150.02271576897 1583.21980498109 0 619.636384639268 230.676026994271 0 178.997678174433 21.4929599737776 93.7387464528111 1337.12781627942
40 4 30 2000 46.7389252303127 0 0 37.9008070001313 2.45447713488834 10433.8937459512 0 3.86346715519117 0 0 337.540148049453 0 0 2.07672910481219 0 7841.69715112565 0 209.069991523005 2606.97274759137 0 2.69275833932282 411.825738493112 136.031194724762 3425.42724589095 0 18910.884089774 634.47499536346 0 208.895466867069 405.289848004084 0 198.818008331457 95.4819671995927 93.7387464528111 1446.29771219186
41 5 7 2000 102.376085018142 0 0.112233279779799 69.1877808020642 5.31217052754093 16205.1911074336 0 9.89334162614693 0 6.7469376745745 1525.61506258855 0 0 0 0 13175.6322866453 0 377.247738945618 4089.80908811303 0 6.65510311604973 1563.42265399767 262.009797852449 6074.69379404784 0 23376.981427218 1092.13751662128 0 103.296804289724 786.810591835367 0 515.135418163003 139.350318149307 179.591786604165 1525.65535636424
