"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1981-07-26 7 52 26 1981 0 357321346.053834 1899043.47863339 0 2942674.62116073 1909042.47863339 881725.378839267
1981-08-02 8 1 2 1981 0 150987219.10763 2109128.02196149 0 1743740.7224493 2119127.02196149 0
1981-08-09 8 2 9 1981 0 172090202.947182 2131596.4976605 0 2938900.45784242 2141595.4976605 0
1981-08-16 8 3 16 1981 0 208531489.575832 2131970.00882956 0 2183924.69313733 2141969.00882956 0
1981-08-23 8 4 23 1981 0 207672039.514983 2131970.00882956 0 1971547.72071805 2141969.00882956 0
1981-08-30 8 5 30 1981 0 171154798.0865 2145173.80591023 0 1748391.09221576 2155172.80591023 0
1981-09-06 9 6 6 1981 30610.6140063225 46297373.8982079 3008657.82432777 192595.542130177 1071520.45786982 2879693.38125626 181800
1981-09-13 9 7 13 1981 81367.3520718092 40548624.6639839 3190421.90179447 454144.055380428 853603.944619572 2854544.4682165 181800
1981-09-20 9 8 20 1981 114833.675322343 40255035.705392 2944606.94909991 640167.895231381 711212.104768619 2566366.68108353 181800
1981-09-27 9 9 27 1981 77441.1277298085 48622722.2236861 2837841.32422095 508534.410691706 886477.589308294 2593490.97198863 181800
1981-10-04 10 10 4 1981 115624.54306836 34676466.2066176 3523316.95870172 531407.288543072 898510.311456928 3170161.69496457 363600
1981-10-11 10 11 11 1981 154448.932956783 34495508.9666366 3298849.41855761 710862.053573811 753961.146426189 2825657.93409704 363600
1981-10-18 10 12 18 1981 151128.488867457 33969371.5680353 2752038.20846812 705727.482223392 794001.317776608 2285835.23120554 363600
1981-10-25 10 13 25 1981 162754.582340302 33131082.1558489 2094693.87820036 778504.96686397 756129.43313603 1580492.0878544 363600
1981-11-01 11 14 1 1981 0 32653563.261827 1562442.83471977 0 2149681.94687613 1572441.83471977 0
1981-11-08 11 15 8 1981 0 32395780.6197017 4102529.02376061 0 2096741.24241891 4112528.02376061 2686458.75758109
1981-11-15 11 16 15 1981 0 30326799.0381164 2234339.46978843 0 1955666.48568471 2244338.46978843 2784333.51431529
1981-11-22 11 17 22 1981 0 28752397.7402201 774977.078245718 0 2133558.57972857 784976.078245718 2563241.42027143
1981-11-29 11 18 29 1981 0 28249885.5593026 343569.594442568 0 1869919.87940654 353568.594442568 2783680.12059346
1981-12-06 12 19 6 1981 0 27872511.1539666 2967964.4007534 0 1549690.70428307 2977963.4007534 1755725.49571693
1981-12-13 12 20 13 1981 14349.9331533046 26554928.7559769 1839955.21300828 75343.0288591771 1494196.97114082 1810229.44595189 1831210.8
1981-12-20 12 21 20 1981 37042.5480998412 24964256.6494993 745318.135108045 174675.981092641 1482128.01890736 669221.313479134 1824605.4
