"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1983-10-16 10 11 16 1983 19290042.0383361 6740747.93798333 1202706.34679895 471272.05082943 5010786.25455658 2962091.22688733 7897411.60136412 2199995.71251712 1420000 2577600 4242400
1983-10-23 10 12 23 1983 19086531.3527528 6527531.64087323 1199366.95691702 437762.835660164 4965685.64812264 2945449.18631733 7638498.27585234 2176980.02671393 1420000 2577600 4242400
1983-10-30 10 13 30 1983 18912618.9094736 6348667.68932149 1195631.07452924 433490.426670164 4913694.96428642 2931170.66301733 7426083.91733418 2157895.30626295 1420000 2577600 4242400
1983-11-06 11 14 6 1983 18974710.1280977 6490998.04539366 1235318.83965924 563400.337340164 4990875.00822048 2938625.59326733 7240791.27256465 2160208.46360295 1420000 2577600 4242400
1983-11-13 11 15 13 1983 18472628.8615977 5693544.19404763 1236252.90058849 712500 4818113.06515645 2953671.28126733 7669145.9799654 2171463.12221216 1420000 2577600 4242400
1983-11-20 11 16 20 1983 17956897.4464977 5495814.27 1231738.365 725000 4736130 2958315.61249733 8104368.28563786 2159860 1420000 2577600 4242400
1983-11-27 11 17 27 1983 17956178.96 5495814.27 1231738.365 737500 4710640 2946773.09173733 8487274.19345661 2152420 1420000 2577600 4242400
1983-12-04 12 18 4 1983 17956178.96 5495814.27 1023400 750000 3855100 2931422.00117733 9106900 2144980 1420000 2577600 4242400
1983-12-11 12 19 11 1983 17402335.19524 5548631.56026 939813.760501328 766683 3855100 2915187.18654733 8762354.60866137 2146521.29000382 1420000 2577600 4242400
1983-12-18 12 20 18 1983 16848060.90559 5602745.65221 878163.028224185 783365 3855100 2897967.87511733 8352459.70124837 2139334.72004255 1420000 2577600 4242400
1983-12-25 12 21 25 1983 16510621.93 5655386.84527 873125.9714 800048 3855100 2879727.42844733 7895248.72856537 2133474.97982255 1420000 2577600 4242400
1984-01-01 1 22 1 1984 16510621.93 4938259.271 788400 816730 3855080 2723268.39238733 7464007.08895202 2124936.72438255 1420000 2577600 4242400
1984-01-08 1 23 8 1984 16330057.0968683 4729626.13520718 777546.409594621 786576 3907511.38831145 2720430.48554167 7064639.72508866 2134152.74875418 1370000 2578080 4242400
1984-01-15 1 24 15 1984 16123443.2350201 4491907.04812178 773982.97714904 756422 3933702.46289204 2704346.73702572 6798288.32052541 2142823.01845718 1320000 2578560 4242400
1984-01-22 1 25 22 1984 15935861.9341267 4258758.57532889 770147.119367193 726268 3938959.95632048 2673706.04650101 6460349.54751157 2142304.82395132 1270000 2579040 4242400
1984-01-29 1 26 29 1984 15780035.5651167 4064505.9864009 769840.530143475 696114 3942191.8521822 2650555.17138426 6165264.28492822 2165534.46334766 1220000 2579520 4242400
1984-02-05 2 27 5 1984 15563857.8644367 3810568.68143044 549407.598686828 665960 3901346.47352363 2599895.17793684 6402117.47389404 2165012.12903404 1170000 2580000 4242400
1984-02-12 2 28 12 1984 15294154.763016 3521502.77710132 535970.085018295 621063 3825766.32553015 2536032.75910993 6230279.47605261 2142514.37171257 1107500 2542500 4205550
1984-02-19 2 29 19 1984 15093306.1322675 3291841.03143963 527282.523407042 576165 3746618.2473523 2474732.01868524 5984628.55849556 2118874.21537626 1045000 2505000 4168700
1984-02-26 2 30 26 1984 14949987.9142781 3115121.8907298 517097.940668815 531268 3647480.52618946 2415410.73578614 5710374.87741595 2084653.18885172 982500 2467500 4131850
1984-03-04 3 31 4 1984 14927610.03 3084899.644 514711.9254 486370 3599210 2389368.014 5217300 2067950 920000 2430000 4095000
1984-03-11 3 32 11 1984 14930882.77 3128611.03489 488000 402130 3570250 2371352.38054 4856247.19847379 2067950 857500 2400000 4072500
1984-03-18 3 33 18 1984 14934155.5 3201838.91328 495000 317890 3543140 2361553.6143 4775316.22678575 2067950 795000 2370000 4050000
1984-03-25 3 34 25 1984 14937428.24 3246552.908 502000 233650 3517210 2350988.063 4875419.82329564 2067950 732500 2340000 4027500
1984-04-01 4 35 1 1984 14955998.844101 3315436.94125474 508553.913101 149410 3531581.12661947 2339519.88196 3921900 2124293.41205804 670000 2310000 4005000
1984-04-08 4 36 8 1984 14968841.53 3406619.391 518250 160714.3621202 3482500 2332401.01577 3921900 2142950 612500 2282500 3976880
1984-04-15 4 37 15 1984 14990486.2 3406619.391 526017.01359 187259.915349931 3476630 2330948.29955 3921900 2142950 555000 2255000 3948750
1984-04-22 4 38 22 1984 15025122.65 3679683.62262646 536750 221103 3473260 2458280.23165 3921900 2142950 497500 2227500 3920630
1984-04-29 4 39 29 1984 15075500 3727300 553400 245000 3604081.58480661 2542110.26389 3921900 2142950 443000 2200000 3892500
1984-05-06 5 40 6 1984 15156190.0957238 3727300 553400 267000 3753344.76369866 2585437.77744 3921900 2207289.1379 1030935.8886338 2243915.4997 3962400
1984-05-13 5 41 13 1984 15238111.936769 3727300 553400 289000 3910244.48799866 2667111.14387 3921900 2238000 1183000 2351200 4032300
1984-05-20 5 42 20 1984 15366413.9636589 3727300 553400 311000 4212911.19232964 2883847.23737629 3935372.16064562 2457362.4974 1420000 2426800 4102200
1984-05-27 5 43 27 1984 15526570.237288 3849594.26496546 553400 332402.927550181 4503500.96697744 3018309.47457629 5557438.68165461 2671439.0408 1420000 2502400 4172100
1984-06-03 6 44 3 1984 15764835.1736277 3933915.34311372 553400 354250.53000804 4812802.05432489 3224622.10107629 6881079.46438326 2958063.45698922 1420000 2578000 4242000
1984-06-10 6 45 10 1984 16089223.1332442 3785164.72212289 553400 386074.226512602 5096278.22707411 3345994.68317629 9107300 3195949.38688922 1420000 2577900 4242100
1984-06-17 6 46 17 1984 16712059.0906964 4503524.61507758 553400 415500 5417425.57113563 3472036.63437629 9107300 3400886.69641757 1420000 2577800 4242200
1984-06-24 6 47 24 1984 17347902.9837337 5332450.30865408 553400 446750 5769919.27347013 3647000 9107300 3467950 1420000 2577700 4242300
1984-07-01 7 48 1 1984 18382491.8836302 5974487.19171044 730339.9054 480000 5855100 3647000 9107300 3467950 1420000 2577600 4242400
1984-07-08 7 49 8 1984 19402326.3753397 7048800.76752999 928532.4992 507303 5850676.60684255 3647000 9103549.35147221 3467481.43068224 1420000 2577600 4242400
1984-07-15 7 50 15 1984 19826277.6500582 7292299.96429468 1045092.4569 534605 5809464.22553617 3647000 9064381.01152449 3466162.61448302 1420000 2577600 4242400
1984-07-22 7 51 22 1984 19755034.8850868 7304733.53476672 1182189.1415 561908 5820754.79555491 3643046.02377355 9018226.14969854 3376701.79943225 1420000 2577600 4242400
1984-07-29 7 52 29 1984 19568416.6430082 7327300 1287637.1814 589210 5672683.92542319 3547304.36101415 8943289.27415904 3259641.36482781 1420000 2577600 4242400
1984-08-05 8 1 5 1984 20075520 7327300 1416244.9674 589210 5404825.32655948 3364989.18655243 8717990.12185265 3157912.80867833 1420000 2577600 4242400
1984-08-12 8 2 12 1984 20075520 7327300 1423400 589210 5211390.16545248 3252875.16185503 8661144.67446671 3012009.88460165 1420000 2577600 4242400
1984-08-19 8 3 19 1984 20075520 7327300 1423400 589210 4975000 3166000 8316000 2832583.3286466 1337954.26816046 2577600 4242400
1984-08-26 8 4 26 1984 20075520 7327300 1423400 589210 4975000 3150148.64030227 8316000 2661037.25131426 1220319.32958521 2577600 4242400
1984-09-02 9 5 2 1984 19932708.3621677 7297069.81013162 1420284.26849813 589210 5024613.10279318 3130461.98785022 8597651.35961675 2593569.27240837 1337385.83082171 2577600 4242400
1984-09-09 9 6 9 1984 19978451.5045227 7260157.04210361 1416385.85647794 601908 5062652.71349127 3110720.55775526 8697532.36708325 2563552.79871816 1420000 2577600 4242400
1984-09-16 9 7 16 1984 19953144.3268822 7242160.83083248 1413001.52729525 614605 5103383.51879427 3097696.02036945 8863266.43704109 2524336.13320894 1420000 2577600 4242400
1984-09-23 9 8 23 1984 19933718.8517061 7228186.73896373 1410957.07262715 611314.409518313 5127042.66414318 3081370.74411762 8746895.52354757 2484990.68671275 1420000 2577600 4242400
1984-09-30 9 9 30 1984 19907676.6618071 7209561.54007415 1407636.60433446 632189.770882119 5140180.1611001 3054725.47546102 8734263.45189574 2451570.75740362 1420000 2577600 4242400
1984-10-07 10 10 7 1984 19753585.3111443 7066077.86015735 1400948.20930666 605995.084081309 5111365.03280204 3064248.41487102 8535790.70728528 2402247.80819146 1420000 2577600 4242400
1984-10-14 10 11 14 1984 19591479.2097435 6903394.83040393 1390942.42576149 579262.611411309 5055134.14186068 3053955.76511102 8294545.07117921 2352882.21803925 1420000 2577600 4242400
1984-10-21 10 12 21 1984 19425948.6407767 6812189.82813947 1381765.88432407 566272.142953344 5012503.24534453 3042960.57002102 8166839.30854723 2315652.23488209 1420000 2577600 4242400
1984-10-28 10 13 28 1984 19217677.8914707 6627241.60364254 1369083.76655547 537790.601013344 4947185.84139029 3026411.25964102 7942312.7982109 2275088.7014332 1420000 2577600 4242400
1984-11-04 11 14 4 1984 19200644.3380935 6607766.27136586 1378876.04711166 522401.076083344 4959670.62273963 3008201.72094102 7910953.16833488 2265921.13468422 1420000 2577600 4242400
1984-11-11 11 15 11 1984 18659965.7571735 5697420.16338574 1259380.8807612 506131.003033344 4802663.96617377 2991956.67577102 7940495.16812547 2187703.13276063 1420000 2577600 4242400
1984-11-18 11 16 18 1984 18118616.9978235 5495814.27 1231738.365 499135.288823344 4736130 2988120.75293102 7978085.98888064 2159860 1420000 2577600 4242400
1984-11-25 11 17 25 1984 17956178.96 5495814.27 1231738.365 477322.955713344 4710640 2970764.77297102 8040773.2369558 2152420 1420000 2577600 4242400
1984-12-02 12 18 2 1984 17956178.96 5495814.27 1023400 750000 3855100 2951113.14841102 8429479.84278675 2144980 1420000 2577600 4242400
1984-12-09 12 19 9 1984 17400995.28045 5548392.77955 932182.246555495 766683 3855100 2931586.49209102 7996102.39650436 2145396.70491765 1420000 2577600 4242400
1984-12-16 12 20 16 1984 16845382.58855 5599169.46905 874335.681045692 780512.58431 3855100 2910863.92060102 7495195.95279197 2138931.66264968 1420000 2577600 4242400
1984-12-23 12 21 23 1984 16510621.93 5647361.92932 873125.9714 790499.41092 3855100 2888934.91765102 6978824.61710957 2132474.39519968 1420000 2577600 4242400
