"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1984-07-15 7 50 15 1984 373006.102035 684776.179964753 2152400 373006.102035 1851436.54615593
1984-07-22 7 51 22 1984 257127.535235 293657.411816366 2152400 257127.535235 1903847.175695
1984-07-29 7 52 29 1984 409479.0749708 167333.591043214 2152400 409479.0749708 1400853.94791481
1984-08-05 8 1 5 1984 381411.056743 249870.517852213 2029093.90879619 381411.056743 952863.246025102
1984-08-12 8 2 12 1984 254195.360253 321049.390416885 1532438.05723259 254195.360253 1239545.16861504
1984-08-19 8 3 19 1984 278440.838012536 411529.58454322 1197073.09240489 196395.106173 1147976.23978625
1984-08-26 8 4 26 1984 312604.88860955 733400.509323527 509916.20453167 194969.9500343 845897.550296371
1984-09-02 9 5 2 1984 90726.3494096 860318.713366906 604375.189754965 207792.8506461 942460.012816765
1984-09-09 9 6 9 1984 198461.811440995 672411.711311621 522927.639008715 281075.980619281 547726.291113889
1984-09-16 9 7 16 1984 218697.1663645 490073.072317982 810000.834020622 218697.1663645 679517.456590468
1984-09-23 9 8 23 1984 219899.4264945 190403.669391288 667458.50000393 219899.4264945 337290.661248264
1984-09-30 9 9 30 1984 265692.91756498 223625.82229748 720620.368602664 265692.91756498 479916.98451192
1984-10-07 10 10 7 1984 263312.500610144 117790.855260086 489156.549556846 263312.500610144 272561.368181003
1984-10-14 10 11 14 1984 239674.299594533 325302.027332847 228723.937814848 239674.299594533 246900.054257527
1984-10-21 10 12 21 1984 347572.752390027 657611.7151717 126807.811507434 347572.752390027 348746.730966482
1984-10-28 10 13 28 1984 256064.593884938 645516.390479755 76051.547555618 256064.593884938 262530.0326177
1984-11-04 11 14 4 1984 227766.274853271 964035.645592061 8880.13730029389 227766.274853271 385154.370123984
1984-11-11 11 15 11 1984 217993.4729 666695.134102972 24822.992469633 217993.4729 454794.560055164
1984-11-18 11 16 18 1984 321859.0489 1972929.19150721 0 321859.0489 454104.820755164
1984-11-25 11 17 25 1984 229703.9607 1402658.67907882 0 229703.9607 479201.248075164
1984-12-02 12 18 2 1984 251031.2808 1080880.4157 549096.799049918 251031.2808 1240837.56209412
1984-12-09 12 19 9 1984 253576.9387 1470898.74729952 108758.964067524 253576.9387 411793.121280772
1984-12-16 12 20 16 1984 249839.7944 1886531.69511661 0 249839.7944 372681.575250772
1984-12-23 12 21 23 1984 225536.0033 1750176.5181082 0 225536.0033 363493.012280772
1984-12-30 12 22 30 1984 210707.384 658167.06775499 0 210707.384 352687.637180772
1985-01-06 1 23 6 1985 274100.4588 1876216.4443738 0 224100.4588 562864.466726354
