WEEK	ModPriestRapidsFlowData
516	1.43E+07
517	7.89E+06
518	3.83E+06
519	2.93E+06
520	2.50E+06
521	2.14E+06
522	2.26E+06
523	2.68E+06
524	8.38E+06
525	7.01E+06
526	2.32E+07
527	3.42E+07
528	1.77E+07
529	9.06E+06
530	4.08E+06
531	3.26E+06
532	2.55E+06
533	2.43E+06
534	2.56E+06
535	1.87E+06
536	2.96E+06
537	3.87E+06
538	1.29E+07
539	1.42E+07
540	8.80E+06
541	4.69E+06
542	2.61E+06
543	2.65E+06
544	3.75E+06
545	4.30E+06
546	6.90E+06
547	4.12E+06
548	4.46E+06
549	1.03E+07
550	1.86E+07
551	3.43E+07
552	1.87E+07
553	8.18E+06
554	3.96E+06
555	2.31E+06
556	2.42E+06
557	2.20E+06
558	2.12E+06
559	1.95E+06
560	3.03E+06
561	4.21E+06
562	1.60E+07
563	2.47E+07
564	1.55E+07
565	6.45E+06
566	4.11E+06
567	3.94E+06
568	4.65E+06
569	5.70E+06
570	3.69E+06
571	3.01E+06
572	3.34E+06
573	7.94E+06
574	2.30E+07
575	1.84E+07
576	1.76E+07
577	1.23E+07
578	6.96E+06
579	3.24E+06
580	2.34E+06
581	1.89E+06
582	1.88E+06
583	1.78E+06
584	2.14E+06
585	4.06E+06
586	1.02E+07
587	1.19E+07
588	6.20E+06
589	5.38E+06
590	3.24E+06
591	2.19E+06
592	2.44E+06
593	3.89E+06
594	2.48E+06
595	2.16E+06
596	4.03E+06
597	8.23E+06
598	1.62E+07
599	2.03E+07
600	1.39E+07
601	6.48E+06
602	6.34E+06
603	3.91E+06
604	3.00E+06
605	1.99E+06
606	1.83E+06
607	2.01E+06
608	3.47E+06
609	4.54E+06
610	1.68E+07
611	1.48E+07
612	9.07E+06
613	4.72E+06
614	3.21E+06
615	2.15E+06
616	1.53E+06
617	2.59E+06
618	2.04E+06
619	1.88E+06
620	3.01E+06
621	8.65E+06
622	2.27E+07
623	1.63E+07
624	8.69E+06
625	4.59E+06
626	3.73E+06
627	3.23E+06
628	3.22E+06
629	5.01E+06
630	4.50E+06
631	3.74E+06
632	3.98E+06
633	6.24E+06
634	1.98E+07
635	1.92E+07
636	1.53E+07
637	8.30E+06
638	3.96E+06
639	3.37E+06
640	3.52E+06
641	2.79E+06
642	2.35E+06
643	4.82E+06
644	5.29E+06
645	5.84E+06
646	1.79E+07
647	2.71E+07
648	1.60E+07
649	7.75E+06
650	5.21E+06
651	3.63E+06
652	3.01E+06
653	2.79E+06
654	3.45E+06
655	3.47E+06
656	6.84E+06
657	7.69E+06
658	1.74E+07
659	1.93E+07
660	1.43E+07
661	7.42E+06
662	3.95E+06
663	2.74E+06
664	4.88E+06
665	2.64E+06
666	3.94E+06
667	2.91E+06
668	4.38E+06
669	7.13E+06
670	1.12E+07
671	2.21E+07
672	1.38E+07
673	6.71E+06
674	3.79E+06
675	2.84E+06
676	2.79E+06
677	2.03E+06
678	1.67E+06
679	1.49E+06
680	2.36E+06
681	7.15E+06
682	1.85E+07
683	1.63E+07
684	8.09E+06
685	4.21E+06
686	3.57E+06
687	3.73E+06
688	4.14E+06
689	2.47E+06
690	2.27E+06
691	2.98E+06
692	6.83E+06
693	8.01E+06
694	1.47E+07
695	2.03E+07
696	9.88E+06
697	5.33E+06
698	3.13E+06
699	2.83E+06
700	3.08E+06
701	2.43E+06
702	1.95E+06
703	1.87E+06
704	4.81E+06
705	7.41E+06
706	1.85E+07
707	1.30E+07
708	7.70E+06
709	4.36E+06
710	2.89E+06
711	1.68E+06
712	1.70E+06
713	1.93E+06
714	1.59E+06
715	1.55E+06
716	2.57E+06
717	8.25E+06
718	1.45E+07
719	1.54E+07
720	8.44E+06
721	4.65E+06
722	2.79E+06
723	3.23E+06
724	3.39E+06
725	2.52E+06
726	2.27E+06
727	1.77E+06
728	3.27E+06
729	8.74E+06
730	1.67E+07
731	1.79E+07
732	9.03E+06
733	5.98E+06
734	3.50E+06
735	2.60E+06
736	5.17E+06
737	4.22E+06
738	3.86E+06
739	2.74E+06
740	3.61E+06
741	1.10E+07
742	1.48E+07
743	2.42E+07
744	1.48E+07
745	6.86E+06
746	3.36E+06
747	2.90E+06
748	6.55E+06
749	4.15E+06
750	3.21E+06
751	4.28E+06
752	4.11E+06
753	8.28E+06
754	2.01E+07
755	2.24E+07
756	1.78E+07
757	8.46E+06
758	3.71E+06
759	2.26E+06
760	2.32E+06
761	2.19E+06
762	2.08E+06
763	2.66E+06
764	4.16E+06
765	6.77E+06
766	1.45E+07
767	1.31E+07
768	7.54E+06
769	4.28E+06
770	2.73E+06
771	3.01E+06
772	2.55E+06
773	1.89E+06
774	1.83E+06
775	1.47E+06
776	2.89E+06
777	5.82E+06
778	1.91E+07
779	1.23E+07
780	9.28E+06
781	6.04E+06
782	3.42E+06
783	2.48E+06
784	1.88E+06
785	2.08E+06
786	2.16E+06
787	1.58E+06
788	3.17E+06
789	9.27E+06
790	1.57E+07
791	1.35E+07
792	9.06E+06
793	4.55E+06
794	2.59E+06
795	2.09E+06
796	1.80E+06
797	2.21E+06
798	2.61E+06
799	4.58E+06
800	5.86E+06
801	5.81E+06
802	1.56E+07
803	2.07E+07
804	1.10E+07
805	6.00E+06
806	3.68E+06
807	4.30E+06
808	6.43E+06
809	8.17E+06
810	4.49E+06
811	6.72E+06
812	5.72E+06
813	1.18E+07
814	1.72E+07
815	2.52E+07
816	1.70E+07
817	7.22E+06
818	3.86E+06
819	3.26E+06
820	3.01E+06
821	2.84E+06
822	3.99E+06
823	3.27E+06
824	6.23E+06
825	1.02E+07
826	2.79E+07
827	3.03E+07
828	1.61E+07
829	7.49E+06
830	5.40E+06
831	6.22E+06
832	4.34E+06
833	3.00E+06
834	2.82E+06
835	2.95E+06
836	4.35E+06
837	7.11E+06
838	2.22E+07
839	1.57E+07
840	1.01E+07
841	5.24E+06
842	3.10E+06
843	2.18E+06
844	2.58E+06
845	2.96E+06
846	3.51E+06
847	2.81E+06
848	4.94E+06
849	8.05E+06
850	1.64E+07
851	2.52E+07
852	1.77E+07
853	1.03E+07
854	3.97E+06
