time	ModWellsFlowData
726	2139440
727	1654740
728	3209260
729	8325640
730	16061600
731	17063600
732	8755230
733	6057750
734	3620680
735	2734610
736	5122970
737	4069930
738	3921270
739	2898140
740	3942110
741	10768200
742	14515200
743	23309900
744	14320300
745	6686040
746	3082500
747	2550300
748	5597820
749	3638790
750	2939140
751	3807580
752	3921200
753	8037440
754	19583200
755	21452900
756	16747800
757	8038300
758	3509380
759	2107190
760	2058810
761	1985810
762	1900990
763	2424660
764	3752980
765	6316320
766	13598700
767	12408300
768	7180950
769	3893590
770	2422550
771	2747380
772	2258780
773	1532330
774	1458890
775	1254360
776	2662130
777	5450540
778	18173500
779	11635700
780	9041010
781	5833210
782	3199610
783	2300640
784	1745040
785	1897140
786	1958490
787	1354010
788	2866820
789	8741220
790	14950600
791	12928700
792	8706320
793	4344880
794	2435100
795	1838140
796	1552330
797	1855480
798	2226530
799	4003790
800	5247590
801	5230200
802	14280000
803	19460500
804	10256600
805	5683770
806	3473860
807	3907610
808	5535130
809	7281830
810	3910490
811	6086630
812	5132590
813	11073600
814	16476500
815	24115100
816	16183600
817	6841610
818	3614940
819	3092310
820	2758210
821	2632370
822	3669370
823	2902470
824	5719270
825	9534050
826	26529000
827	28822400
828	15174900
829	7056420
830	5047170
831	5690000
832	3907060
833	2750960
834	2609980
835	2684760
836	4015640
837	6685960
838	20909500
839	14741600
840	9597240
841	5084860
842	2991370
843	2070660
844	2413130
845	2710440
846	3013360
847	2479230
848	4662590
849	7650490
850	15590800
851	23703600
852	16582800
853	9632590
854	3722490
