"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1980-01-13 1 24 13 1980 33000.1769233444 26046036.7441913 10390076.1055224 138023.275973164 1612831.92402684 10300000.2988313 727200
1980-01-20 1 25 20 1980 82843.8507685317 24978278.7872813 9533001.55623618 355310.885725951 1398937.91427405 9284920.17367419 727200
1980-01-27 1 26 27 1980 78128.6069440306 23670219.9189718 8476027.99235979 345283.806049044 1412358.59395096 8235185.13450747 727200
1980-02-03 2 27 3 1980 39348.3629793814 22487774.0610216 7479144.55005157 181226.999276367 1579809.00072363 7357496.29800611 727200
1980-02-10 2 28 10 1980 7217.16828929077 21213159.1074456 6813887.22140008 34752.9653210649 1612961.03467894 6798253.82913672 969600
1980-02-17 2 29 17 1980 0 20145406.3638985 5868481.12013621 0 1589361.75344677 5878480.12013621 899438.246553229
1980-02-24 2 30 24 1980 0 19227062.1126362 5030775.06771118 0 1666021.06841368 5040774.06771118 710578.931586324
1980-03-02 3 31 2 1980 0 18573865.3593231 4404162.29868054 0 1699995.36586854 4414161.29868054 564404.634131461
1980-03-09 3 32 9 1980 0 18056592.6851556 3929825.35114669 0 1615408.74916452 3939824.35114669 1640491.25083548
1980-03-16 3 33 16 1980 0 16410385.2866171 2371893.44387084 0 1457272.9043393 2381892.44387084 1699327.0956607
1980-03-23 3 34 23 1980 0 14689545.0553582 749825.901578762 0 1440521.22232023 759824.901578762 1616778.77767977
1980-03-30 3 35 30 1980 0 13942017.1043547 104445.590881872 0 1459787.40090789 114444.590881872 1498212.59909211
1980-04-06 4 36 6 1980 0 13782319.7632413 89981.749004216 0 1348786.49707485 99980.749004216 1427713.50292515
1980-04-13 4 37 13 1980 0 13700790.1846022 59493.5857280597 0 1350167.81271204 69492.5857280597 1366032.18728796
1980-04-20 4 38 20 1980 0 14085427.7877002 231510.53647267 0 1394009.99271955 241509.53647267 1261890.00728045
1980-04-27 4 39 27 1980 0 15089664.4361227 679582.388253843 0 2091492.20755767 689581.388253843 504107.79244233
1980-05-04 5 40 4 1980 0 16526796.6051316 959573.77170413 0 3128696.98667598 969572.77170413 0
1980-05-11 5 41 11 1980 0 18678220.9492412 1800992.81304803 0 3244499.78300357 1810991.81304803 0
1980-05-18 5 42 18 1980 0 20491019.5836758 1991683.96572105 0 3332387.80592259 2001682.96572105 0
1980-05-25 5 43 25 1980 0 22477663.384779 2057265.23618211 0 3047351.64559455 2067264.23618211 0
1980-06-01 6 44 1 1980 0 24590212.3503483 2375014.03312835 0 3406798.21413984 2385013.03312835 0
1980-06-08 6 45 8 1980 0 26495557.1637964 2011274.01444721 0 3601408.56701602 2021273.01444721 0
1980-06-15 6 46 15 1980 0 27600508.9302475 1027457.24721151 0 3451991.77558204 1037456.24721151 0
1980-06-22 6 47 22 1980 0 28800588.8624871 423857.836019698 0 3422964.10570036 433856.836019698 0
1980-06-29 6 48 29 1980 0 44848357.894991 0 0 3015810.57149481 9999 0
1980-07-06 7 49 6 1980 0 98209889.4260282 0 0 2525708.39265055 9999 1349991.60734945
1980-07-13 7 50 13 1980 0 191392226.430654 0 0 2680062.66693404 9999 1178537.33306596
1980-07-20 7 51 20 1980 0 161980428.68553 0 0 2328083.21416005 9999 1513416.78583995
1980-07-27 7 52 27 1980 0 65614155.2914942 0 0 1540145.52186313 9999 2284254.47813687
1980-08-03 8 1 3 1980 0 62155856.4387089 1742021.62229488 0 1073725.55754545 1752020.62229488 288274.442454547
