"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1988-04-17 4 38 17 1988 73742.2089044151 1918080 0 37821.2752630418 0 0 0 0 67193.3326382438 740873.6460953 0 22478438.1883455 0 642241.091095585
1988-04-24 4 39 24 1988 0 1594401.36031753 0 0 0 0 0 0 6227.2114924803 1057679.47568177 0 22974000 5923319.10618914 980078.639682466
1988-05-01 5 40 1 1988 0 920024.373206063 0 8872.0786466436 0 0 0 0 28887.947214139 0 0 24662400 10725382.5301381 1343055.62679394
1988-05-08 5 41 8 1988 0 1078249.64783999 0 21329.0118229308 0 0 0 0 39364.5912837626 0 0 26350800 8067197.91628825 1233070.35216001
1988-05-15 5 42 15 1988 0 1141798.91177047 0 6998.66840022175 0 47160.40871945 0 0 44179.4753075247 0 0 28039200 6999570.28225605 1217761.08822953
1988-05-22 5 43 22 1988 0 1027679.32085163 0 0 0 0 0 0 26585.2148895061 0 0 29727600 8916779.40969254 1380120.67914837
1988-05-29 5 44 29 1988 0 1108017.71091381 0 0 0 0 0 0 32805.9123319252 0 0 31416000 7567094.45664807 1348022.28908619
1988-06-05 6 45 5 1988 0 128083.847425059 0 0 0 22867.7854199378 0 0 8295.85971577352 0 0 31111500 2345199.20407376 1000576.15257494
1988-06-12 6 46 12 1988 0 219877.18764112 0 0 0 41766.9598620656 0 0 31673.7951364642 0 0 30807000 417539.059536472 900082.81235888
1988-06-19 6 47 19 1988 50551.7900600856 239760 0 0 0 64406.2579859493 0 0 67494.7144397545 0 0 28702684.847897 0 820076.709939915
1988-06-26 6 48 26 1988 237674.315127095 239760 0 16232.3813306948 0 109574.555345502 0 0 72339.9287702718 0 0 21849200.9705517 0 624262.884872905
1988-07-03 7 49 3 1988 0 2851278.00732659 0 9351.85520727099 0 37282.3409451513 5.63887323140534 0 72524.7092591693 0 0 29599500 4225937.78752903 991421.992673415
1988-07-10 7 50 10 1988 0 2781532.18123519 0 23291.9916855356 0 44673.0841312413 3.29055767411614 0 76726.4747626903 0 0 29001000 6248566.74417943 1044067.81876481
1988-07-17 7 51 17 1988 57200.4096275411 2997000 0 26236.6129486377 0 85859.7528769279 2.93904123489619 0 80200.8052331707 0 0 26372083.1630361 0 753488.090372459
1988-07-31 7 52 31 1988 332891.535184712 2997000 0 29166.1787575805 0 134681.176555871 1.62410653350025 0 83611.2207535254 0 0 16124992.2685351 0 460714.064815287
