"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1987-04-19 4 38 19 1987 137561.301795788 254317.610995788 419642.025856014 33719.73429 136988.4663335 231659.626136707 421694.855529007 107519.030554407 156934.982827954 226387.486068954 231706.644105037 307614.304048497 335021.502252078 1613627.7577111 1117935.18461281 1191626.65631681 1271006.06574251 1381713.49093101 1441226.92195621 1460447.49218951 118898.66406554 120081.98569254 410954.62163254 393927.18670277 409311.51964377 121558.918447028 1004040.5270618 993547.283743948 813836.20924342 824423.19985142 2389738.50493093 2617004.77353293 2725423.83991593 2756172.68715833
1987-04-26 4 39 26 1987 128020.680808157 261646.914908156 435058.544808156 23498.19212 175710.596828843 308602.773052648 562727.136789678 115488.096193262 207016.909944004 489157.814129604 510958.067529604 606563.158768054 636080.962071635 2111234.42933947 1507757.92877591 1532440.23303091 1511256.4187467 1581296.6936358 1548739.6072411 1514586.141637 143416.004302 238491.045772 479053.100301 455496.474964476 462507.054018914 145939.81950009 1176465.888013 1158605.2936286 923538.105224708 925647.839460008 2252286.25201401 2310743.66739401 2389041.15761581 2391539.11401192
1987-05-03 5 40 3 1987 278599.8461 148364.1439 548614.694674941 75009.1029 433403.792392411 228698.628297057 696605.590830357 242597.4475 463607.479378808 693807.440759408 722264.129459408 804303.853553608 803037.376817186 1564706.86539754 1695226.2892055 1943899.3984905 1986156.4392852 2091102.7492278 1999270.871886 2009963.23764 146206.2596955 111412.4149855 300538.8946055 238028.87146458 260316.042102778 296241.84488416 1382207.41168708 1340923.75155201 1125457.47308691 1095413.31500251 3047177.99746351 2873870.89292951 2905897.83746651 2750296.67374139
1987-05-10 5 41 10 1987 411609.4056 200288.7319 697752.6354 118799.8628 510467.51712259 249707.553204656 886013.779617256 178081.7523 373481.569466032 719317.218374132 803958.628974132 1121597.88250676 1172800.69477034 2866321.4330376 1976315.57638125 2131665.50431025 2330063.09542085 2459935.76183505 2425724.95610485 2619462.98847085 91494.66323201 56391.4166020098 329651.1514 268731.886500764 289295.19881481 219273.155125903 1291271.83787724 1340059.62169985 1163039.69443822 1193922.25547022 4201795.20157107 4074008.62390107 4025342.14388107 3681996.75200007
1987-05-17 5 42 17 1987 849471.456620259 453096.1653 1138539.22041699 211572.1191 575824.6452563 154714.01750215 1016967.81508715 108118.036150453 327015.709962641 594029.928048641 640510.868548641 845820.015150191 875046.470213769 2103443.17559092 1863853.54199 1877642.850269 2080827.582673 2247457.9987391 2180908.0108155 2358964.6846905 88260.7135859 -19080.8544140999 120349.03033 164353.645220913 180701.907401513 150787.534955026 1118777.71182352 1146085.68484572 732365.778143713 750573.505792713 3562877.96130321 3612248.46321321 3691036.83536321 3580199.12760221
1987-05-24 5 43 24 1987 413870.6097 343839.3978 694223.651723435 69862.42845 499353.789037 63219.83801553 438532.93466203 41216.35487 136764.92236601 348906.708605 374571.404405 536078.6345464 574271.446509978 1739984.40274201 2075755.956859 2071276.428741 2403179.7704885 2605374.7767145 2736457.6738451 2989555.4771571 169544.216260034 162046.897774034 110814.33673 106995.759386886 105989.016872286 74460.901392415 559646.906999351 557123.673496701 327272.813221636 322894.317285636 4138258.58696274 4438532.68328273 4520115.99785273 4431468.03839173
1987-05-31 5 44 31 1987 576178.667995076 351019.8998 429547.11030483 105207.0209 453695.3394317 195851.442232893 552208.322927893 69202.52099 157587.890402378 296580.081139378 298326.821639378 333923.521567078 366050.564938715 782199.524696608 1881697.39503508 1831872.62299608 1969426.18004208 2095112.87337508 2118181.82606898 2236234.34588298 158838.6153 105574.34566 379080.473271944 376640.678916752 380094.705193452 62120.701847866 683204.048502318 661515.697742118 522252.783372252 499317.324104252 3124505.90919723 3323166.91451723 3441708.99100723 3474029.73091023
1987-06-07 6 45 7 1987 647847.09874447 340655.3817 710657.17986044 110791.1031 412891.0631784 1367542.7355771 1695477.1811711 84476.99307 241248.3874943 436897.0089973 475122.4827973 537610.4915932 862771.461808928 2844361.85460003 1668005.72703455 1815793.75084155 1862757.06433755 1954204.70969855 1897023.52669265 1843187.06083365 160481.29159113 210678.77482113 298031.259321131 79930.5866259475 84038.8489547475 106651.238638926 721607.441514747 735230.163522647 677361.246911648 679621.798781648 2361293.3736953 2081294.0576453 2043283.79451529 1925279.6964183
1987-06-14 6 46 14 1987 1013328.51573871 363184.162 699526.60962882 201896.7746 339892.6163367 421707.56621455 854133.890442549 48933.275756236 178695.490516723 298613.373296723 316048.391700841 336791.028084141 388163.425693774 1117512.18873632 830010.534292236 965120.694707236 1037397.22867924 1135483.55021024 1120326.11311104 1097496.25909704 159162.0992329 116578.5839129 131212.8187129 243293.974217791 241767.863100091 51829.845157315 694190 694384.0647492 590136.66293029 589268.12529429 1899011.94011133 1965787.86860133 2045096.59012133 2081722.35465833
1987-06-21 6 47 21 1987 1106470.48942116 493429.715 970522.8910903 188857.2485 324846.7984716 396298.1248687 824597.5841657 49230.874965917 150841.700562203 278778.17751 291322.36491 314316.2947062 366043.257307011 1280096.58712271 1141210.02875061 1238317.03546061 1260416.64805161 1330076.67480461 1294929.67683861 1253192.83252261 107595.059301 -34504.3989989999 9207.38010000001 115530.836056892 118502.381431092 49571.797931831 542144.303889255 534882.407332565 449190.273791402 437919.719086402 1745416.16650902 1623064.20195902 1632858.44802902 1560809.02378402
1987-06-28 6 48 28 1987 610565.53925325 382526.9295 692275.83908262 93426.375 262710.8080616 313812.39619478 538625.69399978 37830.120924434 114646.536528198 294111.91199 309679.73677224 330070.74827564 369531.602660411 1205385.24476019 1361081.64961959 1482731.08608959 1612133.66039059 1712725.00310259 1774208.70229859 1785074.57630259 96421.837848 -39698.2282519998 -66085.1547 111914.52958444 114079.81168084 38926.096719371 479984.64645084 487779.19264484 428318.54929584 430727.83445684 2541312.21490943 2641459.27977943 2708442.87387943 2726314.23430043
