"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1981-09-06 9 6 6 1981 472629.70756397 593715.71676397 856216.538375329 36281.8362334847 80724.4851866712 99018.3292911712 178071.418384316 16144.119204415 71040.1638299171 98744.9815355021 100888.95693973 115009.306670745 108551.540160546 873741.552349942 900128.289064342 908876.275642342 884517.660146342 889048.107979342 872704.114935142 870535.471400141 34129.8009870001 0 0 -138.200348161996 1422.03675033798 30127.6152418505 156537.171852189 134445.772328209 83599.713002358 83827.867276458 915352.919846599 946843.465503599 1025385.6992136 1044033.8298146
1981-09-13 9 7 13 1981 331792.757477833 436331.596077833 586145.983774503 42933.2259889154 62926.792018775 74538.839228285 148838.8529647 152173.004020828 180926.950512338 169676.43419265 172607.474788844 214177.716741432 211404.953580997 846136.434450339 955258.381652239 953972.155988239 988030.754555239 1010666.76064324 1027180.51685514 1038724.99124814 32194.3694020002 0 12978.53012 12566.056513838 13234.405794838 34298.8077080059 147362.107202844 124843.951935014 67459.514435008 68999.868043608 1091014.57516175 1111844.55750075 1171161.19610075 1148025.87663875
1981-09-20 9 8 20 1981 241368.254357686 317485.499557686 406042.985788894 36123.3356612729 87032.2950741717 93694.3134374317 173389.587337845 166605.6 190083.276217813 200535.81188583 201822.408634831 213082.731920914 209959.547097914 924553.001275582 972661.606333082 962356.293738082 976452.661592082 990778.238992081 998471.111418881 1004723.79256588 29697.8311020001 0 39042.47756 38445.723713081 39886.788258581 35380.3819326151 166657.626718196 144887.915206466 87212.963167851 87761.906746951 1118299.52558283 1194340.57577283 1274830.84485283 1317414.18025483
1981-09-27 9 9 27 1981 217014.590964141 284230.512464141 395852.85732994 60137.6632305702 119518.441927277 129164.208013247 208878.487120277 185458.715904513 214798.262185365 251693.671831365 253318.672421028 259825.182293528 255802.236931578 1042272.29173962 1063190.32071512 1078363.86515112 1046195.19472812 1042349.81211612 1014087.08519682 1001943.37002482 30273.4396549999 0 61582.02454 60635.400754073 62165.054088473 32906.8936732787 202673.715923752 180332.611709462 128182.311675183 128125.745624183 1027625.709659 993015.724991003 1044000.283642 1043812.154542
1981-10-04 10 10 4 1981 502140.843411191 575536.569411191 896589.612485941 60563.4843754227 91631.5762873675 111786.715031151 256180.551148183 11272.642184342 56664.9948750001 108932.3499389 115155.9950389 121105.0290832 121452.58572103 1061069.39738225 1107123.43655581 1117483.48759981 1121520.97445031 1137828.12046761 1134117.44156761 1143430.36670941 34308.5010114 27445.5424720002 115141.42674028 122680.773668517 122998.249888797 36626.8028671182 335724.756569915 317578.027401455 243890.507296937 238125.254208737 1445004.83924915 1474393.86139015 1579142.06969757 1582151.37713042
1981-10-11 10 11 11 1981 364210.259738693 448494.179838693 731119.173092036 44264.3201851145 127009.113560082 168143.056760082 324161.751635196 25358.63889 59934.785786724 104807.776039283 113309.974379283 131104.109713993 139378.866751823 1209862.39350907 1271420.73916521 1306120.96495271 1316531.60790541 1341677.26812911 1328391.57077671 1329904.98627471 38293.0700900001 83109.3189594001 122192.666302285 134006.072902285 134139.42171457 39882.1393636155 294156.972777446 292619.742819663 226693.561437347 226705.215864647 1566400.44266936 1521719.08319056 1592529.95030959 1619716.26049887
1981-10-18 10 12 18 1981 310433.41530991 375465.72890991 618683.332219344 29985.908916178 116969.676161316 150088.824441316 244899.043717494 27652.79818 57655.86754613 111877.192632152 119455.984452152 134848.591656862 140811.966994692 1250432.28914477 1347239.50732242 1353716.87392102 1392734.30202744 1424874.29628563 1441382.88561094 1458373.41910573 73812.7136300001 175634.791022253 79886.22353 100820.87543 94078.07233 37531.5153326866 251423.762074127 246991.305056393 155481.523519306 149522.856660306 1705070.15687904 1736161.55013854 1836210.91979213 1866720.77588302
1981-10-25 10 13 25 1981 357948.015708895 408708.269908894 716360.463867138 36523.2162499052 154268.19120401 169479.869471478 256822.027453915 30328.29162 57906.14384556 102312.663289599 107879.856309599 123395.093996679 129585.100734509 1250858.49132105 1300411.90478155 1289345.45590935 1313453.53778085 1333626.39006195 1340991.16892055 1349878.00358305 38381.6658299998 83416.9866359998 96891.196336582 114622.851855975 118581.054752557 40949.773345178 261903.653399295 270619.789481561 197674.832204483 203849.259037683 1634964.93263074 1711758.73535014 1804682.06841925 1875485.72525276
1981-11-01 11 14 1 1981 324074.084580007 382327.428980007 718115.209903856 38623.7333754617 162971.010152288 180594.45543207 267625.36352775 27608.20927 56090.5243376619 95210.3535464969 100171.436316497 115993.310077597 120837.788716528 1377823.45015282 1380144.78301941 1389405.95732471 1367978.57837491 1373137.89417161 1350792.35435251 1346719.37343161 31719.5853004209 64656.9784338204 129140.92074 138192.86804 138091.50264 41054.0261098644 291088.482908611 287754.351445798 216830.676907664 213819.131648984 1542908.22904759 1543339.54329819 1601844.90505908 1641575.71634488
1981-11-08 11 15 8 1981 619217.48 676353.7611 1551964.24763568 131151.326099265 138811.83040186 150068.58141186 335993.776501125 30834.91703 50134.6983400001 91610.4184200001 93928.6696500001 166605.6 172468.622928931 2165634.02413681 2260673.7799034 2316214.11942751 2342879.44097016 2364649.44023172 2373987.59773272 2389304.27714518 28195.8225099999 47301.6013399996 139948.93535 139202.96355 142259.83295 27767.6 310559.055575096 318095.887112283 256919.662882743 262306.076838922 2571881.3367471 2537363.0723979 2571615.75461688 2583403.47390132
