"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1986-04-27 4 39 27 1986 783974.63809054 1585691.3793627 0 746474.63809054 897743.696809376
1986-05-04 5 40 4 1986 695169.0418765 1790039.25 0 825169.0418765 1390016.85389956
1986-05-11 5 41 11 1986 793586.552397 1790039.25 83338.1435689228 923586.552397 1238755.04730862
1986-05-18 5 42 18 1986 792910.395279108 1790039.25 144888.596178923 922910.395279108 1816487.69053827
1986-05-25 5 43 25 1986 450947.107702868 2547764.79711896 648706.187125527 580947.107702868 1039580.96561194
1986-06-01 6 44 1 1986 967715.37382019 1738235.89980207 995754.10768454 1097715.37382019 1590759.63096877
1986-06-08 6 45 8 1986 1414349.57940095 2435856.73661717 1361100 1414349.57940095 4037460.23106935
1986-06-15 6 46 15 1986 1095772.8379293 3341076.87300667 2152400 1095772.8379293 3519141.65874983
1986-06-22 6 47 22 1986 383561.904929 1014723.05152269 2152400 383561.904929 2701275.80827097
1986-06-29 6 48 29 1986 226668.686997 1101790.40197324 2152400 226668.686997 2028635.30717886
1986-07-06 7 49 6 1986 204437.352692565 1378544.45026343 2109147.10778094 119721.688878 1784300.649112
1986-07-13 7 50 13 1986 221460.786617233 1053543.48478578 1978610.79910776 166043.684780999 914238.60940795
1986-07-20 7 51 20 1986 150742.204040202 532911.077096323 1602754.1908789 53874.9696909999 600583.002376111
1986-07-27 7 52 27 1986 95679.4963139996 814190.214127093 152909.624768819 95679.4963139997 401790.115216086
1986-08-03 8 1 3 1986 117833.800046 779855.252361546 138132.614770663 117833.800046 368132.095627707
1986-08-10 8 2 10 1986 99734.8777166 1378139.85068154 206186.865318902 71859.6043700002 649076.145074305
1986-08-17 8 3 17 1986 110642.981846 707029.639858817 463389.338495062 39140.1464730002 793114.707508821
1986-08-24 8 4 24 1986 115358.48888 500254.204880807 302695.807401159 59927.5058735994 644572.849606859
1986-08-31 8 5 31 1986 109943.338097 323172.174795664 71491.6568133999 106006.4916896 338145.752902485
1986-09-07 9 6 7 1986 109320.90783 609986.898289521 68301.8399464479 125780.7919278 252519.024732087
1986-09-14 9 7 14 1986 108008.6179678 862594.342350797 45321.6227830667 176033.4800614 260774.27491454
1986-09-21 9 8 21 1986 107646.1538022 1174681.45716544 50705.4691255856 195758.319399 429389.37951425
1986-09-28 9 9 28 1986 97732.3559 1142605.33738226 44660.0437785238 266099.309470897 328127.180402767
1986-10-05 10 10 5 1986 316148.540036728 1370015.13251874 67860.5123310564 370930.612811032 488984.575220069
1986-10-12 10 11 12 1986 275230.598676152 1188312.56013509 59789.7225127947 275230.598676152 337732.951532452
1986-10-19 10 12 19 1986 217968.731482964 1326233.44805523 15423.2844691155 217968.731482964 324935.19422203
1986-10-26 10 13 26 1986 208403.872438419 1593587.88976561 0 208403.872438419 269504.415222984
1986-11-02 11 14 2 1986 243657.069471283 1883089.5673448 0 243657.069471283 137764.594697083
1986-11-09 11 15 9 1986 186802.6878 1895751.48930059 0 186802.6878 409445.324764131
1986-11-16 11 16 16 1986 183782.9878 1436351.23743738 0 183782.9878 369946.173264131
1986-11-23 11 17 23 1986 178819.1799 963840.448655002 0 178819.1799 303817.297264131
1986-11-30 11 18 30 1986 219245.4648 1001475.76707001 0 219245.4648 467790.696864131
1986-12-07 12 19 7 1986 199420.861799999 3625875.28357494 0 199420.861799999 1197924.9047219
1986-12-14 12 20 14 1986 193968.6881 2621483.77864609 0 193968.6881 417665.433150965
1986-12-21 12 21 21 1986 180020.449 1815208.74402253 0 180020.449 385921.638450965
1986-12-28 12 22 28 1986 174778.474 905203.709163369 0 174778.474 370309.104450965
1987-01-04 1 23 4 1987 227277.9771 2376356.55621371 0 177277.9771 397053.867916354
1987-01-11 1 24 11 1987 261025.217 2427712.88313739 0 211025.217 432734.252895416
1987-01-18 1 25 18 1987 229077.9155 2430074.92720208 0 179077.9155 468402.413944554
1987-01-25 1 26 25 1987 220823.0587 2386192.79366671 0 170823.0587 470909.383576568
1987-02-01 2 27 1 1987 281582.1504 2483299.99752705 0 231582.1504 464173.421611363
1987-02-08 2 28 8 1987 330104.4231 3069658.65742235 0 292604.4231 498619.23658307
1987-02-15 2 29 15 1987 336521.7318 2937229.34910689 0 299021.7318 505593.979412509
1987-02-22 2 30 22 1987 425841.2285 2696042.16491255 0 388341.2285 541747.840102512
1987-03-01 3 31 1 1987 320672.24471139 2552066.21415544 0 283172.24471139 496715.591199441
1987-03-08 3 32 8 1987 285829.883293 3202987.00847176 0 285829.883293 502747.858783393
1987-03-15 3 33 15 1987 411768.562036 1506843.0425475 0 411768.562036 1070107.8182112
1987-03-22 3 34 22 1987 379591.20657746 1494090.942855 0 379591.20657746 1112971.12756952
