"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalRelReducReq" "ARPrelim" "ARCombSup" "AREnergySup" "ARMcNarySup" "ARSharedWater" "ARECCSharedWater" "AR_CRT_SOA_storage" "AR_CRT_storage" "AR_CRT_release" "MI_CRT_storage" "MI_CRT_release" "MIMcNarySup" "MI_CRT_SOA_storage" "MIRelReducReq" "ARRelReducReq" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
2010-03-07 3 32 7 2010 294582.94508407 582965.427420751 0 33419 0 0 0 2213643.58323047 0 1e+06 1792000 0 2200000 NA 0 2500000 0 0 0 294582.94508407 373765.56420844
2010-03-14 3 33 14 2010 324228.820993916 619073.4869955 0 33419 0 0 0 2191546.96468047 0 1e+06 1828000 0 2300000 NA 0 2500000 0 0 0 324228.820993916 584749.849883493
2010-03-21 3 34 21 2010 314185.9646503 618331.837942 0 33419 0 0 0 2179595.89480047 0 1e+06 1864000 0 2400000 NA 0 2500000 0 0 0 314185.9646503 566736.243115503
2010-03-28 3 35 28 2010 366831.72841053 621528.47802651 0 33419 0 0 0 2204061.33210047 0 1e+06 1900000 0 2500000 NA 0 2500000 0 0 0 366831.72841053 698103.858804629
2010-04-04 4 36 4 2010 336774.450865509 689950.781885009 0 85169 0 0 0 2274164.00851047 0 1e+06 1868500 15750 2500000 NA 0 2500000 0 0 0 355524.450865509 715410.106461211
2010-04-11 4 37 11 2010 305259.30514693 632745.4569975 0 85169 0 0 0 2286488.33957047 0 1e+06 1837000 15750 2500000 NA 0 2500000 0 0 0 324009.30514693 691954.381286972
2010-04-18 4 38 18 2010 270696.45587 642221.233769206 0 85169 0 0 0 2381100.70837047 0 1e+06 1805500 15750 2500000 NA 0 2500000 0 0 0 289446.45587 402482.902033581
2010-04-25 4 39 25 2010 493539.2421125 974044.073100925 0 85169 0 0 0 2730887.82497751 0 1e+06 1774000 15750 2500000 NA 0 2500000 0 0 0 512289.2421125 685312.487873162
2010-05-02 5 40 2 2010 616665.77348668 1704895.46628097 0 92819 0 0 0 2952273.30773856 0 1e+06 1727200 23400 2500000 NA 0 2500000 0 0 0 501665.77348668 1557512.21628097
2010-05-09 5 41 9 2010 261392.303382 1370610.60214757 0 92819 0 0 0 3075403.44045856 0 1e+06 1680400 23400 2500000 NA 0 2500000 0 0 0 371392.303382 1223227.35214757
2010-05-16 5 42 16 2010 195143.522851 879599.869642069 0 92819 0 0 0 3261726.24292394 0 1e+06 1633600 23400 2500000 NA 0 2500000 0 0 0 288143.522851 732216.619642069
2010-05-23 5 43 23 2010 303356.925152776 1453034.47646164 0 92819 0 0 0 3541790.71303106 0 1e+06 1586800 23400 2500000 NA 0 2500000 0 0 0 318046.28469 1305651.22646164
2010-05-30 5 44 30 2010 375165.133407224 1450764.95156408 0 92819 0 0 0 3639533.76170455 0 1e+06 1540000 23400 2500000 NA 0 2500000 0 0 0 360475.77387 1303381.70156408
2010-06-06 6 45 6 2010 454648.236278152 587747.25 0 116669 0 0 0 3781710.80970455 0 1e+06 1445500 47250 2500000 NA 0 2500000 0 0 0 691648.236278152 1299584.55509161
2010-06-13 6 46 13 2010 957110.482579851 587747.25 0 116669 0 0 0 3882581.64059579 0 1e+06 1351000 47250 2500000 NA 0 2500000 0 0 96047.3318230929 957110.48257985 1626673.42372421
2010-06-20 6 47 20 2010 681138.055842469 1624930.8252546 0 116669 0 0 0 3907812.43026379 0 1e+06 1303750 47250 2500000 NA 172272.338564552 2500000 0 0 553990.645357714 681138.05584247 1002065.24166988
2010-06-27 6 48 27 2010 300081.5254896 2287209.93446113 0 116669 94230.0796709433 0 0 3937309.64346849 0 1e+06 1256500 47250 2327727.66143545 NA 0 2327727.66143545 0 0 591399.670078113 300081.5254896 1225801.91755499
2010-07-04 7 49 4 2010 122825.422997919 1579406.69720601 0 127919 0 0 0 3943354.87567329 0 1e+06 1198000 58500 2327727.66143545 NA 97852.0697863214 2327727.66143545 0 0 396600.8374127 89902.2358739995 1063517.48897078
2010-07-11 7 50 11 2010 159341.763818439 1333834.78877984 0 127919 75048.1617758311 0 0 3958304.13976309 0 1e+06 1139500 58500 2229875.59164913 NA 0 2229875.59164913 0 0 362482.199795664 25168.8747 864647.482217607
2010-07-18 7 51 18 2010 114802.636916 799598.039507475 0 127919 0 0 0 3922794.01333069 0 1e+06 1081000 58500 2229875.59164913 NA 108883.932093453 2229875.59164913 0 0 355648.246854766 -14931.14108 539692.06770905
2010-07-25 7 52 25 2010 124750.083288 712899.207418878 0 127919 76035.8511481173 0 0 4929931.80597519 0 1e+06 0 58500 0 NA 0 2120991.65955567 0 0 235354.291722711 -28243.86294 446096.715818181
2010-08-01 8 1 1 2010 126179.4117661 881074.544642803 0 110819 1954.83771520953 770.712772880628 0 4857524.65958989 0 1e+06 0 41400 0 NA 88584.1312741004 2120991.65955567 0 0 221418.68062005 2247.48579000001 417834.46885457
2010-08-08 8 2 8 2010 129293.4106569 849483.894674726 0 110819 88584.1312741004 0 0 4772467.260266 0 1e+06 0 41400 0 NA 42800.3552847207 2032407.52828157 0 0 148380.718036803 15493.21221 438934.350265467
2010-08-15 8 3 15 2010 128272.92394647 850314.171571854 0 110819 64021.4902719686 8124.88895652548 0 4719947.14579907 0 1e+06 0 41400 0 NA 102017.497231692 1989607.17299685 0 0 208239.872761628 47410.31684 419785.988562229
2010-08-22 8 4 22 2010 133991.1792817 847864.041738311 0 110819 115812.629472799 5220.56908836294 0 4636244.09328124 0 1e+06 0 41400 0 NA 6903.82440014556 1887589.67576516 0 0 147924.407423883 8906.72440000002 509437.194255034
2010-08-29 8 5 29 2010 24020.6995024715 891646.394861261 0 110819 80089.5324530447 27128.4165386792 0 4538205.23830488 0 1e+06 0 41400 0 NA 88660.9915770292 1880685.85136501 0 0 150965.680979224 -2476.31362 383555.361821955
