time	ModLittleGooseFlowData
714	1158580
715	1284340
716	1880560
717	3544850
718	4663030
719	3488910
720	1317160
721	918004
722	874854
723	1026320
724	1407860
725	1328120
726	1206030
727	1131910
728	3848890
729	5866090
730	6086390
731	4936970
732	1779870
733	1260700
734	1163690
735	1308360
736	1543090
737	1475220
738	1531360
739	1353860
740	2278070
741	4449660
742	4549180
743	4969190
744	1713810
745	1114690
746	947776
747	1274080
748	1693500
749	1261050
750	1506700
751	1898260
752	1968280
753	2691470
754	5353590
755	5071620
756	2239960
757	1015340
758	957028
759	1040970
760	1385540
761	1391830
762	1242460
763	1731620
764	2211270
765	2781320
766	3692390
767	1632100
768	1199060
769	719162
770	798629
771	991427
772	1199030
773	1124670
774	1160850
775	1122030
776	3661900
777	4388820
778	8696520
779	6153580
780	2493320
781	1663400
782	1200130
783	1310140
784	1213990
785	1317570
786	1455730
787	1119220
788	2139140
789	3470260
790	4355300
791	2583270
792	1288870
793	882222
794	808210
795	1069820
796	1184620
797	1356350
798	1860480
799	3236560
800	3624310
801	3564210
802	7386330
803	7311050
804	3476400
805	1452370
806	1235710
807	1649820
808	2935820
809	4532980
810	3174990
811	5892950
812	5229690
813	7410660
814	8969990
815	9046830
816	3150910
817	1487010
818	1306430
819	1418710
820	1811020
821	2562250
822	5557720
823	4634620
824	6181180
825	7458350
826	12282200
827	10939600
828	3777820
829	1862900
830	1878680
831	2026040
832	2121140
833	1964230
834	2145710
835	2278380
836	3517790
837	4405360
838	9488530
839	7000260
840	3046940
841	1413210
842	1427700
843	1498690
844	1860410
845	2399580
846	2879180
847	2570440
848	5247260
849	5453220
850	7861510
851	9533450
852	3181660
853	1558640
854	1248860
