"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
2000-04-30 4 40 30 2000 0 227494.315742379 0 0 0 0 0 0 0 0 0 24662400 24356306.0219145 2035585.68425762
2000-05-07 5 41 7 2000 0 994622.700775324 0 0 0 0 0 0 22111.6252593532 0 0 26350800 9472130.62697456 1316697.29922468
2000-05-14 5 42 14 2000 0 836015.748375633 0 0 0 0 0 0 0 0 0 28039200 12136727.4272894 1523544.25162437
2000-05-21 5 43 21 2000 0 971491.900765771 0 0 0 0 0 0 0 0 0 29727600 9860728.06713505 1436308.09923423
2000-05-28 5 44 28 2000 0 1030436.68212451 0 0 0 0 0 0 0 0 0 31416000 8870455.74030828 1425603.31787549
2000-06-04 6 45 4 2000 0 0 0 0 0 0 0 0 0 0 0 31111500 5040000 1210091.33017327
2000-06-11 6 46 11 2000 0 0 0 0 0 0 0 0 7669.14745375968 0 0 30807000 5040000 1614779.53124571
2000-06-18 6 47 18 2000 0 0 0 0 0 0 0 0 19658.9546451289 0 0 30502500 5040000 1906423.6466658
2000-06-25 6 48 25 2000 0 0 0 0 0 0 0 0 47692.300226667 0 0 30198000 5040000 1861845.78062378
2000-07-02 7 49 2 2000 0 2415188.54082142 0 0 0 0 0 0 67976.4663048444 0 0 29599500 16872532.3161789 1427511.45917858
2000-07-09 7 50 9 2000 0 2117581.40806562 0 0 0 0 0 0 74606.2856175269 0 0 29001000 25503139.166097 1708018.59193438
2000-07-16 7 51 16 2000 0 2105557.66977874 0 0 0 0 0 0 77389.7340433656 0 0 28402500 25851827.5764167 1702942.33022126
2000-07-23 7 52 23 2000 0 2117767.27550326 0 14893.2418366688 0 0 0 0 80103.2486107773 0 0 27804000 25497749.0104053 1673632.72449674
2000-07-30 7 52 30 2000 0 2485781.98684151 0 24149.8668659427 0 0 0 0 79732.8473289499 0 0 27804000 14825322.3815963 1305618.01315849
2000-08-06 8 1 6 2000 0 171958.939428983 0 29185.0640594978 0 0 0 0 82771.9374520776 0 0 30702000 12210174.1046694 1184761.06057102
2000-08-13 8 2 13 2000 0 225266.467503309 0 30415.0890202754 0 0 0 0 84123.2058344906 0 0 33600000 10093865.2401187 1214253.53249669
2000-08-20 8 3 20 2000 0 451409.714231107 0 30559.728246426 0 25574.4012520463 0 0 83894.821087507 0 0 36498000 1115978.34502505 1070910.28576889
2000-08-27 8 4 27 2000 497216.967757387 479520 0 32413.353623833 0 98778.9586575724 0 0 85845.5822948928 0 0 21954010.1284915 0 627257.432242613
2000-09-03 9 5 3 2000 622297.588553741 479520 0 0 0 0 0 0 90113.8759278362 0 0 20471290.4006191 0 584894.011446259
2000-09-10 9 6 10 2000 641143.123769722 179820 0 0 0 0 0 0 83825.7014863988 0 0 21322184.6680597 0 609205.276230278
2000-09-17 9 7 17 2000 714264.781973505 179820 0 0 0 0 0 0 75193.1235548712 0 0 20273414.6309273 0 579240.418026495
2000-09-24 9 8 24 2000 738095.552333855 179820 0 0 0 0 0 0 82734.175552358 0 0 20949825.6683151 0 598566.447666145
2000-10-01 10 9 1 2000 731147.370286537 179820 0 0 0 0 0 0 84469.7277753521 0 0 22703500.0399712 0 648671.429713463
2000-10-08 10 10 8 2000 609453.06966787 359640 0 0 0 0 0 0 72273.8187795604 0 0 28171190.9616246 0 804891.17033213
2000-10-15 10 11 15 2000 728506.72290077 359640 0 0 0 0 0 0 91337.8203791035 0 0 25212703.4984731 0 720362.95709923
2000-10-22 10 12 22 2000 669149.984780903 359640 0 0 0 0 1.77897024219146 0 77834.3158249951 0 0 28498579.7326684 0 814245.135219097
2000-10-29 10 13 29 2000 730302.289303474 359640 0 0 0 0 7.55655491119387 0 81519.9304265588 0 0 27566639.4743784 0 787618.270696526
2000-11-05 11 14 5 2000 1007263.92766054 359640 0 0 0 0 0 0 85978.0836629815 252214.604568408 0 19081372.5318812 0 545182.072339462
2000-11-12 11 15 12 2000 220229.980693617 3236760 0 0 0 0 0 0 79399.8321569097 0 0 45117072.6757234 0 1289059.21930638
2000-11-19 11 16 19 2000 863914.439659658 3236760 0 0 0 0 0 0 81587.4356732381 136118.948532593 0 21077628.611912 0 602217.960340342
2000-11-26 11 17 26 2000 947793.478638811 3236760 0 0 0 0 0 0 83902.622108508 608230.971583529 0 16631374.2476416 0 475182.121361189
2000-12-03 12 18 3 2000 671656.993016628 3236760 0 0 0 0 0 0 84301.8860479904 174214.545529361 0 24785663.244418 0 708161.806983373
2000-12-10 12 19 10 2000 351332.854072555 1817800.38 0 0 0 0 0 0 77226.5941555807 0 0 39017984.1074606 0 1114799.54592744
2000-12-17 12 20 17 2000 820219.280923072 1811266.92 0 0 0 0 0 0 80807.264273992 108120.407646156 0 25627935.1676925 0 732226.719076928
2000-12-24 12 21 24 2000 902969.630353905 1804733.46 0 0 0 0 0 0 80467.2670650147 0 0 25752648.9376133 0 735789.969646095
2000-12-31 12 22 31 2000 987024.761539185 1438560 0 0 0 0 0 0 80283.8987695913 0 0 25831695.3461285 0 738048.438460815
2001-01-07 1 23 7 2001 705727.462688292 719280 0 0 0 0 0 0 63714.6223102307 0 0 35794583.2059098 0 1022702.37731171
2001-01-14 1 24 14 2001 876891.33451119 719280 0 0 0 0 0 0 78464.1854910602 0 0 29921330.0921083 0 854895.14548881
2001-01-21 1 25 21 2001 1056917.88575728 719280 0 0 0 0 0 0 79371.9140603279 0 0 23737883.1984952 0 678225.234242721
2001-01-28 1 26 28 2001 1083563.29465155 719280 0 0 0 0 0 0 81720.2333000174 179744.951926643 0 22922776.2871957 0 654936.465348448
2001-02-04 2 27 4 2001 982831.059545278 719280 0 0 0 0 0 0 76873.0848369176 0 0 26565886.9159153 0 759025.340454721
2001-02-11 2 28 11 2001 810396.476284561 959040 0 0 0 0 0 0 71104.3038554859 0 0 28678024.3300404 0 819372.123715439
2001-02-18 2 29 18 2001 751354.307326902 959040 0 0 0 0 0 0 73679.4780606748 0 0 26821427.2435584 0 766326.492673098
2001-02-25 2 30 25 2001 713840.615020269 959040 0 0 0 0 0 0 73558.0727926645 0 0 24211333.4742906 0 691752.384979731
2001-03-04 3 31 4 2001 928662.798045064 959040 0 33856.7979222065 33449.7282652524 0 0 0 78250.1512700665 814183.709888756 0 12769484.0684228 0 364842.401954936
2001-03-11 3 32 11 2001 430016.69992655 2037960 0 30816.227137274 0 0 0 0 76415.470875373 0 0 26750073.0025708 0 764287.80007345
2001-03-18 3 33 18 2001 530301.632477962 2037960 0 12458.3248448645 15164.2742851757 0 0 0 55076.4159014016 354131.927211282 0 19768075.8632713 0 564802.167522038
2001-03-25 3 34 25 2001 443704.093198914 2037960 0 21141.0151117076 7812.27094402542 0 0 0 66626.786712679 159361.216914953 0 19326965.238038 0 552199.006801086
2001-04-01 4 35 1 2001 115956.950750083 2037960 0 13288.6677639056 0 0 0 0 45299.2809242326 381539.875771441 0 27326090.7237471 0 780745.449249917
2001-04-08 4 36 8 2001 235957.210783896 1918080 0 27323.9726879019 13232.1830675722 0 0 0 43867.8375350251 233987.682493311 0 21017692.1225636 0 600505.489216104
2001-04-15 4 37 15 2001 258591.367272072 1918080 0 35897.8477391888 23031.5667870619 5212.06267933628 0 0 55329.2049341073 741818.788393139 0 18117107.1454775 0 517631.632727928
2001-04-22 4 38 22 2001 189278.580070617 1918080 0 32869.7698417404 22652.7191872965 7720.58491423797 0 0 56233.152136714 810392.517371898 0 18434665.1975284 0 526704.719929383
2001-04-29 4 39 29 2001 0 1762105.35383502 0 8193.00835542916 0 0 0 0 44541.4316170835 509680.794644665 0 22974000 2854336.02481912 812374.646164979
