"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1987-10-18 10 12 18 1987 18892744.184554 6215913.7136633 1344344.41523481 460845.199431065 4754766.02568419 2864023.58905186 6547536.58819474 1826037.31036353 588988.476774335 2577600 4242400
1987-10-25 10 13 25 1987 18690492.6496644 6015683.232 1318580.14570393 417781.713781306 4687495.11607476 2838162.07153186 6266988.89279499 1795993.87716852 643691.24098677 2577600 4242400
1987-11-01 11 14 1 1987 18745320.2586144 6015683.232 1335207.66733393 372011.168437183 4727573.86589598 2809801.77293186 6019071.99946384 1775629.85405852 694332.812952299 2577600 4242400
1987-11-08 11 15 8 1987 18255774.6421144 5495814.27 1231738.365 364308.856277183 4761620 2786838.28129186 5668901.63612634 1753860.12949852 720446.868332299 2577600 4242400
1987-11-15 11 16 15 1987 17956178.96 5495814.27 1231738.365 335225.555077183 4736130 2761062.72478186 5483481.19285884 1734928.94637552 841208.791262299 2577600 4242400
1987-11-22 11 17 22 1987 17956178.96 5495814.27 1231738.365 318427.180297183 4710640 2737163.30579186 5318348.62771134 1716700.03034152 913426.822392299 2577600 4242400
1987-11-29 11 18 29 1987 17956178.96 5495814.27 1231738.365 276851.873227183 4685160 2712649.63422186 5110157.69454385 1695715.19056252 882469.969532299 2577600 4242400
1987-12-06 12 19 6 1987 17405831.54282 5084228.46493067 963505.331369834 766683 3855100 2694173.05802186 4850469.62716803 1690213.44015252 919338.541132298 2577600 4242400
1987-12-13 12 20 13 1987 17000989.73 4938259.271 873125.9714 783365 3855100 2685902.33556186 4505584.79809503 1720063.90679252 1076706.8462823 2577600 4242400
1987-12-20 12 21 20 1987 16787009.65 4877297.32587253 864654.101621911 798568.49292 3792883.65868349 2664230.14475186 4151119.53589636 1705216.99957402 1161030.2951623 2577600 4242400
1987-12-27 12 22 27 1987 16572335.34 4839041.58039571 860931.985822743 765781.509161 3781197.72425025 2640742.84230186 3921900 1686390.23844242 1179586.0713323 2577600 4242400
1988-01-03 1 23 3 1988 16267561.5201648 4514516.49177905 834690.508566032 732113.297949 3789791.27067599 2599815.05813803 3921900 1667897.38048465 1200412.2832523 2578080 4242400
1988-01-10 1 24 10 1988 15960669.1592908 4188924.97548944 807317.9842 697745.048786 3799505.25570696 2558631.70382265 3921900 1649088.27114686 1223037.6643423 2578560 4242400
1988-01-17 1 25 17 1988 15647970.7468406 3847330.76556745 740601.969182738 716120.175816 3792092.63220946 2511898.11555551 3921900 1636694.84280198 1270000 2579040 4242400
1988-01-24 1 26 24 1988 15310442.153139 3457869.03213333 662432.99999523 696114 3755498.83407185 2448052.1984086 3921900 1620074.32251146 1220000 2579520 4242400
1988-01-31 1 27 31 1988 15039673.1344066 3061724.44237775 578725.895798475 665960 3714479.99014205 2391725.50068778 3921900 1604406.71801848 1170000 2580000 4242400
1988-02-07 2 28 7 1988 14942644.8694813 2121834.1253429 474836.452384294 621063 3692002.63080137 2347535.64287323 3921900 1595495.99700561 1132500 2542500 4205550
1988-02-14 2 29 14 1988 14908675.1682381 1848797.633 367884.842647269 576165 3656140 2307146.26629231 3921900 1598571.78708979 1095000 2505000 4168700
1988-02-21 2 30 21 1988 14914616.3315681 1848797.633 262150 531268 3627670 2283224.68653231 3921900 1605872.37365979 1057500 2467500 4131850
1988-02-28 2 31 28 1988 14786171.42 1848797.633 153358.039583653 486370 3599210 2263031.76248305 3921900 1620071.83903704 1020000 2430000 4095000
